state,skip,fill,transpose,split,review,special,concat,grade
AK_MS,0,1,0,0,,0,0,0
AL_MS,0,1,1,0,,1,1,1
AR_MS,0,1,0,1,,0,0,1
AZ_MS,0,1,1,1,,0,0,1
CA_MS,0,1,1,1,,0,0,1
CO_MS,0,1,0,0,,0,0,1
CT_MS,0,1,0,0,,0,0,1
DC_MS,0,1,0,1,,0,0,0
DE_MS,0,1,0,0,,0,0,1
FL_MS,0,1,1,1,,0,0,1
GA_MS,0,1,0,1,,0,0,1
HI_MS,0,1,0,0,,1,0,1
IA_MS,0,0,0,0,,0,0,1
ID_MS,0,1,1,1,,0,0,1
IL_MS,1,0,0,0,,0,,
IN_MS,0,1,0,0,,0,1,0
KS_MS,0,1,0,0,,0,0,1
KY_MS,0,1,0,0,,1,1,0
LA_MS,0,1,0,0,,0,1,0
MA_MS,0,1,0,0,,1,1,0
MD_MS,0,1,0,0,,0,1,1
ME_MS,1,0,0,0,,0,,
MI_MS,0,1,0,0,,0,1,0
MN_MS,0,1,0,0,,1,1,0
MO_MS,0,1,1,0,,1,0,1
MS_MS,0,1,0,0,,0,1,0
MT_MS,1,0,0,0,,0,,
NC_MS,0,1,0,1,,0,0,0
ND_MS,0,1,1,1,,0,0,1
NE_MS,0,1,1,1,,0,0,0
NH_MS,0,1,1,1,,0,0,1
NJ_MS,0,0,1,1,,0,0,1
NM_MS,0,1,1,1,,0,0,0
NV_MS,0,1,1,1,,0,0,1
NY_MS,0,1,1,1,,0,0,0
OH_MS,0,1,0,0,,1,0,0
OK_MS,0,0,0,0,,0,0,0
OR_MS,0,0,0,0,,0,0,0
PA_MS,1,1,0,0,1,0,,
RI_MS,0,1,0,0,,0,1,0
SC_MS,0,1,0,0,,0,1,0
SD_MS,0,1,0,0,,0,1,0
TN_MS,0,1,0,0,,0,0,0
TX_MS,0,0,0,0,,0,1,0
UT_MS,0,0,0,0,,0,0,1
VA_MS,0,1,0,1,,0,1,0
VT_MS,1,0,0,0,,0,,
WA_MS,0,0,0,0,,0,,
WI_MS,0,1,0,0,,0,0,1
WV_MS,0,0,0,0,,0,1,0
WY_MS,0,1,0,0,,0,1,1
