file,category,keyword,page,excerpt
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Antisemitism,Antisemitism,78,"...Spanish Inquisition, and the establishment of the Ottoman Empire. Examples: [antisemitism,] collapse of the Byzantine Empire, rise of the Christian kingdoms..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Antisemitism,Antisemitism,78,"...Spanish Inquisition, and the establishment of the Ottoman Empire. Examples: [antisemitism,] collapse of the Byzantine Empire, rise of the Christian kingdoms..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Antisemitism,Antisemitism,87,...and 1945. 11a Describe how the Nazis built upon historical [antisemitism] to dehumanize Jewish people and frame them as the enemy...
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Antisemitism,Antisemitism,87,...and 1945. 11a Describe how the Nazis built upon historical [antisemitism] to dehumanize Jewish people and frame them as the enemy...
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Antisemitism,Antisemitism,106,"...Klux Klan, rise of nativist thinking, the Red Scare, and [antisemitism.] Examples: anarchists, Immigration Act of 1924, Palmer Raids, Sacco and..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Antisemitism,Antisemitism,106,"...Klux Klan, rise of nativist thinking, the Red Scare, and [antisemitism.] Examples: anarchists, Immigration Act of 1924, Palmer Raids, Sacco and..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Antisemitism,Antisemitism,151,"...begins with a contextualization of the origins and impact of [antisemitism,] then examines the rise of Adolf Hitler and the Nazi..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Antisemitism,Antisemitism,151,...and exploration of the concept of genocide. Course Topics: 1. [Antisemitism] and Pre-War Jewish Life 2. The Rise of Hitler and...
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Antisemitism,Antisemitism,151,"...begins with a contextualization of the origins and impact of [antisemitism,] then examines the rise of Adolf Hitler and the Nazi..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Antisemitism,Antisemitism,151,...and exploration of the concept of genocide. Course Topics: 1. [Antisemitism] and Pre-War Jewish Life 2. The Rise of Hitler and...
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Antisemitism,Antisemitism,153,...half-credit course. Each content standard completes the stem “Students will…” [ANTISEMITISM] AND PRE-WAR JEWISH LIFE 1 Defend the definition of the...
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Antisemitism,Antisemitism,153,...1933 and 1945.* 2 Explain the origins and history of [antisemitism.*] 2a Identify core practices and tenets within historical and modern...
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Antisemitism,Antisemitism,153,...Analyze how the Nazi regime utilized and built on historical [antisemitism] to cast the Jewish people as a common enemy.* 2c...
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Antisemitism,Antisemitism,153,...people as a common enemy.* 2c Trace the intensification of [antisemitism] in the United States during the early twentieth century. Examples:...
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Antisemitism,Antisemitism,153,...half-credit course. Each content standard completes the stem “Students will…” [ANTISEMITISM] AND PRE-WAR JEWISH LIFE 1 Defend the definition of the...
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Antisemitism,Antisemitism,153,...1933 and 1945.* 2 Explain the origins and history of [antisemitism.*] 2a Identify core practices and tenets within historical and modern...
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Antisemitism,Antisemitism,153,...Analyze how the Nazi regime utilized and built on historical [antisemitism] to cast the Jewish people as a common enemy.* 2c...
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Antisemitism,Antisemitism,153,...people as a common enemy.* 2c Trace the intensification of [antisemitism] in the United States during the early twentieth century. Examples:...
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Antisemitism,Antisemitism,154,"...(Nazi Party), and explain how the Nazis appropriated and manipulated [antisemitism] to their party’s advantage.* 4b Describe the Weimar Republic and..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Antisemitism,Antisemitism,154,...sterilization and other eugenics practices. 6c Assess how the Nazis’ [antisemitism] and racial beliefs influenced their foreign policy.* NAZI ANTISEMITIC AND...
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Antisemitism,Antisemitism,154,"...(Nazi Party), and explain how the Nazis appropriated and manipulated [antisemitism] to their party’s advantage.* 4b Describe the Weimar Republic and..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Antisemitism,Antisemitism,154,...sterilization and other eugenics practices. 6c Assess how the Nazis’ [antisemitism] and racial beliefs influenced their foreign policy.* NAZI ANTISEMITIC AND...
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Belief,Belief,59,...colonies and Great Britain. 7a Develop an argument defending the [belief] that the French and Indian War served as a defining...
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Belief,Belief,60,...explain how they have been presented in significant statements of [belief] throughout United States history to the present. Examples: Elizabeth Cady...
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Belief,Belief,144,"...Identify and describe essential aspects of culture, including architecture, art, [belief] systems, customs, food, languages, religion, technology, and traditions. Examples: a..."
Alask History Standards.pdf,Belief,Belief,1,"...that cultural elements, including language, literature, the arts, customs, and [belief] systems, reflect the ideas and attitudes of a specific time..."
Arizon SS Standards 2019.pdf,Belief,Belief,17,...change of civilizations and cultures ● Societal institutions and their [belief] systems DISCIPLINARY SKILLS AND PROCESSES Chronological reasoning requires understanding processes...
Arizon SS Standards 2019.pdf,Belief,Belief,19,...modern world. ● 2.H3.1 Generate questions about the institutions and [belief] systems of different societies. • Key concepts include but are...
Arizon SS Standards 2019.pdf,Belief,Belief,48,"...not limited to the following topics of study: • World [Belief] Systems including but not limited to Buddhism, Christianity, Confucianism, Hinduism,..."
Arizon SS Standards 2019.pdf,Belief,Belief,53,...impact of cultural diffusion. • HS.H1.5 Explain how religions and [belief] systems have affected the origins of societies. • HS.H1.6 Analyze...
Arizon SS Standards 2019.pdf,Belief,Belief,53,"...needs and changes. • HS.H3.2 Analyze how ideologies, religion, and [belief] systems have influenced economic, political, and social institutions over time...."
California HSS Standards 1998.pdf,Belief,Belief,31,"...and central beliefs of Judaism (the Hebrew Bible, the Commentaries): [belief] in God, observance of law, practice of the concepts of..."
California HSS Standards 1998.pdf,Belief,Belief,33,"...Apostle to the definition and spread of Christian beliefs (e.g., [belief] in the Trinity, resurrection, salvation). 7. Describe the circumstances that..."
California HSS Standards 1998.pdf,Belief,Belief,34,"...of kings, experimen­ talism in science, and the dogma of [belief.] Finally, students assess the political forces let loose by the..."
Colorado 2020 Social Studies - Academic Standards.pdf,Belief,Belief,101,...time a matter of perspective? government. 4. What if the [belief] “all men are created equal” had not been written in...
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Bible,Bible,78,"...with both religious reformers and secular authorities. Examples: indulgences, Latin [Bible] and Mass, simony, Western Schism and conciliarism 10b Describe the..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Bible,Bible,78,"...and the Bohemian Revolution, John Wyclif and translations of the [Bible] 10c Summarize responses to the Reformation, including the Counter-Reformation, English..."
California HSS Standards 1998.pdf,Bible,Bible,31,"...the ethical teachings and central beliefs of Judaism (the Hebrew [Bible,] the Commentaries): belief in God, observance of law, practice of..."
California HSS Standards 1998.pdf,Bible,Bible,38,"...information (e.g., the ability to manufacture paper, translation of the [Bible] into the vernacular, printing). 5. Detail advances made in literature,..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Buddha,Buddha,76,"...(shinbutsu shūgō); Khmer Empire and spread of Hindu, Buddhist, and [Shiva-Buddha] traditions and their fusion with indigenous traditions 2024 Alabama Course..."
California HSS Standards 1998.pdf,Buddha,Buddha,32,"...caste system. 5. Know the life and moral teachings of [Buddha] and how Buddhism spread in India, Ceylon, and Central Asia...."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Buddhism,Buddhism,70,"...of civilization in the region. 12c Trace the development of [Buddhism,] including the contributions of Emperor Ashoka, and explain how Buddhism..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Buddhism,Buddhism,70,"...Buddhism, including the contributions of Emperor Ashoka, and explain how [Buddhism] influenced society in Classical India. Examples: Buddhist missionaries, construction of..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Buddhism,Buddhism,76,"...the evolution of religion in Asia, including the growth of [Buddhism,] Hinduism, Jainism, and Sikhism. Examples: Bhakti movement; Delhi Sultanate and..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Buddhism,Buddhism,76,"...Bhakti movement; Delhi Sultanate and spread of Islam; intertwining of [Buddhism] and Shintoism (shinbutsu shūgō); Khmer Empire and spread of Hindu,..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Buddhism,Buddhism,80,"...suppression of Christianity, emergence of Confucian Shinto, influence of Zen [Buddhism] 16c Compare the policies of absolutism and social structures of..."
Arizon SS Standards 2019.pdf,Buddhism,Buddhism,32,"...River Valley • World religions including, but not limited to [Buddhism,] Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism, (origins,..."
Arizon SS Standards 2019.pdf,Buddhism,Buddhism,35,"...economic, and social identity. • Key world religions such as [Buddhism,] Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism ●..."
Arizon SS Standards 2019.pdf,Buddhism,Buddhism,48,"...study: • World Belief Systems including but not limited to [Buddhism,] Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, Taoism, and as..."
California HSS Standards 1998.pdf,Buddhism,Buddhism,32,"...Know the life and moral teachings of Buddha and how [Buddhism] spread in India, Ceylon, and Central Asia. 6. Describe the..."
California HSS Standards 1998.pdf,Buddhism,Buddhism,33,...Roman Empire and their locations. 8. Describe the diffusion of [Buddhism] northward to China during the Han Dynasty. 6.7 Students analyze...
California HSS Standards 1998.pdf,Buddhism,Buddhism,35,"...under the Tang Dynasty and reasons for the spread of [Buddhism] in Tang China, Korea, and Japan. 2. Describe agricultural, technological,..."
California HSS Standards 1998.pdf,Buddhism,Buddhism,36,...century. 4. Trace the development of distinctive forms of Japanese [Buddhism.] 5. Study the ninth and tenth centuries’ golden age of...
Colorado 2020 Social Studies - Academic Standards.pdf,Buddhism,Buddhism,103,"...religions. For example: the Enlightenment, the development and expansion of [Buddhism,] Christianity, Hinduism, Islam, Judaism, Sikhism, and Taoism. f. Investigate the..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Buddhist,Buddhist,70,"...and explain how Buddhism influenced society in Classical India. Examples: [Buddhist] missionaries, construction of stupas 13 Explain the emergence and consolidation..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Buddhist,Buddhist,76,"...and Shintoism (shinbutsu shūgō); Khmer Empire and spread of Hindu, [Buddhist,] and Shiva-Buddha traditions and their fusion with indigenous traditions 2024..."
Connecticu socialstudiesframeworks2015.pdf,Buddhist,Buddhist,82,"...adoption program in China) • Defining Regions (Religious Representations: Christian, [Buddhist,] Muslim) Themes and regions are listed in a recommended order,..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Caste,Caste,70,...Gupta Empire. 12a Summarize how Hinduism as well as a [caste] system emerged from different religious beliefs and schools of philosophy....
California HSS Standards 1998.pdf,Caste,Caste,32,...into early Hinduism. 4. Outline the social structure of the [caste] system. 5. Know the life and moral teachings of Buddha...
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Catholic,Catholic,75,"...Mediterranean region and outline the organizational structure of the early [Catholic] Church, including the roles of the Bishop of Rome and..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Catholic,Catholic,77,"...Viking societies in Scandinavia 7b Analyze the relationship of the [Catholic] Church to economic, political, and social systems and rulers in..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Catholic,Catholic,78,...Europe. 10a Summarize the policies and practices within the Roman [Catholic] Church that led to conflict with both religious reformers and...
California HSS Standards 1998.pdf,Catholic,Catholic,34,"...development of two distinct European civilizations, Eastern Orthodox and Roman [Catholic,] and their two distinct views on church-state relations. 27 California..."
California HSS Standards 1998.pdf,Catholic,Catholic,37,"...impact on global population. 8. Understand the importance of the [Catholic] church as a political, intellectual, and aesthetic institution (e.g., founding..."
California HSS Standards 1998.pdf,Catholic,Catholic,38,"...causes for the internal turmoil in and weakening of the [Catholic] church (e.g., tax policies, selling of indulgences). 2. Describe the..."
California HSS Standards 1998.pdf,Catholic,Catholic,38,...federalism. 4. Identify and locate the European regions that remained [Catholic] and those that be­ came Protestant and explain how the...
California HSS Standards 1998.pdf,Catholic,Catholic,38,"...the New World. 5. Analyze how the Counter-Reformation revitalized the [Catholic] church and the forces that fostered the movement (e.g., St...."
California HSS Standards 1998.pdf,Catholic,Catholic,55,"...religious intolerance in the United States (e.g., persecution of Mormons, [anti-Catholic] sentiment, anti-Semitism). California Department of Education Created May 18, 2000"
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Christian,Christian,9,"...Reynolds, Associate Professor, Samford University; Lesa Roberts, Curriculum Director, Whitesburg [Christian] Academy; Samuel Robison, Teacher, Smiths Station Junior High School; Harold..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Christian,Christian,52,"...Nonviolent Coordinating Committee, Martin Luther King, Jr. and the Southern [Christian] Leadership Conference 12a Describe ways in which the Civil Rights..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Christian,Christian,58,"...for establishing colonies. Examples: John Winthrop and “A Model of [Christian] Charity,” Lord Baltimore (Cecil Calvert) and Maryland, Moravians, William Penn..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Christian,Christian,78,"...Examples: antisemitism, collapse of the Byzantine Empire, rise of the [Christian] kingdoms on the Iberian Peninsula, solidification of the Spanish kingdom..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Christian,Christian,85,"...John Stuart Mill, Karl Marx, and Robert Owen. Examples: anarchism, [Christian] socialism, The Communist Manifesto, David Ricardo and labor theory of..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Christian,Christian,99,"...and the Pacific Islands in the late nineteenth century. Examples: [Christian] missionaries, establishment of overseas markets, purchase of Alaska, Robert Shufeldt’s..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Christian,Christian,101,"...Willard, Mary Church Terrell, National American Woman Suffrage Association, Woman’s [Christian] Temperance Union, women’s club movement 19 Describe the emergence of..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Christian,Christian,109,"...Height, Joseph H. Jackson, Robert F. Williams; organizations - Alabama [Christian] Movement for Human Rights (ACMHR), Congress of Racial Equality (CORE),..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Christian,Christian,109,"...National Association for the Advancement of Colored People (NAACP), Southern [Christian] Leadership Conference (SCLC), Student Nonviolent Coordinating Committee (SNCC) 10d Summarize..."
California HSS Standards 1998.pdf,Christian,Christian,23,"...came. Students learn about the colonial government founded on Judeo- [Christian] principles, the ideals of the Enlightenment, and the English traditions..."
California HSS Standards 1998.pdf,Christian,Christian,33,"...St. Paul the Apostle to the definition and spread of [Christian] beliefs (e.g., belief in the Trinity, resurrection, salvation). 7. Describe..."
California HSS Standards 1998.pdf,Christian,Christian,37,"...religious texts, St. Thomas Aquinas’s synthesis of classical philosophy with [Christian] theology, and the concept of “natural law”). 9. Know the..."
California HSS Standards 1998.pdf,Christian,Christian,40,"...the development of America’s democratic institutions founded on the Judeo- [Christian] heritage and English parliamentary traditions, particularly the shaping of the..."
California HSS Standards 1998.pdf,Christian,Christian,49,"...Western political thought. 1. Analyze the similarities and differences in [Judeo-Christian] and Greco-Roman views of law, reason and faith, and duties..."
California HSS Standards 1998.pdf,Christian,Christian,55,"...Civil War revivals, the Social Gospel Movement, the rise of [Christian] liberal theology in the nineteenth century, the impact of the..."
California HSS Standards 1998.pdf,Christian,Christian,55,"...impact of the Second Vatican Council, and the rise of [Christian] funda­ mentalism in current times. 3. Cite incidences of religious..."
Connecticu socialstudiesframeworks2015.pdf,Christian,Christian,82,"...(child adoption program in China) • Defining Regions (Religious Representations: [Christian,] Buddhist, Muslim) Themes and regions are listed in a recommended..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Christianity,Christianity,72,"...rule of law 16b Describe the founding and development of [Christianity,] including the roles of Jesus of Nazareth and Paul of..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Christianity,Christianity,75,...of the Western Roman Empire. 1a Trace the spread of [Christianity] in Europe and the wider Mediterranean region and outline the...
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Christianity,Christianity,76,...factors leading to the separation of Eastern Orthodoxy and Western [Christianity] and explain how the Orthodox Church influenced society and culture...
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Christianity,Christianity,77,"...culture, language, and religion among African civilizations. Examples: Ethiopia and [Christianity,] role of griots, trade with North Africa and spread of..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Christianity,Christianity,80,"...on Japanese society and politics. Examples: acceptance and suppression of [Christianity,] emergence of Confucian Shinto, influence of Zen Buddhism 16c Compare..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Christianity,Christianity,80,"...to earlier eras and movements, including Classical Greece and Rome, [Christianity,] the Renaissance, the Reformation, and the Scientific Revolution. 2024 Alabama..."
Arizon SS Standards 2019.pdf,Christianity,Christianity,32,"...Valley • World religions including, but not limited to Buddhism, [Christianity,] Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism, (origins, founders,..."
Arizon SS Standards 2019.pdf,Christianity,Christianity,35,"...and social identity. • Key world religions such as Buddhism, [Christianity,] Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism ● 6.H3.3..."
Arizon SS Standards 2019.pdf,Christianity,Christianity,48,"...• World Belief Systems including but not limited to Buddhism, [Christianity,] Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, Taoism, and as well..."
California HSS Standards 1998.pdf,Christianity,Christianity,33,"...right to live in Jerusalem. 6. Note the origins of [Christianity] in the Jewish Messianic prophecies, the life and teach­ ings..."
California HSS Standards 1998.pdf,Christianity,Christianity,33,...7. Describe the circumstances that led to the spread of [Christianity] in Europe and other Roman territories. 8. Discuss the legacies...
California HSS Standards 1998.pdf,Christianity,Christianity,34,"...Roman art, architecture, engineering, and philosophy; preservation and transmission of [Christianity)] and its ultimate internal weaknesses (e.g., rise of autonomous military..."
California HSS Standards 1998.pdf,Christianity,Christianity,35,"...Muhammad, including Islamic teachings on the connection with Judaism and [Christianity.] 3. Explain the significance of the Qur’an and the Sunnah..."
California HSS Standards 1998.pdf,Christianity,Christianity,36,...of life in Medieval Europe. 2. Describe the spread of [Christianity] north of the Alps and the roles played by the...
California HSS Standards 1998.pdf,Christianity,Christianity,38,...Trent). 6. Understand the institution and impact of missionaries on [Christianity] and the diffu­ sion of Christianity from Europe to other...
California HSS Standards 1998.pdf,Christianity,Christianity,38,...impact of missionaries on Christianity and the diffu­ sion of [Christianity] from Europe to other parts of the world in the...
California HSS Standards 1998.pdf,Christianity,Christianity,39,"...and the Scientific Revolution and to the Greeks, Romans, and [Christianity.] 5. Describe how democratic thought and institutions were influenced by..."
California HSS Standards 1998.pdf,Christianity,Christianity,49,"...in ancient Greek and Roman philosophy, in Judaism, and in [Christianity] to the development of Western political thought. 1. Analyze the..."
Colorado 2020 Social Studies - Academic Standards.pdf,Christianity,Christianity,103,"...For example: the Enlightenment, the development and expansion of Buddhism, [Christianity,] Hinduism, Islam, Judaism, Sikhism, and Taoism. f. Investigate the historical..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Church,Church,52,"...the Civil Rights Movement sought to create change. Examples: boycotts, [church] meetings, school desegregation, sit-ins, tenant farmers’ strike, voting rights protests..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Church,Church,52,"...Examples: Bloody Sunday, Bloody Tuesday, bombing of 16th Street Baptist [Church,] Dynamite Hill, Massive Resistance, Stand in the Schoolhouse Door 12e..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Church,Church,75,"...region and outline the organizational structure of the early Catholic [Church,] including the roles of the Bishop of Rome and Councils..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Church,Church,76,...Eastern Orthodoxy and Western Christianity and explain how the Orthodox [Church] influenced society and culture in Eastern Europe and Central Asia....
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Church,Church,77,"...societies in Scandinavia 7b Analyze the relationship of the Catholic [Church] to economic, political, and social systems and rulers in medieval..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Church,Church,78,...10a Summarize the policies and practices within the Roman Catholic [Church] that led to conflict with both religious reformers and secular...
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Church,Church,97,"...codes. Examples: Amistad Mutiny, breaking tools, German Coast Uprising, invisible [church,] Nat Turner’s Rebellion, self-emancipation 10b Describe the rise of religious..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Church,Church,97,"...this fostered schisms within American churches. Examples: African Methodist Episcopal [Church,] Baptist and Methodist sectional splits 10c Identify leading abolitionists, including..."
