0,1,2,3,4
Alaska,no_content,,,
Keyword,Grade/Area,Course,Indicator,Standard
Religion/ religious,Grade 7 ,World History and Geography Standards / Theme 2: Ancient Civilizations and the Development of World Religions,SS.7.2.18.1, Construct and use different types of maps and graphs to represent and analyze religions.
Religion/ religious,Grade 8,World History and Geography Standards / Theme 2: Ancient Civilizations and the Development of World Religions,SS.7.2.18.2," Construct and use mental maps and infographics to represent and analyze the cultural, religious, and environmental characteristics that make places both similar to and different from each other."
Religion/ religious,Grade 7 ,World History and Geography Standards / Theme 3: Post-Classical (Medieval and Mesoamerica),SS.7.3.7.1 ,Explain the connection between politics and religion in complex early societies.
Spirit/Spiritual,Grade 8 ,"U.S. History and Civics / Theme 1: Geography and Early Civilizations of the Americas (Time Period: 10,000 BCE to 1492 CE)",SS.8.1.16.2 ,"Identify the spiritual, cultural, and economic significance of geographic features in Indigenous communities."
Holiday,no_content,,,
Diwali,no_content,,,
Christian/Christianity/Christmas,no_content,,,
Muslim/Islam/Ramadan,no_content,,,
Jew/Judaism/Hanukkah/Holocaust,no_content,,,
Hinduism,no_content,,,
Buddhism,no_content,,,
Sikhism,no_content,,,
Mormon,no_content,,,
Kwanzaa,no_content,,,
Genocide,no_content,,,
Persecution,no_content,,,
Church,no_content,,,
Mosque,no_content,,,
Temple,no_content,,,
Synagogue,no_content,,,
Pilgrim/pilgrimage,no_content,,,
Mission/Missionary/missionaries,no_content,,,
Holy,no_content,,,
Holi,no_content,,,
shaman,no_content,,,
god,no_content,,,
Theocracy,no_content,,,
Theology,no_content,,,
Crusades,no_content,,,
Catholic ,no_content,,,
Protestant,no_content,,,
Theocratic ,no_content,,,
Antisemitism,no_content,,,
Israelite & Hebrew,no_content,,,
Confucian/Confucianism/Confucius,no_content,,,
Jain/Jainism,no_content,,,
Tao/Taoism/Dao/Daoism/Lao Tzu/Laozi,no_content,,,
Shinto/Shintoism,no_content,,,
Zoroastrianism,no_content,,,
Bahai/Bahá'í,no_content,,,
Notes:,no_content,,,
