Alaska,,,,
Keyword,Grade/Area,Course,Indicator,Standard
Religion/ religious,Grade 7 ,World History and Geography Standards / Theme 2: Ancient Civilizations and the Development of World Religions,SS.7.2.18.1, Construct and use different types of maps and graphs to represent and analyze religions.
Religion/ religious,Grade 8,World History and Geography Standards / Theme 2: Ancient Civilizations and the Development of World Religions,SS.7.2.18.2," Construct and use mental maps and infographics to represent and analyze the cultural, religious, and environmental characteristics that make places both similar to and different from each other."
Religion/ religious,Grade 7 ,World History and Geography Standards / Theme 3: Post-Classical (Medieval and Mesoamerica),SS.7.3.7.1 ,Explain the connection between politics and religion in complex early societies.
Spirit/Spiritual,Grade 8 ,"U.S. History and Civics / Theme 1: Geography and Early Civilizations of the Americas (Time Period: 10,000 BCE to 1492 CE)",SS.8.1.16.2 ,"Identify the spiritual, cultural, and economic significance of geographic features in Indigenous communities."
Holiday,,,,
Diwali,,,,
Christian/Christianity/Christmas,,,,
Muslim/Islam/Ramadan,,,,
Jew/Judaism/Hanukkah/Holocaust,,,,
Hinduism,,,,
Buddhism,,,,
Sikhism,,,,
Mormon,,,,
Kwanzaa,,,,
Genocide,,,,
Persecution,,,,
Church,,,,
Mosque,,,,
Temple,,,,
Synagogue,,,,
Pilgrim/pilgrimage,,,,
Mission/Missionary/missionaries,,,,
Holy,,,,
Holi,,,,
shaman,,,,
god,,,,
Theocracy,,,,
Theology,,,,
Crusades,,,,
Catholic ,,,,
Protestant,,,,
Theocratic ,,,,
Antisemitism,,,,
Israelite & Hebrew,,,,
Confucian/Confucianism/Confucius,,,,
Jain/Jainism,,,,
Tao/Taoism/Dao/Daoism/Lao Tzu/Laozi,,,,
Shinto/Shintoism,,,,
Zoroastrianism,,,,
Bahai/Bahá'í,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Notes:,,,,
