Arizona,,,,,,,,,,
Keyword,Grade/Area,,,,,,,,,
Religion/Religious,6,Global Studies: World Religions and Cultures of the Eastern Hemisphere,"INTRODUCTION. Sixth grade students will understand the cultural, religious, economic, and political systems of selected societies in the Eastern Hemisphere.","LIST OF TOPICS. Different civilizations in the Eastern Hemisphere during the Middle Ages with regards to political, social, religious, and economic systems","LIST OF TOPICS. World religions including, but not limited to Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism, (origins, founders, major tenets, practices, and sacred writings)","LIST OF TOPICS. Classical civilizations such as Greek, Roman, Persian, and Chinese (political, social, religious, and economic systems)","6.H2.1. Evaluate the causes and effects of conflict and resolution among different societies and cultures. Key factors such as control and use of natural resources, political power, religious rivalry, acquisition of wealth, cultural diversity, and economic rivalry.","6.H3.1. Analyze the impact of religious, government, and civic groups over time.","6.G1.1. Use and construct maps, graphs, and other representations to explain relationships between locations of places and regions. Key concepts include major landforms and water bodies, countries, cities, ecosystems, climate, languages, religion, economic systems, governmental systems, population patterns, disease, trade routes, and settlement patterns.","6.H3.2. Generate questions to examine the similarities and differences between major world religions and the role of religion in the formation of regions and their cultural, political, economic, and social identity. Key world religions such as Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism."
,7,Integrated Global Studies: Scientific Revolution & Enlightenment present,7.H3.1. Compare the origins and spread of influential ideologies and both religious and non-religious worldviews.,,,,,,,
,8,Citizenship and Civic Engagement in Today's Society,"8.H3.1. Explain how and why prevailing civil, social, religious, and political movements changed the United States during the 20th and 21st centuries.",,,,,,,
,,History Anchor Standards,"H3: Economic, political, and religious ideas and institutions have influenced history and continue to shape the modern world.",,,,,,,
Spirit/spiritual,,,,,,,,,,
Holiday,,,,,,,,,,
Christian/Christmas,,,,,,,,,,
Christianity,6,Global Studies: World Religions and Cultures of the Eastern Hemisphere,"LIST OF TOPICS. World religions including, but not limited to Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism, (origins, founders, major tenets, practices, and sacred writings)","6.H3.2. Generate questions to examine the similarities and differences between major world religions and the role of religion in the formation of regions and their cultural, political, economic, and social identity. Key world religions such as Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism.",,,,,,
Muslim,,,,,,,,,,
Islam,6,Global Studies: World Religions and Cultures of the Eastern Hemisphere,"LIST OF TOPICS. World religions including, but not limited to Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism, (origins, founders, major tenets, practices, and sacred writings)","6.H3.2. Generate questions to examine the similarities and differences between major world religions and the role of religion in the formation of regions and their cultural, political, economic, and social identity. Key world religions such as Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism.",,,,,,
Ramadan,,,,,,,,,,
Jew,,,,,,,,,,
Judaism,6,Global Studies: World Religions and Cultures of the Eastern Hemisphere,"LIST OF TOPICS. World religions including, but not limited to Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism, (origins, founders, major tenets, practices, and sacred writings)","6.H3.2. Generate questions to examine the similarities and differences between major world religions and the role of religion in the formation of regions and their cultural, political, economic, and social identity. Key world religions such as Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism.",,,,,,
Hanukkah,,,,,,,,,,
Holocaust,8,Citizenship and Civic Engagement,"LIST OF TOPICS. Human rights and genocides including treaties and organizations that promote human rights and a study of the nations that abuse human rights and/or support genocide (In addition to the study of the Holocaust, other genocides should be studied).",,,,,,,
Hindu/Hinduism,6,Global Studies: World Religions and Cultures of the Eastern Hemisphere,"LIST OF TOPICS. World religions including, but not limited to Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism, (origins, founders, major tenets, practices, and sacred writings)","6.H3.2. Generate questions to examine the similarities and differences between major world religions and the role of religion in the formation of regions and their cultural, political, economic, and social identity. Key world religions such as Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism.",,,,,,
Buddhism,6,Global Studies: World Religions and Cultures of the Eastern Hemisphere,"LIST OF TOPICS. World religions including, but not limited to Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism, (origins, founders, major tenets, practices, and sacred writings)","6.H3.2. Generate questions to examine the similarities and differences between major world religions and the role of religion in the formation of regions and their cultural, political, economic, and social identity. Key world religions such as Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism.",,,,,,
Sikh/Sikhism,6,Global Studies: World Religions and Cultures of the Eastern Hemisphere,"LIST OF TOPICS. World religions including, but not limited to Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism, (origins, founders, major tenets, practices, and sacred writings)","6.H3.2. Generate questions to examine the similarities and differences between major world religions and the role of religion in the formation of regions and their cultural, political, economic, and social identity. Key world religions such as Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism.",,,,,,
Mormon,,,,,,,,,,
Kwanzaa,,,,,,,,,,
Genocide,8,Citizenship and Civic Engagement,"LIST OF TOPICS. Human rights and genocides including treaties and organizations that promote human rights and a study of the nations that abuse human rights and/or support genocide (In addition to the study of the Holocaust, other genocides should be studied).",,,,,,,
Persecution,,,,,,,,,,
Church,,,,,,,,,,
Mosque,,,,,,,,,,
Temple,,,,,,,,,,
Synagogue,,,,,,,,,,
Pilgrim/pilgrimage,,,,,,,,,,
Mission/Missionary/missionaries,,,,,,,,,,
shaman,,,,,,,,,,
god,,,,,,,,,,
Theocracy,7,Integrated Global Studies: Scientific Revolution & Enlightenment present,"LIST OF TOPICS. Government and economic systems such as monarchy, dictatorship, theocracy, oligarchy, aristocracy, democracy, constitutional republic, anarchy, and capitalism, socialism, and communism including founders, major tenets, practices, and writings",,,,,,,
Theology,,,,,,,,,,
Crusades,,,,,,,,,,
Catholic,,,,,,,,,,
Protestant,,,,,,,,,,
Theocratic,,,,,,,,,,
Antisemitism,,,,,,,,,,
Israelite & Hebrew,,,,,,,,,,
Confucian/Confucianism/Confucius,Grade 6,History,"6.H3.2 Generate questions to examine the similarities and differences between major world religions and the role of religion in the formation of regions and their cultural, political, economic, and social identity. Key world religions such as Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism",,,,,,,
Jain/Jainism,,,,,,,,,,
Tao/Taoism/Dao/Danish/Lao Tzu/Laozi,Grade 6,History,"6.H3.2 Generate questions to examine the similarities and differences between major world religions and the role of religion in the formation of regions and their cultural, political, economic, and social identity. Key world religions such as Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism",,,,,,,
Shinto/Shintoism,Grade 6,History,"6.H3.2 Generate questions to examine the similarities and differences between major world religions and the role of religion in the formation of regions and their cultural, political, economic, and social identity. Key world religions such as Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism",,,,,,,
Zoroastrianism,,,,,,,,,,
Bahai/Baha 'i,,,,,,,,,,
Diwali,,,,,,,,,,
Holy,,,,,,,,,,
Holi,,,,,,,,,,
,,,,,,,,,,
Notes:,,,,,,,,,,
Indigenous,7,Integrated Global Studies: Scientific Revolution & Enlightenment present,"Global imperialism and its lasting consequences on regional conflict, stability, indigenous peoples, and human movement, including slavery and involuntary migrations",,,,,,,
Beliefs,6,Civics,"6.C2.1. Analyze the beliefs, experiences, perspectives, and values that underlie points of view regarding civic issues in the time period and region studied.",,,,,,,
