California,,,,
Keyword,Grade/Area,,,
Religion/Religious,Grade Six,World History and Geography: Ancient Civilzations,6.2.,"Students analyze the geographic, political, economic, religious, and social structures of the early civilizations of Mesopotamia, Egypt, and Kush. 3) Understand the relationship between religion and the social and political order in Mesopotamia and Egypt."
Religion/Religious,Grade Six,World History and Geography: Ancient Civilzations,6.3.,"Students analyze the geographic, political, economic, religious, and social structures of the Ancient Hebrews. 1) Describe the origins and significance of Judaism as the first monotheistic religion based on the concept of one God who sets down moral laws for humanity. 3) Describe the origins and significance of Judaism as the first monotheistic religion based on the concept of one God who sets down moral laws for humanity."
Religion/Religious,Grade Six,World History and Geography: Ancient Civilzations,6.4.,"Students analyze the geographic, political, economic, religious, and social structures of the early civilizations of Ancient Greece."
Religion/Religious,Grade Six,World History and Geography: Ancient Civilzations,6.5.,"Students analyze the geographic, political, economic, religious, and social structures of the early civilizations of India."
Religion/Religious,Grade Six,World History and Geography: Ancient Civilzations,6.6.,"Students analyze the geographic, political, economic, religious, and social structures of the early civilizations of China."
Religion/Religious,Grade Six,World History and Geography: Ancient Civilzations,6.7.,"Students analyze the geographic, political, economic, religious, and social structures during the development of Rome."
Religion/Religious,Grade Seven,World History and geography: Medieval and Early Modern Times,7.2.,"Students analyze the geographic, political, economic, religious, and social structures of the civilizations of Islam in the Middle Ages."
Religion/Religious,Grade Seven,World History and geography: Medieval and Early Modern Times,7.3.,"Students analyze the geographic, political, economic, religious, and social structures of the civilizations of China in the Middle Ages."
Religion/Religious,Grade Seven,World History and geography: Medieval and Early Modern Times,7.4.,"Students analyze the geographic, political, economic, religious, and social structures of the sub-Saharan civilizations of Ghana and Mali in Medieval Africa. 3. Describe the role of the trans-Saharan caravan trade in the changing religious and cultural characteristics of West Africa and the influence of Islamic beliefs, ethics, and law."
Religion/Religious,Grade Seven,World History and geography: Medieval and Early Modern Times,7.5.,"Students analyze the geographic, political, economic, religious, and social structures of the civilizations of Medieval Japan. 1. Describe the significance of Japan's proximity to China and Korea and the intellectual, linguistic, religious, and philosophical influence of those countries on Japan."
Religion/Religious,Grade Seven,World History and geography: Medieval and Early Modern Times,7.6.,"Students analyze the geographic, political, economic, religious, and social structures of the civilizations of Medieval Europe. 6. Understand the causes and course of the religious Crusades and their effects on the Christian, Muslim, and Jewish populations in Europe, with emphasis on the increasing contact by Europeans with cultures of the Eastern Mediterranean world. 8. Understand the importance of the Catholic church as a political, intellectual, and aesthetic institution (e.g., founding of universities, political and spiritual roles of the clergy, creation of monastic and mendicant religious orders, preservation of the Latin language and religious texts, St. Thomas Aquinas s synthesis of classical philosophy with Christian theology, and the concept of natural law )."
Religion/Religious,Grade Seven,World History and geography: Medieval and Early Modern Times,7.7.,"Students compare and contrast the geographic, political, economic, religious, and social structures of the Meso-American and Andean civilizations. 2. Study the roles of people in each society, including class structures, family life, warfare, religious beliefs and practices, and slavery."
Religion/Religious,Grade Seven,World History and geography: Medieval and Early Modern Times,7.8.1.,"Describe the way in which the revival of classical learning and the arts fostered a new interest in humanism (i.e., a balance between intellect and religious faith)."
Religion/Religious,Grade Seven,World History and geography: Medieval and Early Modern Times,7.9.4.,"Identify and locate the European regions that remained Catholic and those that became Protestant and explain how the division affected the distribution of religions in the New World. 7.9.7. Describe the Golden Age of cooperation between Jews and Muslims in medieval Spain that promoted creativity in art, literature, and science, including how that cooperation was terminated by the religious persecution of individuals and groups (e.g., the Spanish Inquisition and the expulsion of Jews and Muslims from Spain in 1492)."
Religion/Religious,Grade Seven,World History and geography: Medieval and Early Modern Times,7.10.,"Students analyze the historical developments of the Scientific Revolution and its lasting effect on religious, political and cultural institutions. 3. Understand the scientific method advanced by Bacon and Descartes, the influence of new scientific rationalism on the growth of democratic ideas, and the coexistence of science with traditional religious beliefs."
Religion/Religious,Grade Eight,United States History and Geography: Growth and Conflict,8.2.5.,"Understand the significance of Jefferson s Statute for Religious Freedom as a forerunner of the First Amendment and the origins, purpose, and differing views of the founding fathers on the issue of the separation of church and state."
Religion/Religious,Grade Eight,United States History and Geography: Growth and Conflict,8.6.5.,"Trace the development of the American education system from its earliest roots, including the roles of religious and private schools and Horace Mann s campaign for free public education and its assimilating role in American culture."
Religion/Religious,Grade Eight,United States History and Geography: Growth and Conflict,8.7.2.,"Trace the origins and development of slavery; its effects on black Americans and on the region s political, social, religious, economic, and cultural development; and identify the strategies that were tried to both overturn and preserve it (e.g., through the writings and historical documents on Nat Turner, Denmark Vesey)."
Spirit/Spiritual,Grade Seven,World History and geography: Medieval and Early Modern Times,Understand,"the importance of the Catholic church as a political, intellectual, and aesthetic institution (e.g., founding of universities, political and spiritual roles of the clergy, creation of monastic and mendicant religious orders, preservation of the Latin language and religious texts, St. Thomas Aquinas s synthesis of classical philosophy with Christian theology, and the concept of natural law )."
Holidays,,,,
Christian/Christmas/Christianity,Grade Seven,World History and geography: Medieval and Early Modern Times,7.1.,"Students analyze the causes and effects of the vast expansion and ultimate disintegration of the Roman Empire. 1. Study the early strengths and lasting contributions of Rome (e.g., significance of Roman citizenship; rights under Roman law; Roman art, architecture, engineering, and philosophy; preservation and transmission of Christianity) and its ultimate internal weaknesses (e.g., rise of autonomous military powers within the empire, undermining of citizenship by the growth of corruption and slavery, lack of education, and distribution of news)."
Christian/Christmas/Christianity,Grade Seven,World History and geography: Medieval and Early Modern Times,7.2.2.,"Trace the origins of Islam and the life and teachings of Muhammad, including Islamic teachings on the connection with Judaism and Christianity."
Christian/Christmas/Christianity,Grade Seven,World History and geography: Medieval and Early Modern Times,7.6.2.,"Describe the spread of Christianity north of the Alps and the roles played by the early church and by monasteries in its diffusion after the fall of the western half of the Roman Empire. 7.6.6. Understand the causes and course of the religious Crusades and their effects on the Christian, Muslim, and Jewish populations in Europe, with emphasis on the increasing contact by Europeans with cultures of the Eastern Mediterranean world."
Christian/Christmas/Christianity,Grade Seven,World History and geography: Medieval and Early Modern Times,7.9.6.,Understand the institution and impact of missionaries on Christianity and the diffusion of Christianity from Europe to other parts of the world in the medieval and early modern periods; locate missions on a world map.
Christian/Christmas/Christianity,Grade Seven,World History and geography: Medieval and Early Modern Times,7.10.1.,"Discuss the roots of the Scientific Revolution (e.g., Greek rationalism; Jewish, Christian, and Muslim science; Renaissance humanism; new knowledge from global exploration)."
Christian/Christmas/Christianity,Grade Seven,World History and geography: Medieval and Early Modern Times,7.11.4.,"Explain how the main ideas of the Enlightenment can be traced back to such movements as the Renaissance, the Reformation, and the Scientific Revolution and to the Greeks, Romans, and Christianity."
