0,1,2,3,4,5
Connecticut, , ,, , 
Keyword,Grade/Area,Category,,Compelling Question,
Religion/Religious,Grades 6&7,Geographic Representations: Spatial Views of the World,GEO 6-7.1 ,"Construct maps to represent and explain the pattern of cultural and environmental characteristics in our world. 
",
Religion/Religious,Grades 6&8,Geographic Representations: Spatial Views of the World,GEO 6-7.2 ,"Use maps, satellite images, photographs, and other representations to explain relationships between the locations of places and regions, and changes in their environmental characteristics. / Supporting Questions: How could a map be drawn to illustrate the variation and distribution of Middle Eastern religions?",
Religion/Religious,Grades 6&7,Civic and Political Institutions,CIV 6-7.1 ,"Explain specific roles played by citizens (such as voters, jurors, taxpayers, members of the armed forces, 
petitioners, protesters, and officeholders). 
Supporting Questions: * What powers and responsibilities do religious leaders have in nongovernmental leadership of Middle Eastern countries? * What role do religious leaders play in Middle Eastern governments?",
Spirit/Spiritual,no_content,,,,
Holiday,no_content,,,,
Christian/Christmas/Christianity,no_content,,,,
Muslim/Islam/Ramadan,no_content,,,,
Jew/Judaism/Hanukkah/Holocaust,no_content,,,,
Hinduism,no_content,,,,
Buddhism,no_content,,,,
Sikhism,no_content,,,,
Mormon,no_content,,,,
Kwanzaa,no_content,,,,
Genocide,no_content,,,,
Persecution,no_content,,,,
Church,no_content,,,,
Mosque,no_content,,,,
Temple,no_content,,,,
Synagogue,no_content,,,,
Pilgrim/pilgrimage,no_content,,,,
Mission/Missionary/missionaries,no_content,,,,
shaman,no_content,,,,
god,no_content,,,,
Theology,no_content,,,,
theocracy,no_content,,,,
Crusades,no_content,,,,
Catholic,no_content,,,,
Protestant,no_content,,,,
Theocratic ,no_content,,,,
Antisemitism,no_content,,,,
Israelite & Hebrew,no_content,,,,
Confucian/Confucianism/Confucius,no_content,,,,
Jain/Jainism,no_content,,,,
Tao/Taoism/Dao/Daoism/Lao Tzu/Laozi,no_content,,,,
Shinto/Shintoism,no_content,,,,
Zoroastrianism,no_content,,,,
Bahai/Bahá'í,no_content,,,,
Holi,no_content,,,,
Holy,no_content,,,,
Diwali,no_content,,,,
