Washington DC,,,
Keyword,Grade/Area,,
Religion/Religious,6,Driving Concept 2: Africa,"6.8 Analyze maps of Africa that represent a variety of environmental (e.g., landforms, bodies of water, natural resources) and cultural characteristics (e.g., languages, religions) to assess geographic patterns on the continent."
,6,Driving Concept 2: Africa,"6.16 Analyze at least one cultural element of a country located in Africa (e.g., art, literature, music, dance, cuisine, philosophy, religious or political thought), including its local significance and influence on other societies."
,6,Driving Concept 3: Asia,"6.20 Analyze maps of Asia that represent a variety of environmental (e.g., landforms, bodies of water, natural resources) and cultural (e.g., languages, religions) characteristics to assess geographic patterns on the continent."
,6,Driving Concept 3: Asia,"6.29 Analyze at least one cultural element of a country located in Asia (e.g., art, literature, music, dance, cuisine, philosophy, religious or political thought), including its local significance and influence on other societies."
,6,Driving Concept 4: Latin America and the Caribbean,"6.32 Analyze maps of Latin America and the Caribbean that represent a variety of environmental (e.g., landforms, bodies of water, natural resources) and cultural (e.g., languages, religions) characteristics to assess geographic patterns on the continent."
,6,Driving Concept 4: Latin America and the Caribbean,"6.39 Analyze at least one cultural element of a country located in Latin America and the Caribbean (e.g., art, literature, music, dance, cuisine, philosophy, religious or political thought), including its local significance and influence on other societies."
,6,Driving Concept 5: Europe,"6.42 Analyze maps of Europe that represent a variety of environmental (e.g., landforms, bodies of water, natural resources) and cultural (e.g., languages, borders, religions) characteristics to assess geographic patterns on the continent."
,6,Driving Concept 5: Europe,"6.47 Analyze at least one cultural element of a country located in Europe (e.g., art, literature, music, dance, cuisine, philosophy, religious or political thought), including its local significance and influence on other societies."
,6,Driving Concept 6: North America,"6.50 Analyze maps of North America that represent a variety of environmental (e.g., landforms, bodies of water, natural resources) and cultural characteristics (e.g., languages, religions) to assess geographic patterns on the continent."
,6,Driving Concept 7: Oceania,"6.56 Analyze maps of Oceania that represent a variety of environmental (e.g., landforms, bodies of water, natural resources) and cultural characteristics (e.g., languages, religions) to assess geographic patterns that make up the continent."
