0,1,2,3,4
Religion/Religious,6.0,Driving Concept 2: Africa,6.8,"Analyze maps of Africa that represent a variety of environmental (e.g., landforms, bodies of water, natural resources) and cultural characteristics (e.g., languages, religions) to assess geographic patterns on the continent."
Religion/Religious,6.0,Driving Concept 2: Africa,6.16,"Analyze at least one cultural element of a country located in Africa (e.g., art, literature, music, dance, cuisine, philosophy, religious or political thought), including its local significance and influence on other societies."
Religion/Religious,6.0,Driving Concept 3: Asia,6.2,"Analyze maps of Asia that represent a variety of environmental (e.g., landforms, bodies of water, natural resources) and cultural (e.g., languages, religions) characteristics to assess geographic patterns on the continent."
Religion/Religious,6.0,Driving Concept 3: Asia,6.29,"Analyze at least one cultural element of a country located in Asia (e.g., art, literature, music, dance, cuisine, philosophy, religious or political thought), including its local significance and influence on other societies."
Religion/Religious,6.0,Driving Concept 4: Latin America and the Caribbean,6.32,"Analyze maps of Latin America and the Caribbean that represent a variety of environmental (e.g., landforms, bodies of water, natural resources) and cultural (e.g., languages, religions) characteristics to assess geographic patterns on the continent."
Religion/Religious,6.0,Driving Concept 4: Latin America and the Caribbean,6.39,"Analyze at least one cultural element of a country located in Latin America and the Caribbean (e.g., art, literature, music, dance, cuisine, philosophy, religious or political thought), including its local significance and influence on other societies."
Religion/Religious,6.0,Driving Concept 5: Europe,6.42,"Analyze maps of Europe that represent a variety of environmental (e.g., landforms, bodies of water, natural resources) and cultural (e.g., languages, borders, religions) characteristics to assess geographic patterns on the continent."
Religion/Religious,6.0,Driving Concept 5: Europe,6.47,"Analyze at least one cultural element of a country located in Europe (e.g., art, literature, music, dance, cuisine, philosophy, religious or political thought), including its local significance and influence on other societies."
Religion/Religious,6.0,Driving Concept 6: North America,6.5,"Analyze maps of North America that represent a variety of environmental (e.g., landforms, bodies of water, natural resources) and cultural characteristics (e.g., languages, religions) to assess geographic patterns on the continent."
Religion/Religious,6.0,Driving Concept 7: Oceania,6.56,"Analyze maps of Oceania that represent a variety of environmental (e.g., landforms, bodies of water, natural resources) and cultural characteristics (e.g., languages, religions) to assess geographic patterns that make up the continent."
Religion/Religious,7.0,"Driving Concept 1: Indigenous Nations and Early European Colonization: Political, Social,
and Economic Structures of the Americas in the 15th and 16th Century",7.8,"Compare the different cultural, religious and/or spiritual belief systems of early Indigenous societies, with a particular focus on the role of gender and family, including the history of Two-Spirit identities between 1400 and 1600."
Religion/Religious,7.0,"Driving Concept 1: Indigenous Nations and Early European Colonization: Political, Social,
and Economic Structures of the Americas in the 15th and 16th Century",7.9,"Evaluate European colonists’ ideas about religion and conquest, including the conception of the “New World” between 1400 and 1600."
Religion/Religious,7.0,Driving Concept 2: Colonization and Revolution (1500-1783),7.16,"Compare the economic, religious and political motives that led to the establishment of early, distinct European colonies in the Americas."
Religion/Religious,7.0,Driving Concept 2: Colonization and Revolution (1500-1783),7.19,"Compare the motivations of different groups who settled in the 13 British colonies, and analyze the impact of these differences on the political, demographic, religious and social features of the colonies."
Religion/Religious,7.0,Driving Concept 2: Colonization and Revolution (1500-1783),7.21,"Analyze the differing lived experiences of early colonists, free Black people, enslaved people, women, religious minorities and indentured servants across the colonies."
Religion/Religious,7.0,Driving Concept 2: Colonization and Revolution (1500-1783),7.24,"Analyze the experiences, perspectives and identities of people who were denied access to full rights across the colonies (e.g., enslaved people, women, free Black people, religious minorities), including citizenship, marriage and voting restrictions, and evaluate efforts by those groups to gain access to legal rights."
Religion/Religious,7.0,Driving Concept 2: Colonization and Revolution (1500-1783),7.33,"Analyze the impact of the American Revolution on the social and political status of different groups in the new nation including but not limited to women, Indigenous Nations, enslaved and free Black Americans, religious minorities, and European Americans of various socioeconomic groups (e.g., rural farmers, Southern planters, urban craftsmen, Northern merchants)."
Religion/Religious,7.0,Driving Concept 5: Emerging Social Movements (1800-1877),7.62,"Analyze societal confines and constraints within social reform movements of the 19th century, including the role of gender, sexuality, religion and race."
Religion/Religious,7.0,Driving Concept 6: The Civil War,7.67,"Evaluate the role of women, civilians, free Black Americans, religious minorities and Indigenous Nations in the Civil War."
Religion/Religious,8.0,Driving Concept 1: The Role of Government in Society,8.4,"Analyze the historical and philosophical influences on the creation of the American government, including the role of race, gender, religion and socioeconomic status."
Spirit/spiritual,7.0,"Driving Concept 1: Indigenous Nations and Early European Colonization: Political, Social,
and Economic Structures of the Americas in the 15th and 16th Century",7.8,"Compare the different cultural, religious and/or spiritual belief systems of early Indigenous societies, with a particular focus on the role of gender and family, including the history of Two-Spirit identities between 1400 and 1600."
Holiday,no_content,,,
Christian/Christmas/Christianity,no_content,,,
Muslim/Islam/Ramadan,no_content,,,
Jew/Judaism/Hanukkah/Holocaust,8.0,Driving Concept 7: Global Opportunities for Action,8.65,"Analyze common risk factors and warning signs that indicate a country is at risk for genocide or mass atrocity, and identify how they were present during the Holocaust and at least one other genocide, such as the Armenian Genocide, Cambodian genocide or Rwandan genocide."
Hinduism,no_content,,,
Buddhism,no_content,,,
Sikhism,no_content,,,
Mormon,no_content,,,
Kwanzaa,no_content,,,
Genocide,8.0,Driving Concept 7: Global Opportunities for Action,8.65,"Analyze common risk factors and warning signs that indicate a country is at risk for genocide or mass atrocity, and identify how they were present during the Holocaust and at least one other genocide, such as the Armenian Genocide, Cambodian genocide or Rwandan genocide."
Genocide,8.0,Driving Concept 7: Global Opportunities for Action,8.66,Evaluate the ways in which countries and international organizations recognize and respond to indications that a country is at risk for genocide or mass atrocity.
Genocide,8.0,Driving Concept 7: Global Opportunities for Action,8.67,Propose and advocate for a specific method of action that can be taken by the federal government to best respond to a current situation in which a country is at risk for genocide or mass atrocity.
Persecution,no_content,,,
Church,no_content,,,
Mosque,no_content,,,
Temple,no_content,,,
Synagogue,no_content,,,
Pilgrim/pilgrimage,no_content,,,
Mission/Missionary/missionaries,no_content,,,
shaman,no_content,,,
god,no_content,,,
protestant,no_content,,,
antisemitism,no_content,,,
confucian etc,no_content,,,
Theocracy,no_content,,,
theology,no_content,,,
Bahai,no_content,,,
Holi,no_content,,,
Holy,no_content,,,
Catholic,no_content,,,
Israel/Israelite,no_content,,,
Hebrew,no_content,,,
Diwali,no_content,,,
Confucianism,no_content,,,
Jainism,no_content,,,
Tao,no_content,,,
Lao Tzu,no_content,,,
Shintoism,no_content,,,
Zoroastrianism,no_content,,,
