0,1,2,3,4,5,6
Delaware,no_content,,,,,
Keyword,Grade Bands,Grade/Area,Category,Compelling Question, ,
Religion/Religious,Grades 6-8,History,"Anchor Standard 1, 6-8a","History Anchor Standard One: Students will employ chronological concepts in analyzing historical phenomena [Chronology]. 
Historical inquiry is not limited to the study of specific events, but may also focus on ideas or trends which extend across space and time. The 
continuing migrations of a population, the development of a religion or a philosophy, or the gradual change in the social status of a particular 
group all represent possible subjects for investigation. Such investigations depend heavily on the ability to construct accurate chronologies and 
draw logical conclusions regarding cause and effect. 
6-8a: Students will examine historical materials relating to a particular region, society, or theme; analyze change over time, and make logical 
inferences concerning cause and effect. ",,
Religion/Religious,Grades 6-8,History,"Anchor Standard 4, 6-8b","History Anchor Standard Four: Students will develop historical knowledge of major events and phenomena in world, United States, and 
Delaware history [Content]. 
An organized mental framework of events, people, trends, and other historical phenomena is essential to understanding, evaluating, and 
constructing historical interpretations. Such a framework allows us to draw logical inferences concerning the continuing impact of the past on the 
present. Individual periods, regions, or events should not be studied in isolation but rather in comparison to one another. Nor should the broad 
sweep of events or an emphasis on leaders, great works, and pivotal events obscure the importance of seeking to understand the everyday life of 
ordinary people in other times and places. 
6-8b: Students will develop an understanding of ancient and medieval world history, and the continuing influence of major civilizations, 
including: 
-- The beginnings of human society 
-- Early civilizations and pastoral peoples (4,000-1,000 BC) 
-- Classical traditions, major religions, and great empires (1,000 BC--300 AD) 
-- Expanding zones of exchange and encounter (300-1,000 AD) 
--Intensified hemispheric interactions (1,000-1,500 AD) ",,
Religion/Religious,Grades 6-8,Geography,"Anchor Standard 3, 6-8a&6-8b","Geography Anchor Standard Three: Students will develop an understanding of the diversity of human culture and the unique nature of places [PLACES].
Cultural differences produce patterns of diversity in language, religion, economic activity, social custom, and political organization across the Earth's surface. Places reflect the culture of the inhabitants as well as the ways that culture has changed over time. Places also reflect the connections and flow of information, goods, and ideas with other places. Students who will live in an increasingly interconnected world need an understanding of the processes which produce distinctive places and how those places change over time.

6-8a: Students will analyze patterns of cultural activity associated with different world regions in order to explain the reasons for the cultural development of a place.
6-8b: Students will evaluate a location’s site and situation in order to identify and explain the distinctive cultural and physical characteristics, patterns of trade, and interactions that make a place unique.",,
Religion/Religious,Grades 6-8,Civics,Anchor Standard 2,"Civics Anchor Standard Two: Students will understand the principles and ideals underlying the American political system [Politics].
The American political system was intentionally created to rest on a foundation of individual liberty, freedom of religion, representative democracy, equal opportunity, and equal protection under the law. These principles and ideals are codified in the United States Constitution, the Bill of Rights, and other significant documents. Understanding, achieving, and upholding them represents a major challenge to each succeeding generation of American citizens.

",, 
Religion/Religious,Grades 6-8,Civics,Anchor Standard 3,"Civics Anchor Standard Three: Students will understand the responsibilities, rights, and privileges of United States citizens [Citizenship].
The political, religious, and economic freedoms provided to American citizens are accompanied by the responsibility of active civic participation
at the individual, community, state, and national levels. Effective citizens need to understand the dedication and commitment necessary to
safeguard those rights for themselves and future generations, as well as the potential consequences of inaction. They should also be able to
distinguish between rights and privileges.",,
Spirit/spiritual,no_content,,,,,
Holidays,no_content,,,,,
Christian/Christmas/Christianity,no_content,,,,,
Muslim/Islam/Ramadan,no_content,,,,,
Jew/Judaism/Hanukkah/Holocaust,no_content,,,,,
Hinduism,no_content,,,,,
Buddhism,no_content,,,,,
Sikhism,no_content,,,,,
Mormon,no_content,,,,,
Kwanzaa,no_content,,,,,
Genocide,no_content,,,,,
Persecution,no_content,,,,,
Church,no_content,,,,,
mosque,no_content,,,,,
Temple,no_content,,,,,
Synagogue,no_content,,,,,
Pilgrim/pilgrimage,no_content,,,,,
Mission/Missionary/missionaries,no_content,,,,,
shaman,no_content,,,,,
god,no_content,,,,,
Theology,no_content,,,,,
Theocracy,no_content,,,,,
Crusades,no_content,,,,,
Catholic,no_content,,,,,
Protestant,no_content,,,,,
Theocratic ,no_content,,,,,
Antisemitism,no_content,,,,,
Israelite & Hebrew,no_content,,,,,
Confucian/Confucianism/Confucius,no_content,,,,,
Jain/Jainism,no_content,,,,,
Tao/Taoism/Dao/Daoism/Lao Tzu/Laozi,no_content,,,,,
Shinto/Shintoism,no_content,,,,,
Zoroastrianism,no_content,,,,,
Bahai/Bahá'í,no_content,,,,,
Diwali,no_content,,,,,
Holi,no_content,,,,,
Holy,no_content,,,,,
