Religion/Religious,Sixth Grade,Latin America and Canada: Historical Understandings,SS6H1,"Explain conflict and change in Latin America. a. Describe the influence of African slavery on the development of the Americas. b. Describe the influence of the Spanish and the Portuguese on the language and religions of Latin America. c. Explain the impact of the Cuban Revolution and describe the current relationship between Cuba and the United States. d. Explain the impact of poverty, the war on drugs, and migration to the United States on Latin America."
Religion/Religious,Sixth Grade,Europe: Geographic Understandings,SS6G10,"Describe selected cultural characteristics of Europe. a. Describe the diversity of languages spoken within Europe. b. Identify the major religions in Europe: Judaism, Christianity, and Islam."
Religion/Religious,Seventh Grade,Africa: Geographic Understandings,SS7G4,Analyze the diverse cultural characteristics of the people who live in Africa. a. Explain the differences between an ethnic group and a religious group. b. Describe the diversity of religions within African ethnic groups.
Religion/Religious,Seventh Grade,Southwest Asia (Middle East): Historical Understandings,SS7H2,"Analyze continuity and change in Southwest Asia (Middle East). a. Explain how European partitioning in the Middle East following WWI led to regional conflict. b. Explain the historical factors contributing to the establishment of the modern State of Israel in 1948; include the Jewish religious connection to the land, antisemitism, the development of Zionism in Europe, and the aftermath of the Holocaust. c. Describe how land and religion plays a role in continuing conflicts in the Middle East (i.e. the Palestinian-Israeli conflict, the division between Sunni and Shia Muslims, and Kurdish nationalism). d. Explain U.S. presence and interest in Southwest Asia, including the Persian Gulf conflict and invasions of Afghanistan and Iraq"
Religion/Religious,Seventh Grade,Southwest Asia (Middle East): Geographic Understandings,SS7G8,"Analyze the diverse cultural characteristics of the people who live in Southwest Asia (Middle East). a. Explain the differences between an ethnic group and a religious group. b. Describe the diversity of religions within Southwest Asian (Middle Eastern) ethnic groups (e.g., Arabs, Persians, and Kurds). c. Compare and contrast the prominent religions in Southwest Asia (Middle East): Judaism, Islam, and Christianity."
Religion/Religious,Seventh Grade,Southern and Eastern Asia: Geographic Understandings,SS7G12,"Analyze the diverse cultural characteristics of the people who live in Southern and Eastern Asia. a. Explain the differences between an ethnic group and a religious group. b. Compare and contrast the belief systems originating in Southern and Eastern Asia: Buddhism, Hinduism, Shintoism, and Confucianism."
Spirit/Spiritual,,,,
Holidays,,,,
Christian/Christmas/Christianity,Sixth Grade,Europe: Geographic Understandings,SS6G10,"Describe selected cultural characteristics of Europe. a. Describe the diversity of languages spoken within Europe. b. Identify the major religions in Europe: Judaism, Christianity, and Islam."
Christian/Christmas/Christianity,Seventh Grade,Southwest Asia (Middle East): Geographic Understandings,SS7G8,"Analyze the diverse cultural characteristics of the people who live in Southwest Asia (Middle East). a. Explain the differences between an ethnic group and a religious group. b. Describe the diversity of religions within Southwest Asian (Middle Eastern) ethnic groups (e.g., Arabs, Persians, and Kurds). c. Compare and contrast the prominent religions in Southwest Asia (Middle East): Judaism, Islam, and Christianity."
Muslim/Islam/Ramadan,Sixth Grade,Europe: Geographic Understandings,SS6G10,"Describe selected cultural characteristics of Europe. a. Describe the diversity of languages spoken within Europe. b. Identify the major religions in Europe: Judaism, Christianity, and Islam."
