Hawaii,,,,
Keyword,Grade/Area,Category,Compelling Question,
Religion/Religious,Grade 6: The Environment and Early River Civilizations: Human Beginnings to 600 BCE,"Civics Anchor Standard 6 (Civic and Political Institutions), Politics and Religion","* Was it inevitable that Homo sapiens would survive and thrive? * Did civilization shape the environment, or did the environment shape civilization? Content Standard SS.6.1.6.2 Explain the connection between politics and religion in the complex societies of Mesopotamia, Egypt, and China (Sample content/concepts added, too)",
,"Grade 6: Major Religions and Larger Societies, Pre-1500","Geography Anchor Standard 14 (Human-Environment Interaction: Place, Regions and Culture), Religious and Philosophical Influence on Societies","* How did religion and philosophy guide classical societies? * Why was religion so important in classical societies? Content Standard SS.6.3.14.1 Explain how religion and philosophy shaped European, Asian, and Middle Eastern societies during the classical period (Sample content/concepts added, too)",
,"Grade 6: Post-Classical Trade Networks, 600 CE-1450 CE","Economics Anchor Standard 10 (Exchange and Markets), Trade Networks","* Does the exchange of goods always change cultures? * Is the exchange of ideas more powerful than the trade of goods? Content Standard SS.6.5.10.1 Describe how trade networks and the transfer of goods and ideas linked post-classical societies. Sample Content/Concepts: * Silk Road Ideas Exchanged: gunpowder, movable type, paper making, religion * Trans-Saharan Ideas Exchanged: religion, science",
,"Grade 6: Post-Classical Trade Networks, 600 CE-1450 CE","Geography Anchor Standard 15 (Human Population: Spatial Patterns and Movements), Spread of Culture and Ideas","* Does the exchange of goods always change cultures? * Is the exchange of ideas more powerful than the trade of goods? Content Standard SS.6.5.15.2 Explain how the transfer of goods and ideas along trade routes affected ideas and cultures of different people in post- classical societies. Sample Content/Concepts: * Access to New Ideas: language, medical and scientific learning, religion",
,Grade 6 to 8: The Developing Hawaiian Kingdom,"History Anchor Standard 17 (Change, Continuity, and Context), End of the Kapu System","What happens when cultures collide? Does economic growth and diversification always benefit a society? Content Standard SS.7HHK.2.17.1 Assess the impact of the abolishment of the kapu system Impact: free trade of sandalwood, increasing influence of Ka ahumanu and foreigners, religious vacuum, resistance by Hawaiians.",
,"Grade 8: The U.S. Constitution, 1785-1791","Civics Anchor Standard 7 (Civic and Political Institutions), Individual Liberties","What is the purpose of government? What is the balance between the rights and responsibilities of citizenship? Content Standard SS.8.1.7.3 Analyze how the Bill of Rights protects individual liberties from the national government Types of Liberties: civil liberties, criminal law protections, political freedoms, religious freedom",
,"Grade 8: Slavery, 1808-1861","Geography Anchor Standard 14 (Human-Environment Interaction: Place, Regions, and Culture), Endurance and Resistance","How can oppressed people respond to injustice? Why does forced labor exist? Content Standard SS.8.5.14.2 Examine how enslaved people adapted to and resisted slavery Repression: illiteracy, paternalism, slave codes, violence Adaptation: family, music, religion, slave community Resistance: Amistad, deception, Gabriel s Rebellion, Harriet Tubman, Nat Turner, sabotage, Underground Railroad",
,"Grade 8: Social Reform Movements, 1800-1860","History Anchor Standard 18 (Perspectives), Religion and Reform","* What is a perfect society? * How can people make society better? Content Standard SS.8.6.18.1 Analyze the religious and utopian movements that flourished around the Second Great Awakening Religion: Hiram Bingham, Methodism, Mormonism, revival meetings Utopian Communities: New Harmony, Oneidas, Shakers",
Spirit/Spiritual,,,,
Holidays,,,,
Christian/Christmas/Christianity,"Grade 6: Major Religions and Larger Societies, Pre-1500","Geography Anchor Standard 14 (Human-Environment Interaction: Place, Regions and Culture), Religious and Philosophical Influence on Societies","* How did religion and philosophy guide classical societies? * Why was religion so important in classical societies? Content Standard SS.6.3.14.1 Explain how religion and philosophy shaped European, Asian, and Middle Eastern societies during the classical period Sample content/concepts: Christianity in Europe: the Bible, Great Schism, Jesus Christ, Ten Commandments Hinduism in India: Bhagavad Gita, Brahmanism, caste system, Vedas Buddhism in Asia: Buddha, Dhammapada, Four Noble Truths, the Noble Eightfold Path Confucianism in China: The Analects, Confucius, filial piety Daoism in China: Dao De Jing, Laozi, wu wei, yin and yang Islam in the Middle East: Five Pillars of Islam, Muhammad, Qur an, Shari a law, Sunni-Shiite split Judaism in the Middle East: Abraham, Talmud, Torah",
,"Grade 6: Post-Classical Societies, 600 CE-1450 CE","History Anchor Standard 19 (Causation and Argumentation), European Feudalism","Is paper more powerful than gold? Does literacy foster individual freedom or centralized power? Content Standard SS.6.4.19.3 Explain how the fall of the Roman Empire led to the emergence of European feudalism Sample Content/Concepts: Effects of Roman Empire Fall: central government loss, cities to rural population shift, increase of church authority, literacy decline, spread of Christianity Emergence of Feudalism: Age of Chivalry, lords, manorial system, serfs, vassals",
