Iowa,,,,
Keyword,Grade/Area,,,
belief/value systems,6th Grade: World Regions and Cultures,Examine Factors that Led to Continuity and Change in Human and Group Behavior (Behavioral Sciences),SS.6.13.,Identify what makes up a culture and examine how people acquire their cultural beliefs and value systems.
Religion/Religious,N/a,,,
Spirit/spiritual,N/a,,,
Holiday,N/a,,,
Christian/Christmas/Christianity,N/a,,,
Muslim/Islam/Ramadan,N/a,,,
Jew/Judaism/Hanukkah/Holocaust,N/a,,,
Hinduism,N/a,,,
Buddhism,N/a,,,
Sikhism,N/a,,,
Mormon,N/a,,,
Kwanzaa,N/a,,,
Genocide,N/a,,,
Persecution,N/a,,,
Church,N/a,,,
Mosque,N/a,,,
Temple,N/a,,,
Synagogue,N/a,,,
Pilgrim/pilgrimage,N/a,,,
Mission/Missionary/missionaries,N/a,,,
shaman,N/a,,,
god,N/a,,,
Protestant,N/a,,,
Theocratic,N/a,,,
theocracy,,,,
Antisemitism,N/a,,,
Israelite & Hebrew,N/a,,,
Confucian/Confucianism/Confucius,N/a,,,
Jain/Jainism,N/a,,,
Tao/Taoism/Dao/Danish/Lao Tzu/Laozi,N/a,,,
Shinto/Shintoism,N/a,,,
Zoroastrianism,N/a,,,
Bahai/Baha 'i,N/a,,,
theology,,,,
Catholic,,,,
Diwali,,,,
Holi,,,,
Holy,,,,
