Idaho,,,,,,,
Keyword,Grade/Area,Category,Compelling Question,,,,
Religion/Religious,6-9,"World Geography, 1. History","6-9.WG.1.1 Describe major aspects of the civilizations in regions throughout the world prior to European contact including government, religion/belief systems, arts/architecture, technology, physical geography, economics, and social order.","6-9.WG.1.4 Investigate the historical origins, central beliefs, and spread of major religions and belief systems, including Judaism, Christianity, Islam, Sikhism, Hinduism, Buddhism, and Confucianism and Indigenous knowledge and belief systems.",,,
,6-9,"World Geography, 2. Geography","6-9.WG.2.10 Compare and contrast cultural patterns in regions throughout the world, such as language, religion, and ethnicity.",,,,
,6-9,"World Geography, 5. Global Perspectives","6-9.WG.5.1 Discuss how social institutions, including the family, religion, and education, influence behavior in different societies in regions throughout the world.",,,,
,6-9,"World History and Civilizations, 1. History","6-9.WH.1.4 Analyze the characteristics of early civilizations throughout the world including government, religion/belief systems, arts/architecture, technology, physical geography, economics, and social order.",6-9.WH.1.9. Explain the relationship between religion and belief systems and people's understanding of the natural world.,6-9.WH.1.10. Explain how religion and belief systems shaped the development of civilizations.,"6-9.WH.1.11. Discuss how religion, belief systems, economics, and politics influenced social behavior and were used to maintain social order.","6-9.WH.1.12. Examine why the diversity of religion and belief systems across cultural, social, political, and economic institutions have been sources of conflict"
,6-9,"World History and Civilizations, 5. Global Perspectives","6-9.WH.5.1 Explain the political, economic, religious, or cultural causes of conflicts in various civilizations and their consequences.",,,,
,6-12,"United States History, Geographic Expansion and Political and Social Changges 1820-1860","6-12.US1.25. Analyze the religious, political, and economic motives of immigrants who came to North America between 1820-1860.",,,,
,6-12,"United States History, Growth of Industrial World 1877-1890 (Bridge with USH2)","6-12.US1.44 Analyze the religious, political, and economic motives of 19th-century immigrants who came to North America.",,,,
Spirit/Spiritual,,,,,,,
Holidays,,,,,,,
Christian/Christmas/Christianity,6-9,"World Geography, 1. History","6-9.WG.1.4 Investigate the historical origins, central beliefs, and spread of major religions and belief systems, including Judaism, Christianity, Islam, Sikhism, Hinduism, Buddhism, and Confucianism and Indigenous knowledge and belief systems.",,,,
Muslim/Islam/Ramadan,6-9,"World Geography, 1. History","6-9.WG.1.4 Investigate the historical origins, central beliefs, and spread of major religions and belief systems, including Judaism, Christianity, Islam, Sikhism, Hinduism, Buddhism, and Confucianism and Indigenous knowledge and belief systems.",,,,
Jew/Judaism/Hanukkah/Holocaust,6-9,"World Geography, 1. History","6-9.WG.1.4 Investigate the historical origins, central beliefs, and spread of major religions and belief systems, including Judaism, Christianity, Islam, Sikhism, Hinduism, Buddhism, and Confucianism and Indigenous knowledge and belief systems.",,,,
,6-9,"World History and Civilizations, 5. Global Perspectives","6-9.WH.5.4 Analyze the causes, events, and consequences of the Holocaust while exploring the impacts of discrimination and prejudice.",,,,
Hinduism,6-9,"World Geography, 1. History","6-9.WG.1.4 Investigate the historical origins, central beliefs, and spread of major religions and belief systems, including Judaism, Christianity, Islam, Sikhism, Hinduism, Buddhism, and Confucianism and Indigenous knowledge and belief systems.",,,,
Buddhism,6-9,"World Geography, 1. History","6-9.WG.1.4 Investigate the historical origins, central beliefs, and spread of major religions and belief systems, including Judaism, Christianity, Islam, Sikhism, Hinduism, Buddhism, and Confucianism and Indigenous knowledge and belief systems.",,,,
Sikhism,6-9,"World Geography, 1. History","6-9.WG.1.4 Investigate the historical origins, central beliefs, and spread of major religions and belief systems, including Judaism, Christianity, Islam, Sikhism, Hinduism, Buddhism, and Confucianism and Indigenous knowledge and belief systems.",,,,
Mormon,,,,,,,
Kwanzaa,,,,,,,
Genocide,,,,,,,
Persecution,,,,,,,
Church,,,,,,,
Mosque,,,,,,,
Temple,,,,,,,
Synagogue,,,,,,,
Pilgrim/pilgrimage,,,,,,,
Mission/Missionary/missionaries,,,,,,,
shaman,,,,,,,
god,,,,,,,
Theology,,,,,,,
Theocracy,,,,,,,
Crusades,,,,,,,
Theocratic,,,,,,,
Antisemitism,,,,,,,
Israelite & Hebrew,,,,,,,
Confucian/Confucianism/Confucius,6-9,"World Geography, 1. History","6-9.WG.1.4 Investigate the historical origins, central beliefs, and spread of major religions and belief systems, including Judaism, Christianity, Islam, Sikhism, Hinduism, Buddhism, and Confucianism and Indigenous knowledge and belief systems.",,,,
Jain/Jainism,,,,,,,
Tao/Taoism/Dao/Daoism/Lao Tzu/Laozi,,,,,,,
Shinto/Shintoism,,,,,,,
Zoroastrianism,,,,,,,
Bahai/Baha 'i,,,,,,,
Holi,,,,,,,
Holy,,,,,,,
Diwali,,,,,,,
Catholic,,,,,,,
Protestant,,,,,,,
Notes:,,,,,,,
1 document for K-12 standards,,,,,,,
"World Geography and Civilizations for Grades 6-9 are broken down into History, Geography, Economics, Civics and Government, Global Perspectives and Historical Thinking Skills",,,,,,,
United States History for 6-12 is organized by specific segments of time,,,,,,,
