Kansas,, ,,,,
Keyword,Grade,Area,Part of Document, , , 
Religion/Religious,Sixth Grade,Ancient World History Early Civilizations to 1300 C.E.,Course Description Overview,"They will investigate major religions and their impact on governments, society, and culture.",,
Religion/Religious,Sixth Grade,Ancient World History Early Civilizations to 1300 C.E.,Suggested Content and Topics / Civilizations of Africa and Asia,"Students will examine the developments of the early civilizations of Mesopotamia, Egypt, India, and
China. The unit should discuss the impact of geographic locations and resources in terms of water and
rivers on the development of early civilizations. Particular focus should be placed on the development of government institutions, cultures, religions/philosophies, and cross-cultural trade.
Suggested Topics: writing, agriculture, religion, conflict & conquest, polytheism, monotheism, Judaism, Islam, Hinduism, Confucianism, Buddhism, Indigenous belief systems, Holy Roman empire, government, codifying laws (Hammurabi’s Code), caste system, Mandate of Heaven, Right of Kings",,
Religion/Religious,Sixth Grade,Ancient World History Early Civilizations to 1300 C.E.,"Suggested Content and Topics / European, North African, and Southwest Asian Civilizations","Students will construct an understanding of the advancement and spread of civilizations into and out
of Europe, North Africa, and Southwest Asia. Students will recognize the influence of the competing
Christian and Islamic religions, the small kingdoms of Europe after the fall of the Roman Empire as well
as the rise of the Islamic Caliphates. Instruction will examine the conflicts between religious and political
leaders and how they shaped governments, societies and cultures. Students will draw conclusions about
the causes and effects of the Crusades and will investigate changing views on rights as expressed in the Magna Carta and through the development of Parliament in England. They will evaluate the impact of
the Black Death on European society.",,
Religion/Religious,Seventh Grade,Global Geography,"Suggested Content and Topics / Human Geography: Governments, Economics, and Belief Systems","Suggested Topics: region, place, movement, human environment interaction, democracy,
monarchy, dictatorship, oligarchy, military states, etc., capitalism, communism, socialism, etc.,
layered sovereignties, such as territories (i.e. Puerto Rico) or federally recognized Indigenous
(tribal) nations and the United States, market economies, mixed market economies, exchange
economies, belief systems and religions",,
Spirit/spiritual,Sixth Grade,Ancient World History Early Civilizations to 1300 C.E.,Suggested Content and Topics / Civilizations of the Americas,"...They will investigate spiritual
practices, family and social structures, movements, governments, trade networks, and innovations of the
Ancestral Puebloans, Olmecs, Toltecs, Mayas, Aztecs, and Incas. They will examine changes over time in
these civilizations, as well as their connections and links to modern Native Nations.",,
Holiday,,,,,,
Christian/Christmas/Christianity,Sixth Grade,Ancient World History Early Civilizations to 1300 C.E.,Suggested Content and Topics / Civilizations of the Mediterranean Region,"Suggested topics: Direct-democracy, representative-democracy, theocracy, monarchy, oligarchy,
Trans-Saharan caravan routes, Silk Road, Judaism, Christianity, Bronze Age collapse and the Sea
People",,
Christian/Christmas/Christianity,Sixth Grade,Ancient World History Early Civilizations to 1300 C.E.,"Suggested Content and Topics / European, North African, and Southwest Asian Civilizations","Students will construct an understanding of the advancement and spread of civilizations into and out
of Europe, North Africa, and Southwest Asia. Students will recognize the influence of the competing
Christian and Islamic religions, the small kingdoms of Europe after the fall of the Roman Empire as well
as the rise of the Islamic Caliphates. Instruction will examine the conflicts between religious and political
leaders and how they shaped governments, societies and cultures. Students will draw conclusions about
the causes and effects of the Crusades and will investigate changing views on rights as expressed in the Magna Carta and through the development of Parliament in England. They will evaluate the impact of
the Black Death on European society.",,
Muslim/Islam/Ramadan,Sixth Grade,Ancient World History Early Civilizations to 1300 C.E.,Suggested Content and topics / Civilizations of Africa and Asia,"Suggested Topics: writing, agriculture, religion, conflict & conquest, polytheism, monotheism,
Judaism, Islam, Hinduism, Confucianism, Buddhism, Indigenous belief systems, Holy Roman
empire, government, codifying laws (Hammurabi’s Code), caste system, Mandate of Heaven, Right
of Kings",,
Muslim/Islam/Ramadan,Sixth Grade,Ancient World History Early Civilizations to 1300 C.E.,"Suggested Content and Topics / European, North African, and Southwest Asian Civilizations","Students will construct an understanding of the advancement and spread of civilizations into and out
of Europe, North Africa, and Southwest Asia. Students will recognize the influence of the competing
Christian and Islamic religions, the small kingdoms of Europe after the fall of the Roman Empire as well
as the rise of the Islamic Caliphates. Instruction will examine the conflicts between religious and political
leaders and how they shaped governments, societies and cultures. Students will draw conclusions about
the causes and effects of the Crusades and will investigate changing views on rights as expressed in the Magna Carta and through the development of Parliament in England. They will evaluate the impact of
the Black Death on European society.
Suggested Topics: Great Schism, feudalism, chivalry, crusades, missionaries, parliament, plagues,
Charlemagne, Magna Carta, systems of governing, Black Death, Abbasid Empire, Ibn Battuta, Islam,
Caliphate, Islamic Golden Age, Medieval climate impact",,
