State Sheets,Religion,Spirit,Holiday,God,Theocracy,Theology,Christianity,Christmas,Catholic,Protestant,Mormon,Islam,Ramadan,Judaism,Hanukkah,Holocaust,Antisemitism,Israel,Israelite,Hebrew,Hinduism,Diwali,Buddhism,Sikhism,Mosque,Temple,Synagogue,Church,Genocide,Persecution,Pilgrimage,Missionary,Shaman,Holy,Holi,Kwanzaa,Bahai,Confucianism,Jainism,Taoism,Lao Tzu,Shintoism,Zoroastrianism,TOTAL / STATE
AR,8,2,0,0,0,0,11,0,4,0,0,6,0,11,0,5,0,0,0,3,11,0,11,0,0,0,0,2,0,0,0,0,0,0,4,0,0,11,0,0,0,0,0,89
CA,6,4,0,2,0,4,10,0,11,4,0,6,0,6,0,0,0,1,0,5,0,0,2,0,0,1,0,13,0,4,0,0,0,0,11,0,0,3,0,2,0,0,0,95
CO,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
CT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
FL,0,3,0,0,1,0,2,0,0,0,0,0,0,2,0,4,2,3,1,0,1,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,24
GA,13,0,0,0,0,0,8,0,0,0,0,8,0,8,0,5,5,4,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,71
HI,28,0,0,4,0,0,9,0,2,0,3,8,0,7,0,0,0,0,0,0,9,0,9,0,0,3,0,14,0,0,0,3,0,0,2,0,0,8,0,0,0,0,0,109
ID,16,0,0,0,0,0,8,0,0,0,0,8,0,8,0,1,0,0,0,0,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,73
IL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,14,0,0,0,0,0,12,0,3,0,0,11,0,11,0,0,0,0,0,0,7,0,7,7,0,0,0,3,0,0,0,3,0,0,3,0,0,1,0,0,0,0,0,82
IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,23,0,0,0,6,0,14,0,0,0,0,18,0,16,0,0,0,0,0,0,10,0,10,8,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,110
KY,10,0,0,1,2,0,0,0,3,3,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,30
LA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,16,0,0,0,2,0,6,0,0,0,0,14,0,6,0,2,3,3,0,0,6,0,6,6,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,77
MA,38,0,0,7,0,0,21,0,0,0,0,16,0,10,0,0,0,21,4,2,4,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,1,1,142
MI,22,1,0,0,0,0,8,0,0,3,0,12,0,9,0,0,0,0,0,4,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,95
MN,15,11,0,0,0,0,11,0,0,0,0,11,0,11,0,3,0,0,0,0,11,0,11,11,0,0,0,0,3,0,0,0,11,0,0,0,0,0,11,0,0,0,0,120
MS,13,0,0,0,0,0,6,0,2,0,0,9,0,6,0,0,0,0,0,0,7,0,6,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,57
MO,3,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,5,0,0,0,1,0,14,0,0,0,0,13,0,13,0,0,0,1,0,0,13,0,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,93
NV,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
NH,6,0,0,0,0,0,4,0,3,0,2,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,3,0,0,3,0,0,0,0,0,35
NJ,15,0,0,0,0,0,9,0,0,0,0,13,0,9,0,0,0,2,2,0,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,95
NM,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
NY,24,0,0,0,0,0,11,0,0,0,2,19,0,9,0,2,0,1,0,0,9,0,9,9,0,0,0,4,0,0,0,0,0,20,0,0,0,9,0,0,0,0,0,128
NC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ND,15,2,0,0,1,0,10,0,3,3,0,14,0,8,0,0,0,0,0,0,8,0,8,8,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,91
OH,18,0,0,0,1,0,13,0,4,4,0,13,0,12,0,0,0,0,0,0,12,0,12,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,97
OK,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
OR,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
PA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RI,43,0,0,0,0,0,15,0,5,2,0,13,0,12,0,6,3,0,0,0,12,0,12,1,0,0,0,5,4,0,0,0,0,0,5,0,0,1,0,0,0,0,4,143
SC,6,0,0,0,0,0,6,0,4,4,0,6,0,6,0,6,0,3,0,0,6,0,6,0,0,0,0,0,3,0,0,0,0,2,4,0,0,6,0,0,0,0,0,68
SD,11,1,0,6,0,0,3,0,4,4,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,44
TN,15,1,0,1,1,0,10,0,17,27,1,4,0,3,0,0,0,12,1,3,1,0,4,0,0,2,0,13,0,0,1,0,0,3,17,0,0,5,0,0,0,1,0,143
TX,16,0,0,0,0,0,0,8,2,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,52
UT,20,0,0,0,1,1,18,0,0,0,5,22,0,18,0,0,0,0,0,0,18,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,0,0,175
VT,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
VA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11
WA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DC,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
WV,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
WI,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10
WY,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,514,32,0,21,21,5,272,8,75,54,15,280,8,227,0,51,24,55,8,27,204,8,215,124,0,8,0,85,29,12,1,6,13,30,83,0,0,134,17,65,0,29,6,
