0,1,2,3,4
Religion/Religious,6.0,Social Studies: Behavioral Sciences,6.B.1,"Understand ways in which culture influences civilizations. 6.B.1.1 Explain how religion, tradition, and cultural practice influence the development of civilizations and societies in Africa, Asia, Europe and the Americas."
Religion/Religious,7.0,Social Studies: Civics and Government,7.C&G.1,Analyze modern governmental systems in terms of conflict and change. 7.C&G.1.2 Distinguish how conflict between religious and secular thought and practice has contributed to change in government
Religion/Religious,7.0,History,7.H.1,"Evaluate historical and current events from a variety of perspectives. 7.H.1.2 Summarize the influence women, indigenous, racial, ethnic, political, and religious groups have had on historical events and current global issues."
Religion/Religious,8.0,Social Studies: Behavioral Sciences,8.B.1,"Analyze the impact of group behavior on the development of North Carolina and the nation. 8.B.1.2 Explain how cultural values, practices and the interactions of various indigenous, religious, and racial groups have influenced the development of North Carolina and the nation."
Religion/Religious,8.0,Social Studies: Civics and Government,8.C&G.1,"Understand how democratic principles have influenced the government structure and policies of North Carolina and the nation. 8.C&G.1.5 Compare access to democratic rights and freedoms of various indigenous, religious, racial, gender, ability and identity groups in North Carolina and the nation."
Spirit/Spiritual,no_content,,,
Holiday,no_content,,,
Christian/Christmas/Christianity,no_content,,,
Muslim/Islam/Ramadan,no_content,,,
Jew/Judaism/Hanukkah/Holocaust,no_content,,,
Hinduism,no_content,,,
Buddhism,no_content,,,
Sikhism,no_content,,,
Mormon,no_content,,,
Genocide,7.0,Social Studies: Behavioral Sciences,7.B.1,"Understand how individual and group values and beliefs have influenced various cultures. 7.B.1.3 Compare how individuals and groups respond to stereotypes, oppression, human rights violations, and genocide."
Persecution,no_content,,,
Church,no_content,,,
Mosque,no_content,,,
Temple,no_content,,,
Synagogue,no_content,,,
Pilgrim/pilgrimage,no_content,,,
Mission/Missionary/missionaries,no_content,,,
shaman,no_content,,,
god,no_content,,,
Catholic,no_content,,,
Protestant,no_content,,,
Theocracy/Theocratic,no_content,,,
Antisemitism,no_content,,,
Israelite/Hebrew,no_content,,,
Confucian/Confucianism,no_content,,,
Jain/Jainism,no_content,,,
Tao/Taoism/Dao/Daoism,no_content,,,
Shinto/Shintoism,no_content,,,
theology,no_content,,,
Diwali,no_content,,,
Holi,no_content,,,
Holy,no_content,,,
Kwanzaa,no_content,,,
Bahai,no_content,,,
Lao Tzu,no_content,,,
Zoroastrianism,no_content,,,
