0,1,2,3,4
Nevada,no_content,,,
Keyword,Grade/Area, ,,
Religion/Religious,6-8,Early World Civilizations,SS.6-8.EWC.14.,"Describe the factors that shape identity - including institutions, religion, language, social class, geography, culture, and society in ancient civilizations."
Religion/Religious,6-8,Early World Civilizations,SS.6-8.EWC.22.,"Analyze the intellectual, cultural, religious, and artistic contributions of ancient civilizations to our modern world of racially and ethnically diverse people."
Religion/Religious,6-8,Early World Civilizations,SS.6-8.EWC.23.,"Describe the different political, civil, religious, and economic organization of early civilizations."
Religion/Religious,6-8,World Geography & Global Studies,SS.6-8.WGGS.14.,"Describe the factors that shape identity - including institutions, religion, language, social class, geography, culture, and society."
Religion/Religious,6-8,Early US History & Civic Ideals,SS.6-8.EUSH.17.,"Analyze the influence of political, social, cultural, economic, religious, geographic, intellectual, and artistic changes throughout the course of U.S. history."
Religion/Religious,6-8,Early US History & Civic Ideals,SS.6-8.EUSH.29.,"Analyze the intellectual, cultural, religious, and artistic contributions of diverse individuals in early U.S. history."
Religion/Religious,6-8,Early US History & Civic Ideals,SS.6-8.EUSH.31.,"Describe the different political, civil, religious, and economic organizations throughout U.S. history."
Spirit/spiritual,no_content,,,
Holiday,no_content,,,
Christian/Christmas/Christianity,no_content,,,
Muslim/Islam/Ramadan,no_content,,,
Jew/Judaism/Hanukkah/Holocaust,no_content,,,
Hinduism,no_content,,,
Buddhism,no_content,,,
Sikhism,no_content,,,
Mormon,no_content,,,
Genocide,6-8,Early World Civilizations,SS.6-8.EWC.13.,"Examine instances of conflict, oppression, human rights violations, and genocide across the ancient world as well as responses to these violations."
Genocide,6-8,World Geography & Global Studies,SS.6-8.WGGS.13.,"Examine instances of conflict, oppression, human rights violations, and genocide, as well as responses to these violations."
Persecution,no_content,,,
Church,no_content,,,
Mosque,no_content,,,
Temple,no_content,,,
Synagogue,no_content,,,
Pilgrim/pilgrimage,no_content,,,
Mission/Missionary/missionaries,no_content,,,
shaman,no_content,,,
god,no_content,,,
Catholic,no_content,,,
Protestant,no_content,,,
Theocracy/Theocratic,no_content,,,
Antisemitism,no_content,,,
Israelite/Hebrew,no_content,,,
Confucian/Confucianism,no_content,,,
Jain/Jainism,no_content,,,
Tao/Taoism/Dao/Daoism,no_content,,,
Shinto/Shintoism,no_content,,,
Zoroastrianism,no_content,,,
Lao Tzu,no_content,,,
Kwanzaa,no_content,,,
Bahai,no_content,,,
Holi,no_content,,,
Holy,no_content,,,
Diwali,no_content,,,
theology,no_content,,,
