New York,,,,
Keyword,Grade/Area,,,
Religion/Religious,6,The Eastern Hemisphere,"6.3b Complex societies and civilizations share the common characteristics of religion, job specialization, cities, government, language/record keeping system, technology, and social hierarchy. People in Mesopotamia, the Yellow River valley, the Indus River valley, and the Nile River valley developed complex societies and civilizations. Students will explore at least two river valley societies and civilizations: one in the Middle East (Mesopotamia or Nile river valley), one in South Asia (Indus River valley), or one in East Asia (Yellow River valley) by examining archaeological and historical evidence to compare and contrast characteristics of these complex societies and civilizations.",
Religion/Religious,6,The Eastern Hemisphere,"6.4 COMPARATIVE WORLD RELIGIONS (ca. 2000 B.C.E ca. 630 C.E): Major religions and belief systems developed in the Eastern Hemisphere. There were important similarities and differences between these belief systems. (Standard: 2; Themes: ID, SOC)","6.4a Civilizations and complex societies developed belief systems and religions that have similar, as well as different, characteristics."
,6,The Eastern Hemisphere,"6.4 COMPARATIVE WORLD RELIGIONS (ca. 2000 B.C.E ca. 630 C.E): Major religions and belief systems developed in the Eastern Hemisphere. There were important similarities and differences between these belief systems. (Standard: 2; Themes: ID, SOC)","6.4b Belief systems and religions are based on sets of mutually held values. Students will study the belief systems of Judaism, Christianity, Islam, Buddhism, Hinduism, and Confucianism by looking at where the belief system originated, when it originated, founder(s) if any, and the major tenets, practices, and sacred writings or holy texts for each. (Note: Although not within this historic period, students may also study Sikhism and other major belief systems at this point.)"
,6,The Eastern Hemisphere,"6.4 COMPARATIVE WORLD RELIGIONS (ca. 2000 B.C.E ca. 630 C.E): Major religions and belief systems developed in the Eastern Hemisphere. There were important similarities and differences between these belief systems. (Standard: 2; Themes: ID, SOC)","6.4c Belief systems and religions often are used to unify groups of people, and may affect social order and gender roles. Students will be able to identify similarities and differences across belief systems, including their effect on social order and gender roles. Students will explore the influence of various belief systems on contemporary cultures and events."
,6,The Eastern Hemisphere,"6.5 COMPARATIVE CLASSICAL CIVILIZATIONS IN THE EASTERN HEMISPHERE (ca. 600 B.C.E. ca. 500 C.E.): As complex societies and civilizations change over time, their political and economic structures evolve. A golden age may be indicated when there is an extended period of time that is peaceful, prosperous, and demonstrates great cultural achievements. (Standards: 2, 3, 5; Themes: ID, TCC, GEO, SOC, GOV, CIV)","6.5a.2. Students will compare and contrast the similarities and differences between the Chinese (Qin, Han) and Greco-Roman classical civilizations by examining religion, job specialization, cities, government, language/record keeping system, technology, and social hierarchy."
,6,The Eastern Hemisphere,"6.6 MEDITERRANEAN WORLD: FEUDAL WESTERN EUROPE, THE BYZANTINE EMPIRE, AND THE ISLAMIC CALIPHATES (ca. 600 C.E. ca. 1450): The Mediterranean world was reshaped with the fall of the Roman Empire. Three distinct cultural regions developed: feudal Western Europe, the Byzantine Empire, and the Islamic caliphates. These regions interacted with each other and clashed over control of holy lands. (Standards: 2, 3, 4, 5; MOV, TCC, GOV, CIV, EXCH)","6.6d Competition and rivalry over religious, economic, and political control over holy lands led to conflict such as the Crusades"
,7,History of the United States and New York State,"7.2 COLONIAL DEVELOPMENTS: European exploration of the New World resulted in various interactions with Native Americans and in colonization. The American colonies were established for a variety of reasons and developed differently based on economic, social, and geographic factors. Colonial America had a variety of social structures under which not all people were treated equally. (Standards: 1, 2, 3, 4; Themes: MOV, GEO, ECO, TECH, EXCH)","7.2c European nations established colonies in North America for economic, religious, and political reasons. Differences in climate, physical features, access to water, and sources of labor contributed to the development of different economies in the New England, Middle, and Southern Colonies."
,7,History of the United States and New York State,"7.2 COLONIAL DEVELOPMENTS: European exploration of the New World resulted in various interactions with Native Americans and in colonization. The American colonies were established for a variety of reasons and developed differently based on economic, social, and geographic factors. Colonial America had a variety of social structures under which not all people were treated equally. (Standards: 1, 2, 3, 4; Themes: MOV, GEO, ECO, TECH, EXCH)","7.2d.3.Student will examine Dutch contributions to American society, including acceptance of a diverse population, a degree of religious toleration and right to petition. Students will examine Dutch relations with Native Americans."
,7,History of the United States and New York State,"7.6 WESTWARD EXPANSION: Driven by political and economic motives, the United States expanded its physical boundaries to the Pacific Ocean between 1800 and 1860. This settlement displaced Native Americans as the frontier was pushed westward. (Standards: 1, 3; Themes: ID, MOV, TCC, GEO)","7.6c.1.Students will examine the Erie Canal as a gateway to westward expansion that resulted in economic growth for New York State, economic opportunities for Irish immigrants working on its construction, and its use by religious groups, such as the Mormons, to move westward."
Spirit/Spiritual,,,,
Holiday,,,,
Christian/Christmas/Christianity,6,The Eastern Hemisphere,"6.4 COMPARATIVE WORLD RELIGIONS (ca. 2000 B.C.E ca. 630 C.E): Major religions and belief systems developed in the Eastern Hemisphere. There were important similarities and differences between these belief systems. (Standard: 2; Themes: ID, SOC)","6.4b Belief systems and religions are based on sets of mutually held values. Students will study the belief systems of Judaism, Christianity, Islam, Buddhism, Hinduism, and Confucianism by looking at where the belief system originated, when it originated, founder(s) if any, and the major tenets, practices, and sacred writings or holy texts for each. (Note: Although not within this historic period, students may also study Sikhism and other major belief systems at this point.)"
,,,"6.6 MEDITERRANEAN WORLD: FEUDAL WESTERN EUROPE, THE BYZANTINE EMPIRE, AND THE ISLAMIC CALIPHATES (ca. 600 C.E. ca. 1450): The Mediterranean world was reshaped with the fall of the Roman Empire. Three distinct cultural regions developed: feudal Western Europe, the Byzantine Empire, and the Islamic caliphates. These regions interacted with each other and clashed over control of holy lands. (Standards: 2, 3, 4, 5; MOV, TCC, GOV, CIV, EXCH)","6.6a Overexpansion, corruption, invasions, civil wars, and discord led to the fall of Rome. Feudalism developed in Western Europe in reaction to a need for order and to meet basic needs. Students will examine reasons for the fall of the Roman Empire and the development of feudalism in Western Europe, including efforts to restore the empire, the decentralization of political authority, and the role of the Christian Church in providing some measure of central authority."
,,,"6.6 MEDITERRANEAN WORLD: FEUDAL WESTERN EUROPE, THE BYZANTINE EMPIRE, AND THE ISLAMIC CALIPHATES (ca. 600 C.E. ca. 1450): The Mediterranean world was reshaped with the fall of the Roman Empire. Three distinct cultural regions developed: feudal Western Europe, the Byzantine Empire, and the Islamic caliphates. These regions interacted with each other and clashed over control of holy lands. (Standards: 2, 3, 4, 5; MOV, TCC, GOV, CIV, EXCH)","6.6b The Byzantine Empire preserved elements of the Roman Empire, controlled lands within the Mediterranean basin, and began to develop Orthodox Christianity. Students will examine how the Byzantine Empire preserved elements of the Roman Empire by blending Roman traditions with Greek culture, and developed a Christian faith, known as Orthodox Christianity, which united Church and state authority in the person of the emperor."
