0,1,2,3,4,5
Oklahoma,no_content,,,,
Keyword,Grade/Area,Course,Indicator, , 
Religion/Religious,6,6th grade social studies,6.3.2,"Identify and describe cultural traits of language, ethnic heritage, religion, and traditions practiced among peoples.",
,7,7th grade social studies,7.3.,"Evaluate the impact of a region’s major religions, including geographic hearths, major beliefs, customs, and the significance of religion in contemporary societies; explain how religion can both unify or divide people.",
Spirit/Spiritual,8,8th grade social studies,8.6.1,"Explain how the War of 1812 confirmed American independence and fueled a spirit of nationalism, reflected in the lyrics of our national anthem, the Star-Spangled Banner, by Francis Scott Key.",
Holiday,no_content,,,,
Christian/Christmas/Christianity,no_content,,,,
Muslim/Islam/Ramadan,no_content,,,,
Jew/Judaism/Hanukkah/Holocaust,no_content,,,,
Hinduism,no_content,,,,
Buddhism,no_content,,,,
Sikhism,no_content,,,,
Mormon,8,8th grade social studies,8.8.3,"Identify push and pull factors of mass migration and the settlement of western territories including the California Gold Rush, settlement of Oregon, and the Mormon migration.",
Genocide,7,7th grade social studies,7.5.7,"Describe how political, economic, and cultural forces challenge contemporary political arrangements leading to the devolution of states (civil wars, terrorism, genocide, and ethnic separatism).",
Persecution,no_content,,,,
Church,no_content,,,,
Mosque,no_content,,,,
Temple,no_content,,,,
Synagogue,no_content,,,,
Pilgrim/pilgrimage,no_content,,,,
Mission/Missionary/missionaries,no_content,,,,
shaman,no_content,,,,
god,no_content,,,,
Catholic,no_content,,,,
Protestant,no_content,,,,
Theocracy/Theocratic,no_content,,,,
Antisemitism,no_content,,,,
Israelite/Hebrew,no_content,,,,
Confucian/Confucianism,no_content,,,,
Jain/Jainism,no_content,,,,
Tao/Taoism/Dao/Daoism,no_content,,,,
Shinto/Shintoism,no_content,,,,
Zoroastrianism,no_content,,,,
Lao Tzu,no_content,,,,
Bahai,no_content,,,,
Kwanzaa,no_content,,,,
Holy,no_content,,,,
Holi,no_content,,,,
Diwali,no_content,,,,
theology,no_content,,,,
