0,1,2,3,4
South Carolina,no_content,,,
Keyword,Grade/Area,Theme/Concept,Indicator Code,"Standard /Enduring Understanding
 +++ Details"
Religion/Religious,6,Civilizations,6.1.CX,"Standard 1: Demonstrate an understanding of the organization and transformation(s) of world civilizations to 550.
 +++ Contextualize the origins and spread of major world religions and their enduring influence. This indicator was designed to promote inquiry into the development, basic tenets, and impact of Buddhism, Christianity, Confucianism, Daoism, Hinduism, Islam, and Judaism in relation to place and time."
Religion/Religious,7,Africa,7.1.4.HS,"Standard 1: Analyze the cultural, economic, environmental, physical, political, and population geographies of contemporary Africa. +++ Compare and contrast the dynamic physical and human conditions that lead to the creation of ethnic, gender, language, and religious landscapes of African societies."
Religion/Religious,7,Asia,7.2.4.HS,"Standard 2: Analyze the cultural, economic, environmental, physical, political, and population geographies of contemporary Asia. +++ Compare and contrast the dynamic physical and human conditions that lead to the creation of ethnic, gender, language, and religious landscapes of Australia, Oceania, and Antarctica."
Religion/Religious,7,Europe,7.4.4.HS,"Standard 4: Analyze the cultural, economic, environmental, physical, political, and population geographies of contemporary Europe. +++ Compare and contrast the dynamic physical and human conditions that lead to the creation of ethnic, gender, language, and religious landscapes of European societies."
Religion/Religious,7,North America,7.5.4.HS,"Standard 5: Analyze the cultural, economic, environmental, physical, political, and population geographies of contemporary North America. +++ Compare and contrast the dynamic physical and human conditions that lead to the creation of ethnic, gender, language, and religious landscapes of North American societies."
Religion/Religious,7,North America,7.6.4.HS,"Standard 6: Analyze the cultural, economic, environmental, physical, political, and population geographies of contemporary South America. +++ Compare and contrast the dynamic physical and human conditions that lead to the creation of ethnic, gender, language, and religious landscapes of South American societies."
spirit/spiritual,no_content,,,
Holiday,no_content,,,
God,no_content,,,
Theocracy,no_content,,,
Christian/Christianity,6,Civilations,6.1.CX,"Standard 1: Demonstrate an understanding of the organization and transformation(s) of world civilizations to 550. +++ Contextualize the origins and spread of major world religions and their enduring influence. This indicator was designed to promote inquiry into the development, basic tenets, and impact of Buddhism, Christianity, Confucianism, Daoism, Hinduism, Islam, and Judaism in relation to place and time"
Christian/Christianity,no_content,**also shows up in several of the glossary terms,,
Christmas,no_content,,,
Catholic,6,Development of the Atlantic World,6.3.CC,"Standard 3: Demonstrate an understanding of the development of the Atlantic World from the invention of the printing press to the Industrial Revolution (i.e., 1450–1760). +++ Analyze the intellectual, political, and social changes in relation to the idea of individual rights from Humanism to the Enlightenment. This indicator was developed to analyze the changes and continuities that occurred in the cultural and intellectual developments of the Renaissance, the Enlightenment, the Scientific Revolution, the Protestant Reformation, and the Catholic Counter-Reformation."
Protestant,6,Development of the Atlantic World,6.3.CC,"Standard 3: Demonstrate an understanding of the development of the Atlantic World from the invention of the printing press to the Industrial Revolution (i.e., 1450–1760). +++ Analyze the intellectual, political, and social changes in relation to the idea of individual rights from Humanism to the Enlightenment. This indicator was developed to analyze the changes and continuities that occurred in the cultural and intellectual developments of the Renaissance, the Enlightenment, the Scientific Revolution, the Protestant Reformation, and the Catholic Counter-Reformation."
Mormon,no_content,,,
Orthodox,no_content,,,
Muslim,no_content,only appears in a glossary definition,,
Islam,6,Development of the Atlantic World,6.3.CC,"Standard 3: Demonstrate an understanding of the development of the Atlantic World from the invention of the printing press to the Industrial Revolution (i.e., 1450–1760). +++ Analyze the intellectual, political, and social changes in relation to the idea of individual rights from Humanism to the Enlightenment. This indicator was developed to analyze the changes and continuities that occurred in the cultural and intellectual developments of the Renaissance, the Enlightenment, the Scientific Revolution, the Protestant Reformation, and the Catholic Counter-Reformation."
Ramadan,no_content,,,
Sunni/Shia,no_content,,,
