Tennessee,,,,
Keyword,Grade/Area,Topic,Number,Standard
Religion/Religious,6,"Foundations of Human Civilization: c. 10,000-3500 BCE",6.04,Identify and explain the importance of the following key characteristics of civilizations: Culture Stable food supply Government Technology Religion Writing Social structure
Religion/Religious,6,Ancient Egypt: c. 3000-700 BCE,6.17,"Explain the concept of polytheistic religion in ancient Egypt, with respect to the beliefs about the afterlife and reasons for mummification."
Religion/Religious,6,Ancient India: c. 2500-400 BC,6.28,"Describe the effects of the Aryan migration into India, including changes to religion, social structure, and language."
Religion/Religious,6,Ancient Greece: c. 800-300 BCE,6.47,"Explain the polytheistic religion of ancient Greece, with respect to beliefs about the humanlike qualities of the deities, their importance in everyday life, and the emergence of the Olympic Games to honor Zeus."
Religion/Religious,6,Ancient Rome: c. 500 BCE-500 CE,6.58,"Explain the polytheistic religion of ancient Rome, with respect to beliefs about the humanlike qualities of the deities and their importance in everyday life"
Religion/Religious,7,West Africa: 400-1500s CE,7.13,"Analyze how the exchange of salt, gold, and enslaved people along the Trans-Saharan trade route led to religious and cultural changes, such as the growth of Islam and the Arabic language."
Religion/Religious,7,Middle Ages in Western Europe: 400-1500s CE,7.29,"Explain how Charlemagne shaped and defined medieval Europe, including: his impact on feudalism, the creation of the Holy Roman Empire, and the establishment of Christianity as the religion of the Empire."
Religion/Religious,7,Early Modern Europe: 1400-1700s CE,7.48,Explain the political and religious roles of Henry VIII and Mary I in England's transition between Catholicism and Protestantism.
Religion/Religious,7,The Age of Exploration: 1400-1700s CE,7.6,"Analyze why European countries were motivated to explore the world, including: religion, political rivalry, and economic gain (i.e., mercantilism)"
Religion/Religious,7,The Age of Exploration: 1400-1700s CE,7.62,"Identify French, Spanish, English, Portuguese, and Dutch colonies in the Americas, and describe how the distributions of religions (e.g. Catholic and Protestant) in Europe affected the distribution of religions and colonization in the New World."
Religion/Religious,8,Colonization (1607-1750),8.07,"Explain the development of democratic ideologies that developed in the Thirteen English Colonies, including expansion of voting rights (e.g., Connecticut), freedom of religion, town meetings, and separation of church and state (e.g., Rhode Island)."
Religion/Religious,8,Colonization (1607-1750),8.12,"Describe the significance of the First Great Awakening, including its role in unifying the colonies and the growth of religious tolerance."
Religion/Religious,8,Sectionalism and Reform (1790s-1850s),8.43,"Describe the daily life and culture of enslaved persons in the South prior to the Civil War, such as jobs performed, punishments and consequences, oral history, and the influence of religion and music. (T.C.A. 49-6-1028)"
,,,,
Spirit/spiritual,7,West Africa: 400-1500s CE,7.1,"Explain indigenous African spiritual traditions, including: ancestor worship, animism, and the relationship between humans and deities."
God,6,Ancient Egypt: c. 3000-700 BCE,6.16,"Explain the structure of ancient Egyptian society, including: How social classes were organized by occupation Role of enslaved people Position of pharaoh as god-king"
Theocracy,8,Colonization (1607-1750),8.06,"Compare types of government in the Thirteen English Colonies, including self-government, representative government, and theocracy."
"Christian, Christmas, Christianity",6,Ancient Rome: c. 500 BCE-500 CE,6.59,"Describe the origins and central features of Christianity: Key Person(s) Jesus, Paul Sacred Texts: The Bible Basic Beliefs: monotheism, sin and forgiveness, eternal life, Jesus as the Messiah"
"Christian, Christmas",7,Byzantine Empire: 400-1500s CE,7.01,"Identify the continuation of the Eastern Roman Empire as the Byzantine Empire including its use of Greek culture, and describe the diffusion of Christianity and the preservation of the Latin language."
Christianity,7,Byzantine Empire: 400-1500s CE,7.02,"Explain the importance of Justinian's political, social, and architectural achievements, including: Expanding the empire Spreading Christianity The role of Theodora Justinian Code The Hagia Sophia"
