Texas,,,,,,
Keyword,Grade/Area,Course/Topic,Code,Standard,Subpoint,
Religion/Religious,6,"people, places, and societies of the contemporary world",6.9.C,(9) Government. The student understands the concepts of limited and unlimited governments. The student is expected to:,"(C) identify and describe examples of human rights abuses by limited or unlimited governments such as the oppression of religious, ethnic, and political groups.",
Religion/Religious,6,"people, places, and societies of the contemporary world",6.14.A,(14) Culture. The student understands that all societies have basic institutions in common even though the characteristics of these institutions may differ. The student is expected to:,"(A) identify institutions basic to all societies, including government, economic, educational, and religious institutions;",
Religion/Religious,6,"people, places, and societies of the contemporary world",6.16.C,16) Culture. The student understands the relationship that exists between the arts and the societies in which they are produced. The student is expected to:,"(C) identify examples of art, music, and literature that convey universal themes such as religion, justice, and the passage of time.",
Religion/Religious,6,"people, places, and societies of the contemporary world",6.17.A,"17) Culture. The student understands the relationships among religion, philosophy, and culture. The student is expected to:","A) explain the relationship among religious ideas, philosophical ideas, and cultures",
Religion/Religious,6,"people, places, and societies of the contemporary world",6.17.B,"17) Culture. The student understands the relationships among religion, philosophy, and culture. The student is expected to:","B) explain the significance of religious holidays and observances such as Christmas, Easter, Ramadan, the annual hajj, Yom Kippur, Rosh Hashanah, Diwali, and Vaisakhi in various contemporary societies.",
Religion/Religious,7,history of Texas from early times to the presen,7.18.B,18) Culture. The student understands the concept of diversity within unity in Texas. The student is expected to:,"B) describe how people from various racial, ethnic, and religious groups attempt to maintain their cultural heritage while adapting to the larger Texas culture;",
Religion/Religious,7,history of Texas from early times to the presen,7.18.C,18) Culture. The student understands the concept of diversity within unity in Texas. The student is expected to:,"C) identify examples of Spanish influence and the influence of other cultures on Texas such as place names, vocabulary, religion, architecture, food, and the arts; and",
Religion/Religious,8,history of the United States from the early colonial period through Reconstruction,8.2.B,2) History. The student understands the causes of exploration and colonization eras. The student is expected to,"B) compare political, economic, religious, and social reasons for the establishment of the 13 English colonies",
Religion/Religious,8,history of the United States from the early colonial period through Reconstruction,8.3.C,3) History. The student understands the foundations of representative government in the United States. The student is expected to:,C) describe how religion and virtue contributed to the growth of representative government in the American colonies.,
Religion/Religious,8,history of the United States from the early colonial period through Reconstruction,8.23.A,"23) Culture. The student understands the relationships between and among people from various groups, including racial, ethnic, and religious groups, during the 17th, 18th, and 19th centuries. The student is expected to","A) identify racial, ethnic, and religious groups that settled in the United States and explain their reasons for immigration",
Religion/Religious,8,history of the United States from the early colonial period through Reconstruction,8.23.B,"23) Culture. The student understands the relationships between and among people from various groups, including racial, ethnic, and religious groups, during the 17th, 18th, and 19th centuries. The student is expected to","B) explain how urbanization contributed to conflicts resulting from differences in religion, social class, and political beliefs;",
Religion/Religious,8,history of the United States from the early colonial period through Reconstruction,8.23.C,"23) Culture. The student understands the relationships between and among people from various groups, including racial, ethnic, and religious groups, during the 17th, 18th, and 19th centuries. The student is expected to","C) identify ways conflicts between people from various racial, ethnic, and religious groups were addressed;",
Religion/Religious,8,history of the United States from the early colonial period through Reconstruction,8.23.D,"23) Culture. The student understands the relationships between and among people from various groups, including racial, ethnic, and religious groups, during the 17th, 18th, and 19th centuries. The student is expected to","D) analyze the contributions of people of various racial, ethnic, and religious groups to our national identity;",
Religion/Religious,8,history of the United States from the early colonial period through Reconstruction,8.25.A,25) Culture. The student understands the impact of religion on the American way of life. The student is expected to:,A) trace the development of religious freedom in the United States;,
Religion/Religious,8,history of the United States from the early colonial period through Reconstruction,8.25.B,25) Culture. The student understands the impact of religion on the American way of life. The student is expected to:,"B) describe religious influences on social movements, including the impact of the first and second Great Awakenings",
Religion/Religious,8,history of the United States from the early colonial period through Reconstruction,8.25.C,25) Culture. The student understands the impact of religion on the American way of life. The student is expected to:,C) analyze the impact of the First Amendment guarantees of religious freedom on the American way of life,
,,,,,,
Spirit/spiritual,,,,,,
God,,,,,,
