0,1,2,3,4
Religion/Religious,7.0,Civics and Economics: Citizenship and Civic Life,CE.6,The student will apply history and social science skills to define citizenship by:
Religion/Religious,7.0,Civics and Economics: American Constitutional Government,CE.1, The student will apply history and social science skills to explain the foundations of the American constitutional democracy by:
Religion/Religious,8.0,World Geography:Introduction to Geography,WG.1,The student will apply history and social science skills to explain how geographic information and geospatial tools are used to make decisions by:
Spirit/spiritual,no_content,,,
Spirit/spiritual,no_content,,,
Holiday,no_content,,,
Christian/Christmas/Christianity,no_content,,,
Muslim/Islam/Ramadan,no_content,,,
Jew/Judaism/Hanukkah/Holocaust,6.0,United States History: 1865 to the Present: The Second World War and America’s Transformation,USII.6,The student will apply history and social science skills to understand the major causes and events of World War II and the effects of America’s role by
Hinduism,no_content,,,
Buddhism,no_content,,,
Sikhism,no_content,,,
Mormon,no_content,,,
Kwanzaa,no_content,,,
Genocide,no_content,,,
Persecution,6.0,United States History: 1865 to the Present: The Second World War and America’s Transformation,USII.6,The student will apply history and social science skills to understand the major causes and events of World War II and the effects of America’s role by:
Church,no_content,,,
Mosque,no_content,,,
Temple,no_content,,,
Synagogue,no_content,,,
Pilgrim/pilgrimage,no_content,,,
Mission/Missionary/missionaries,no_content,,,
shaman,no_content,,,
god,no_content,,,
antisemitism,6.0,United States History: 1865 to the Present: The Second World War and America’s Transformation,USII.6,The student will apply history and social science skills to understand the major causes and events of World War II and the effects of America’s role by
theocracy,no_content,,,
theology,no_content,,,
Holi,no_content,,,
holy,no_content,,,
bahai,no_content,,,
Catholic,no_content,,,
Protestant,no_content,,,
Israel/israelite,no_content,,,
Hebrew,no_content,,,
Diwali,no_content,,,
Confucianism,no_content,,,
Jainism,no_content,,,
Tao,no_content,,,
Lao Tzu,no_content,,,
Shintoism,no_content,,,
Zoroastrianism,no_content,,,
