Religion/Religious,7,Civics and Economics: Citizenship and Civic Life,CE.6,The student will apply history and social science skills to define citizenship by:
Religion/Religious,7,Civics and Economics: American Constitutional Government,CE.1, The student will apply history and social science skills to explain the foundations of the American constitutional democracy by:
Religion/Religious,8,World Geography:Introduction to Geography,WG.1,The student will apply history and social science skills to explain how geographic information and geospatial tools are used to make decisions by:
Spirit/spiritual,,,,
Spirit/spiritual,,,,
Holiday,,,,
,,,,
,,,,
Christian/Christmas/Christianity,,,,
Muslim/Islam/Ramadan,,,,
Jew/Judaism/Hanukkah/Holocaust,6,United States History: 1865 to the Present: The Second World War and America’s Transformation,USII.6,The student will apply history and social science skills to understand the major causes and events of World War II and the effects of America’s role by
Hinduism,,,,
Buddhism,,,,
Sikhism,,,,
Mormon,,,,
Kwanzaa,,,,
Genocide,,,,
Persecution,6,United States History: 1865 to the Present: The Second World War and America’s Transformation,USII.6,The student will apply history and social science skills to understand the major causes and events of World War II and the effects of America’s role by:
Church,,,,
Mosque,,,,
Temple,,,,
Synagogue,,,,
Pilgrim/pilgrimage,,,,
Mission/Missionary/missionaries,,,,
shaman,,,,
god,,,,
antisemitism,6,United States History: 1865 to the Present: The Second World War and America’s Transformation,USII.6,The student will apply history and social science skills to understand the major causes and events of World War II and the effects of America’s role by
theocracy,,,,
theology,,,,
Holi,,,,
holy,,,,
bahai,,,,
Catholic,,,,
Protestant,,,,
Israel/israelite,,,,
Hebrew,,,,
Diwali,,,,
Confucianism,,,,
Jainism,,,,
Tao,,,,
Lao Tzu,,,,
Shintoism,,,,
Zoroastrianism,,,,
