f,,,,
Format of Standards Document,,,,
Keyword,Grade/Area,,,
Religion/Religious,Portrait of a graduate,global citizenship,"Global Citizenship -- In our diverse society, with an ever-changing political climate, it is important that students practice tolerance when faced with differing opinions, points of view, cultures, religions, and understandings of gender; having a strong civic disposition leads to the respect for human dignity and individual worth.",
Holiday,,,,
Christian/Christmas/Christianity,,,,
Muslim/Islam/Ramadan,,,,
Jew/Judaism/Hanukkah/Holocaust,,,,
Hinduism,,,,
Buddhism,,,,
Sikhism,,,,
Mormon,,,,
Kwanzaa,,,,
Genocide,,,,
Persecution,,,,
Church,,,,
Mosque,,,,
Temple,,,,
Synagogue,,,,
Pilgrim/pilgrimage,,,,
Mission/Missionary/missionaries,,,,
shaman,,,,
god,,,,
zoroastrianism,,,,
shintoism,,,,
lao tzu,,,,
tao,,,,
jainism,,,,
confucianism,,,,
bahai,,,,
holi,,,,
holy,Glossary,"Origin: The point of origination of an original social studies source, which can include its cultural or historical context. Example: The origin of the Waldseemuller map was early 16th cen- tury Europe. Martin Waldseemuller and his associates created the map in 1507 while Waldseemuller was working in the Gymnasium Vosagense, located in St. Die in Lorraine (at that time part of the Holy Roman Empire).",,
Diwali,,,,
hebrew,,,,
Israel/Israelite,,,,
Antisemitism,,,,
Catholic,,,,
Protestant,,,,
theology,,,,
theocracy,,,,
spirit/spiritual,,,,
