0,1,2,3,4,5
Wisconsin,2021,Essential Elements (2021 - Alternate Achievement Standards); no keywords present in this,,36 pages,
Keyword,Grade/Area,Learning Priority,Indicator,Standard, 
Religion/Religious,6-8,BH1.b: Personal identity and empathy,SS.BH1.b.m,"
Analyze how culture, ethnicity, race, age, religion, gender, and social class affect a person's self-image and identity and interactions with others.",
Religion/Religious,6-8,BH2.a: Relationship of people and groups,SS.BH2.a.m,"
Summarize the role culture plays in personal and group behavior.
Categorize factors that contribute to cooperation and conflict among peoples of a country and/or the world (i.e., culture, language, religion, political beliefs).",
Religion/Religious,6-8,PS2.c: Asserting and reaffirming of human rights,SS.PS2.c.m. ,"...Investigate how groups (e.g., women, religious groups, civil rights groups, indigenous peoples, LGBTQ) have advocated for access to greater rights.",
Spirit/Spiritual,no_content,,,,
Holiday,no_content,,,,
Christian/Christmas/Christianity,no_content,,,,
Muslim/Islam/Ramadan,no_content,,,,
Jew/Judaism/Hanukkah/Holocaust,History: Historical Eras and Themes,,,"2. Human and civil rights, including suffrage, the Universal Declaration of Human Rights, and current and historic genocide, including the Holocaust or Shoah.",
Hinduism,no_content,,,,
Buddhism,no_content,,,,
Sikhism,no_content,,,,
Mormon,no_content,,,,
Kwanzaa,no_content,,,,
Genocide,History: Historical Eras and Themes,,,"2. Human and civil rights, including suffrage, the Universal Declaration of Human Rights, and current and historic genocide, including the Holocaust or Shoah.",
Persecution,no_content,,,,
Church,no_content,,,,
Mosque,no_content,,,,
Temple,no_content,,,,
Synagogue,no_content,,,,
Pilgrim/pilgrimage,no_content,,,,
Mission/Missionary/missionaries,no_content,,,,
shaman,no_content,,,,
god,no_content,,,,
Theocracy,6-8,PS2.b: Fundamentals of citizenship,SS.PS2.b.m.," Analyze the rights and responsibilities of citizens (i.e. voting, jury duty, paying taxes, obeying laws). Synthesize the cultural structures, types of govern- ment, and economic systems to explain differing concepts of citizenship (e.g., Confucianism, dictatorship, theocracy, republic, democracy).",
Theology,no_content,,,,
Crusades,no_content,,,,
Catholic ,no_content,,,,
Protestant,no_content,,,,
Theocratic ,no_content,,,,
Antisemitism,no_content,,,,
Israelite & Hebrew,no_content,,,,
confucianism,6-8,Content Area: Political Science - PS2.b: Fundamentals of citizenship,SS.PS2.b.m.," Synthesize the cultural structures, types of govern- ment, and economic systems to explain differing concepts of citizenship (e.g., Confucianism, dictatorship, theocracy, republic, democracy).",
Jain/Jainism,no_content,,,,
Tao/Taoism/Dao/Daoism/Lao Tzu/Laozi,no_content,,,,
Shinto/Shintoism,no_content,,,,
Zoroastrianism,no_content,,,,
Bahai/Bahá'í,no_content,,,,
Holi,no_content,,,,
Holy,no_content,,,,
Diwali,no_content,,,,
