Religion/Religious,6-8,BH1.b: Personal identity and empathy,SS.BH1.b.m,
,6-8,BH2.a: Relationship of people and groups,SS.BH2.a.m,
,6-8,PS2.c: Asserting and reaffirming of human rights,SS.PS2.c.m.,
Spirit/Spiritual,,,,
Holiday,,,,
Christian/Christmas/Christianity,,,,
Muslim/Islam/Ramadan,,,,
Jew/Judaism/Hanukkah/Holocaust,History: Historical Eras and Themes,,,
Hinduism,,,,
Buddhism,,,,
Sikhism,,,,
Mormon,,,,
Kwanzaa,,,,
Genocide,History: Historical Eras and Themes,,,
Persecution,,,,
Church,,,,
Mosque,,,,
Temple,,,,
Synagogue,,,,
Pilgrim/pilgrimage,,,,
Mission/Missionary/missionaries,,,,
shaman,,,,
god,,,,
Theocracy,6-8,PS2.b: Fundamentals of citizenship,SS.PS2.b.m.,
Theology,,,,
Crusades,,,,
Catholic,,,,
Protestant,,,,
Theocratic,,,,
Antisemitism,,,,
Israelite & Hebrew,,,,
confucianism,6-8,Content Area: Political Science - PS2.b: Fundamentals of citizenship,SS.PS2.b.m.,
Jain/Jainism,,,,
Tao/Taoism/Dao/Daoism/Lao Tzu/Laozi,,,,
Shinto/Shintoism,,,,
Zoroastrianism,,,,
Bahai/Baha 'i,,,,
Holi,,,,
Holy,,,,
Diwali,,,,
