West Virginia,,,,
Keyword,Grade/Area,,,
Religion/Religious,7,SS.7.17: Demonstrate an understanding of the ancient civilizations.,-Identify the leaders and distinguish the basic principles and philosophies of the major religions in the world as they emerged and expanded.,
,,,,
Spirit/spiritual,,,,
Holiday,,,,
,,,,
,,,,
,,,,
,,,,
Christian/Christmas/Christianity,,,,
Muslim/Islam/Ramadan,,,,
Jew/Judaism/Hanukkah/Holocaust,,,,
Hinduism,,,,
Buddhism,,,,
Sikhism,,,,
Mormon,,,,
Kwanzaa,,,,
Genocide,,,,
Persecution,,,,
Church,,,,
Mosque,,,,
Temple,,,,
Synagogue,,,,
Pilgrim/pilgrimage,,,,
Mission/Missionary/missionaries,,,,
shaman,,,,
god,,,,
theocracy,7,Civics,"SS.7.1: Classify and compare various forms of government through the Age of Imperialism (e.g., democracy, republic, absolute monarchy, constitutional monarchy, oligarchy, dictatorship, theocracy and parliamentary system)",
theology,,,,
Holi,,,,
Holy,,,,
Bahai,,,,
Confucianism,,,,
Tao,,,,
Lao Tzu,,,,
Zoroastrianism,,,,
Shintoism,,,,
Jainism,,,,
Diwali,,,,
Hebrew,,,,
Israel/Israelite,,,,
antisemitism,,,,
Catholic,,,,
Protestant,,,,
