0,1,2,3,4
Wyoming,no_content,,,
Keyword,Grade,Grade/Area,,  +++   +++  
Religion/Religious,6 - 8,"Social Studies Content Standard 4 - Time, Continuity, and Change",SS8.4.4,"Students analyze events, people, problems, and ideas within their historical contexts. +++ SS8.4.4 Identify historical interactions between and among individuals, groups, and/or institutions (e.g., family, neighborhood, political, economic, religious, social, cultural, and workplace)."
Spirit/spiritual,6 - 8,Social Studies Content Standard 2 - Culture and Cultural Diversity,SS8.2.2,"Students demonstrate an understanding of the contributions and impacts of human interaction and cultural diversity on societies. +++ SS8.2.2 Evaluate how human expression (e.g., language, literature, arts, architecture, traditions, beliefs, and spirituality) contributes to the cultural development, and understanding, and continuity (e.g., oral tradition, Pow Wows, ceremonies, and assimilation)."
Spirit/spiritual,6 - 8,Social Studies Content Standard 2 - Culture and Cultural Diversity,SS8.2.3,"Students demonstrate an understanding of the contributions and impacts of human interaction and cultural diversity on societies. +++ SS8.2.3 Analyze the unique cultural characteristics of various groups within Wyoming and the nation, including Indigenous Tribes of Wyoming (e.g., language, traditions, spirituality, art, and lifestyle)."
Holiday,no_content,,,
Christian/Christmas/Christianity,no_content,,,
Muslim/Islam/Ramadan,no_content,,,
Jew/Judaism/Hanukkah/Holocaust,no_content,,,
Hinduism,no_content,,,
Buddhism,no_content,,,
Sikhism,no_content,,,
Mormon,no_content,,,
Kwanzaa,no_content,,,
Genocide,no_content,,,
Persecution,no_content,,,
Church,no_content,,,
Mosque,no_content,,,
Temple,no_content,,,
Synagogue,no_content,,,
Pilgrim/pilgrimage,no_content,,,
Mission/Missionary/missionaries,no_content,,,
shaman,no_content,,,
god,no_content,,,
theocracy,no_content,,,
theology,no_content,,,
Holi,no_content,,,
holy,no_content,,,
Catholic,no_content,,,
Protestant,no_content,,,
antisemitism,no_content,,,
Israel/Israelite,no_content,,,
Hebrew,no_content,,,
Diwali,no_content,,,
Bahai,no_content,,,
Confucianism,no_content,,,
Jainism,no_content,,,
Tao,no_content,,,
Lao Tzu,no_content,,,
Shintoism,no_content,,,
Zoroastrianism,no_content,,,
