Religion/Religious,6 - 8,"Social Studies Content Standard 4 - Time, Continuity, and Change",,"Students analyze events, people, problems, and ideas within their historical contexts."
Spirit/spiritual,6 - 8,Social Studies Content Standard 2 - Culture and Cultural Diversity,,Students demonstrate an understanding of the contributions and impacts of human interaction and cultural diversity on societies.
Spirit/spiritual,6 - 8,Social Studies Content Standard 2 - Culture and Cultural Diversity,,Students demonstrate an understanding of the contributions and impacts of human interaction and cultural diversity on societies.
Holiday,,,,
Christian/Christmas/Christianity,,,,
Muslim/Islam/Ramadan,,,,
Jew/Judaism/Hanukkah/Holocaust,,,,
Hinduism,,,,
Buddhism,,,,
Sikhism,,,,
Mormon,,,,
Kwanzaa,,,,
Genocide,,,,
Persecution,,,,
Church,,,,
Mosque,,,,
Temple,,,,
Synagogue,,,,
Pilgrim/pilgrimage,,,,
Mission/Missionary/missionaries,,,,
shaman,,,,
god,,,,
theocracy,,,,
theology,,,,
Holi,,,,
holy,,,,
Catholic,,,,
Protestant,,,,
antisemitism,,,,
Israel/Israelite,,,,
Hebrew,,,,
Diwali,,,,
Bahai,,,,
Confucianism,,,,
Jainism,,,,
Tao,,,,
Lao Tzu,,,,
Shintoism,,,,
Zoroastrianism,,,,
