Filename,Number of Columns,Number of Rows
AK_MS_00.csv,5,43
AL_MS_00.csv,4,96
AR_MS_00.csv,5,62
AZ_MS_00.csv,5,71
CA_MS_00.csv,5,94
CO_MS_00.csv,6,49
CT_MS_00.csv,6,42
DC_MS_00.csv,5,60
DE_MS_00.csv,7,44
FL_MS_00.csv,5,46
GA_MS_00.csv,5,51
HI_MS_00.csv,6,69
IA_MS_00.csv,5,40
ID_MS_00.csv,5,56
IN_MS_00.csv,6,55
KS_MS_00.csv,7,45
KY_MS_00.csv,6,45
LA_MS_00.csv,6,41
MA_MS_00.csv,8,72
MD_MS_00.csv,7,55
MI_MS_00.csv,7,51
MN_MS_00.csv,5,46
MO_MS_00.csv,5,48
MS_MS_00.csv,6,53
NC_MS_00.csv,5,41
ND_MS_00.csv,5,53
NE_MS_00.csv,5,55
NH_MS_00.csv,5,51
NJ_MS_00.csv,5,54
NM_MS_00.csv,5,47
NV_MS_00.csv,5,46
NY_MS_00.csv,5,80
OH_MS_00.csv,6,53
OK_MS_00.csv,6,40
OR_MS_00.csv,9,76
RI_MS_00.csv,6,80
SC_MS_00.csv,6,62
SD_MS_00.csv,6,84
TN_MS_00.csv,5,95
TX_MS_00.csv,7,65
UT_MS_00.csv,5,71
VA_MS_00.csv,5,41
WA_MS_00.csv,5,40
WI_MS_00.csv,6,42
WV_MS_00.csv,6,40
WY_MS_00.csv,7,41
