state,Concat
Alabama_MS_edited.csv,0
Alaska_MS_edited.csv,
Arizona_MS_edited.csv,0
Arkansas_MS_edited.csv,0
California_MS_edited.csv,0
Colorado_MS_edited.csv,0
Connecticut_MS_edited.csv,
Delaware_MS_edited.csv,
Florida_MS_edited.csv,
Georgia_MS_edited.csv,
Hawaii_MS_edited.csv,
Idaho_MS_edited.csv,
Illinois_MS_edited.csv,
Indiana_MS_edited.csv,1
Iowa_MS_edited.csv,
Kansas_MS_edited.csv,1
Kentucky_MS_edited.csv,1
Louisiana_MS_edited.csv,1
Maine_MS_edited.csv,
Maryland_MS_edited.csv,1
Massachusetts_MS_edited.csv,1
Michigan_MS_edited.csv,1
Minnesota_MS_edited.csv,1
Mississippi_MS_edited.csv,1
Missouri_MS_edited.csv,0
Montana_MS_edited.csv,
Nebraska_MS_edited.csv,
Nevada_MS_edited.csv,
New Hampshire_MS_edited.csv,
New Jersey_MS_edited.csv,
New Mexico_MS_edited.csv,
New York_MS_edited.csv,
North Carolina_MS_edited.csv,
North Dakota_MS_edited.csv,
Ohio_MS_edited.csv,
Oklahoma_MS_edited.csv,
Oregon_MS_edited.csv,
Pennsylvania_MS_edited.csv,1
Rhode Island_MS_edited.csv,1
South Carolina_MS_edited.csv,1
South Dakota_MS_edited.csv,1
Tennessee_MS_edited.csv,0
Texas_MS_edited.csv,1
Utah_MS_edited.csv,0
Vermont_MS_edited.csv,
Virginia_MS_edited.csv,1
Washington DC_MS_edited.csv,0
Washington_MS_edited.csv,
West Virginia_MS_edited.csv,0
Wisconsin_MS_edited.csv,
Wyoming_MS_edited.csv,0
