Alaska,,,,
Keyword,Grade/Area,,,
Religion/ religious,Grade 7 World History and Geography Standards / Theme 2: Ancient Civilizations and the Development of World Religions,Topic World Religions / Geography Anchor Standards 18 Geographic Representations and Reasoning / SS.7.2.18.1 Construct and use different types of maps and graphs to represent and analyze religions.,"Topic World Religions / Geography Anchor Standards 18 Geographic Representations and Reasoning / SS.7.2.18.2 Construct and use mental maps and infographics to represent and analyze the cultural, religious, and environmental characteristics that make places both similar to and different from each other.",
,Grade 7 World History and Geography Standards / Theme 3: Post-Classical (Medieval and Mesoamerica),Topic Politics and Religion / Civics Anchor Standard 7 Participation and Deliberation / SS.7.3.7.1 Explain the connection between politics and religion in complex early societies.,,
Spirit/Spiritual,"Grade 8 U.S. History and Civics / Theme 1: Geography and Early Civilizations of the Americas (Time Period: 10,000 BCE to 1492 CE)","Topic Indigenous Cultural Groups of the Americas / Geography Anchor Standard 16 Human Environment: Place, Regions, and Culture / SS.8.1.16.2 Identify the spiritual, cultural, and economic significance of geographic features in Indigenous communities.",,
Holiday,,,,
Christian/Christmas,,,,
Muslim/Islam/Ramadan,,,,
Jew/Judaism/Hanukah/Holocaust,,,,
Hindu,,,,
Buddhism,,,,
Sikh,,,,
Mormon,,,,
Kwanzaa,,,,
Genocide,,,,
Persecution,,,,
Church,,,,
Mosque,,,,
Temple,,,,
Synagogue,,,,
Pilgrim/pilgrimage,,,,
Mission/Missionary/missionaries,,,,
,,,,
,,,,
shaman,,,,
god,,,,
Theocracy,,,,
Theology,,,,
Crusades,,,,
Catholic,,,,
Protestant,,,,
Theocratic,,,,
Antisemitism,,,,
Israelite & Hebrew,,,,
Confucian/Confucianism/Confucius,,,,
Jain/Jainism,,,,
Tao/Taoism/Dao/Daoism/Lao Tzu/Laozi,,,,
Shinto/Shintoism,,,,
Zoroastrianism,,,,
Bahai/Baha 'i,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Notes:,,,,
