State,Arizona,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
AZ,Keyword,Grade/Area,,,
AZ,Religion/Religious,6,Global Studies: World Religions and Cultures of the Eastern Hemisphere,INTRODUCTION.,"Sixth grade students will understand the cultural, religious, economic, and political systems of selected societies in the Eastern Hemisphere."
AZ,Religion/Religious,6,Global Studies: World Religions and Cultures of the Eastern Hemisphere,LIST OF,"TOPICS. Different civilizations in the Eastern Hemisphere during the Middle Ages with regards to political, social, religious, and economic systems"
AZ,Religion/Religious,6,Global Studies: World Religions and Cultures of the Eastern Hemisphere,LIST OF,"TOPICS. World religions including, but not limited to Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism, (origins, founders, major tenets, practices, and sacred writings)"
AZ,Religion/Religious,6,Global Studies: World Religions and Cultures of the Eastern Hemisphere,LIST OF,"TOPICS. Classical civilizations such as Greek, Roman, Persian, and Chinese (political, social, religious, and economic systems)"
AZ,Religion/Religious,6,Global Studies: World Religions and Cultures of the Eastern Hemisphere,6.H2.1.,"Evaluate the causes and effects of conflict and resolution among different societies and cultures. Key factors such as control and use of natural resources, political power, religious rivalry, acquisition of wealth, cultural diversity, and economic rivalry."
AZ,Religion/Religious,6,Global Studies: World Religions and Cultures of the Eastern Hemisphere,6.H3.1.,"Analyze the impact of religious, government, and civic groups over time."
AZ,Religion/Religious,6,Global Studies: World Religions and Cultures of the Eastern Hemisphere,6.G1.1.,"Use and construct maps, graphs, and other representations to explain relationships between locations of places and regions. Key concepts include major landforms and water bodies, countries, cities, ecosystems, climate, languages, religion, economic systems, governmental systems, population patterns, disease, trade routes, and settlement patterns."
AZ,Religion/Religious,6,Global Studies: World Religions and Cultures of the Eastern Hemisphere,6.H3.2.,"Generate questions to examine the similarities and differences between major world religions and the role of religion in the formation of regions and their cultural, political, economic, and social identity. Key world religions such as Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism."
AZ,Religion/Religious,7,Integrated Global Studies: Scientific Revolution & Enlightenment present,7.H3.1.,Compare the origins and spread of influential ideologies and both religious and non-religious worldviews.
AZ,Religion/Religious,8,Citizenship and Civic Engagement in Today's Society,8.H3.1.,"Explain how and why prevailing civil, social, religious, and political movements changed the United States during the 20th and 21st centuries."
AZ,Religion/Religious,,History Anchor Standards,H3:,"Economic, political, and religious ideas and institutions have influenced history and continue to shape the modern world."
AZ,Spirit/spiritual,NA,,,
AZ,Holiday,NA,,,
AZ,Christian/Christmas,NA,,,
AZ,Christianity,6,Global Studies: World Religions and Cultures of the Eastern Hemisphere,LIST OF,"TOPICS. World religions including, but not limited to Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism, (origins, founders, major tenets, practices, and sacred writings)"
AZ,Christianity,6,Global Studies: World Religions and Cultures of the Eastern Hemisphere,6.H3.2.,"Generate questions to examine the similarities and differences between major world religions and the role of religion in the formation of regions and their cultural, political, economic, and social identity. Key world religions such as Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism."
AZ,Muslim,NA,,,
AZ,Islam,6,Global Studies: World Religions and Cultures of the Eastern Hemisphere,LIST OF,"TOPICS. World religions including, but not limited to Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism, (origins, founders, major tenets, practices, and sacred writings)"
AZ,Islam,6,Global Studies: World Religions and Cultures of the Eastern Hemisphere,6.H3.2.,"Generate questions to examine the similarities and differences between major world religions and the role of religion in the formation of regions and their cultural, political, economic, and social identity. Key world religions such as Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism."
AZ,Ramadan,NA,,,
AZ,Jew,NA,,,
AZ,Judaism,6,Global Studies: World Religions and Cultures of the Eastern Hemisphere,LIST OF,"TOPICS. World religions including, but not limited to Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism, (origins, founders, major tenets, practices, and sacred writings)"
AZ,Judaism,6,Global Studies: World Religions and Cultures of the Eastern Hemisphere,6.H3.2.,"Generate questions to examine the similarities and differences between major world religions and the role of religion in the formation of regions and their cultural, political, economic, and social identity. Key world religions such as Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism."
AZ,Hanukkah,NA,,,
AZ,Holocaust,8,Citizenship and Civic Engagement,LIST OF,"TOPICS. Human rights and genocides including treaties and organizations that promote human rights and a study of the nations that abuse human rights and/or support genocide (In addition to the study of the Holocaust, other genocides should be studied)."
AZ,Hindu/Hinduism,6,Global Studies: World Religions and Cultures of the Eastern Hemisphere,LIST OF,"TOPICS. World religions including, but not limited to Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism, (origins, founders, major tenets, practices, and sacred writings)"
AZ,Hindu/Hinduism,6,Global Studies: World Religions and Cultures of the Eastern Hemisphere,6.H3.2.,"Generate questions to examine the similarities and differences between major world religions and the role of religion in the formation of regions and their cultural, political, economic, and social identity. Key world religions such as Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism."
