State,Louisana,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
LA,Keyword,Grade/Area,,,
LA,Religion/Religious,6,The United States and Louisiana: Beginnings Through Ratification,6.9,"c. Compare and contrast the New England, Middle, and Southern colonies, including their physical geography, religion, education, economy, and government."
LA,Spirit/spiritual,N/a,,,
LA,Holiday,N/a,,,
LA,Christian/Christmas,6,The United States and Louisiana: Beginnings Through Ratification,6.11,"a. Analyze the historical and religious factors that influenced the development of government in the United States, including those from ancient Greece; the Roman Republic; the Judeo-Christian tradition; English rule of law and the Magna Carta; Enlightenment philosophies; and the Great Awakening."
LA,Christian/Christmas,8,The United States and Louisiana: Industrial Age Through Modern Era,8.15,"h. Explain the role and importance of key individuals and groups of the civil rights movement, including the Congress of Racial Equality (CORE), Dr. Martin Luther King Jr., Rosa Parks, the Southern Christian Leadership Conference (SCLC), the Student Nonviolent Coordinating Committee (SNCC), Medgar Evers, Shirley Chisholm, Fannie Lou Hamer, and Malcolm X."
LA,Muslim/Islam/Ramadan,N/a,,,
LA,Jew/Judaism/Hanukah/Holocaust,8,The United States and Louisiana: Industrial Age Through Modern Era,8.14,"Explain the causes and consequences of the Holocaust, including antisemitism, Nuremberg Laws restricting civil rights, resistance efforts, experiences of people including Anne Frank, concentration camp system, liberation of camps by the Allies, and Nuremberg trials."
LA,Hindu,N/a,,,
LA,Buddhism,N/a,,,
LA,Sikh,N/a,,,
LA,Mormon,7,The United States and Louisiana: Early Republic Through Reconstruction,7.1,"g. Explain the motivation and means of migration West, the experiences of the settlers, and resulting changes in the West, including the Gold Rush (1848 1855), trails (Oregon Trail, Mormon Trail, and Santa Fe Trail), first transcontinental telegraph, and the transcontinental railroad."
LA,Kwanzaa,N/a,,,
LA,Genocide,N/a,,,
LA,Persecution,N/a,,,
LA,Church,N/a,,,
LA,Mosque,N/a,,,
LA,Temple,N/a,,,
LA,Temple,N/a,,,
LA,Synagogue,N/a,,,
LA,Pilgrim/pilgrimage,6,The United States and Louisiana: Beginnings Through Ratification,6.9,"d. Explain the contributions of key individuals and groups to the foundation of the colonies, including Pilgrims, Puritans, Quakers, John Smith, Roger Williams, Anne Hutchinson, William Penn, Edward Winslow, William Bradford, John Winthrop, John Rolfe, and Pocahontas."
LA,Mission/Missionary/missionaries,N/a,,,
LA,shaman,N/a,,,
LA,god,N/a,,,
LA,Protestant,N/a,,,
LA,Theocratic,N/a,,,
LA,Antisemitism,8,The United States and Louisiana: Industrial Age Through Modern Era,8.14,"Explain the causes and consequences of the Holocaust, including antisemitism, Nuremberg Laws restricting civil rights, resistance efforts, experiences of people including Anne Frank, concentration camp system, liberation of camps by the Allies, and Nuremberg trials."
LA,Israelite & Hebrew,NA,,,
LA,Confucian/Confucianism/Confucius,NA,,,
LA,Jain/Jainism,NA,,,
LA,Tao/Taoism/Dao/Danish/Lao Tzu/Laozi,NA,,,
LA,Shinto/Shintoism,NA,,,
LA,Zoroastrianism,NA,,,
LA,Bahai/Baha 'i,NA,,,
