State,Maryland,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
MD,Keyword,Grade/Area,,,
MD,Religion/Religious,6-7,Unit 1: Geographic Thinking,Students will analyze how the cultural geography of the United States demonstrates unity amid diversity by:,
MD,Religion/Religious,6-7,Unit 3: Human Systems- Political Structure,"Students will analyze regional and local examples of how theocracies generated stability, promoted conflict, and/or caused rebellion by:",
MD,Religion/Religious,6-7,Unit 4: Movement of Pathogens and Ideas,Students will evaluate the global movement of religion and its impacts by:,EQ: How do religious systems move and spread?
MD,Religion/Religious,6-7,Unit 4: Movement of Pathogens and Ideas,Students will evaluate the global movement of religion and its impacts by:,
MD,Religion/Religious,6-7,Unit 5: Movement of Humans,"Students will analyze how the expansion of Islam impacted regional political, economic, and cultural transformation by:",
MD,Religion/Religious,8,Colonization (1607- 1754),Students will analyze how geography and economics influenced the location and development of Colonial North American regions by:,
MD,Spirit/spiritual,NA,,,
MD,Holiday,NA,,,
MD,Christian/Christmas,6-7,Unit 4: Movement of Pathogens and Ideas,Students will evaluate the global movement of religion and its impacts by:,
MD,Christian/Christmas,6-7,Unit 7: Place and Region,"Students will explore the local, regional, and global relationships that have defined Jerusalem as a place by:",
MD,Muslim/Islam/Ramadan,6-7,Unit 4: Movement of Pathogens and Ideas,Students will evaluate the global movement of religion and its impacts by:,
MD,Muslim/Islam/Ramadan,6-7,Unit 5: Movement of Humans,"Students will analyze how the expansion of Islam impacted regional political, economic, and cultural transformation by:",
MD,Muslim/Islam/Ramadan,6-7,Unit 5: Movement of Humans,"Students will analyze how the expansion of Islam impacted regional political, economic, and cultural transformation by:",
MD,Muslim/Islam/Ramadan,6-7,Unit 7: Place and Region,"Students will explore the local, regional, and global relationships that have defined Jerusalem as a place by:",
MD,Jew/Judaism/Hanukah/Holocaust,6-7,Unit 4: Movement of Pathogens and Ideas,Students will evaluate the global movement of religion and its impacts by:,
MD,Jew/Judaism/Hanukah/Holocaust,6-7,Unit 7: Place and Region,"Students will explore the local, regional, and global relationships that have defined Jerusalem as a place by:",
MD,Jew/Judaism/Hanukah/Holocaust,6-7,Unit 7: Place and Region,"Students will explore the local, regional, and global relationships that have defined Jerusalem as a place by:",
MD,**Not key terms: Antisemitism,6-7,Unit 4: Movement of Pathogens and Ideas,Students will assess the effects of the Bubonic Plague on regional and local communities by:,
MD,Hindu,6-7,Unit 4: Movement of Pathogens and Ideas,Students will evaluate the global movement of religion and its impacts by:,
MD,Buddhism,6-7,Unit 4: Movement of Pathogens and Ideas,Students will evaluate the global movement of religion and its impacts by:,
MD,Sikh,6-7,Unit 4: Movement of Pathogens and Ideas,Students will evaluate the global movement of religion and its impacts by:,
MD,Mormon,NA,,,
MD,Kwanzaa,NA,,,
MD,Genocide,NA,,,
MD,Persecution,NA,,,
MD,Church,6-7,Unit 4: Movement of Pathogens and Ideas,Students will assess the effects of the Bubonic Plague on regional and local communities by:,
MD,Church,8,Civil War and Reunion (1860-1896),"Comparing the economic, political, social, religious and ethnic composition of colonial regions of New England, the mid-Atlantic, the Chesapeake, and the South.",
MD,Mosque,N/a,,,
MD,Temple,N/a,,,
MD,Synagogue,N/a,,,
MD,Pilgrim/pilgrimage,N/a,,,
MD,Mission/Missionary/missionaries,6-7,Unit 5: Movement of Humans,"Students will analyze how the expansion of Islam impacted regional political, economic, and cultural transformation by:",
MD,shaman,NA,,,
MD,god,NA,,,
MD,**Not Key terms: Jerusalem,6-7,Unit 7: Place and Region,"Students will explore the local, regional, and global relationships that have defined Jerusalem as a place by:",
MD,**Not Key terms: Jerusalem,6-7,Unit 7: Place and Region,"Students will explore the local, regional, and global relationships that have defined Jerusalem as a place by:",
MD,**Not Key terms: Jerusalem,6-7,Unit 7: Place and Region,"Students will explore the local, regional, and global relationships that have defined Jerusalem as a place by:",
MD,Protestant,NA,,,
MD,Theocratic,NA,,,
MD,Antisemitism,6-7,Unit 4: Movement of Pathogens and Ideas,Students will assess the effects of the Bubonic Plague on regional and local communities by:,
MD,Israelite & Hebrew,N/a,,,
MD,Confucian/Confucianism/Confucius,N/a,,,
MD,Jain/Jainism,N/a,,,
MD,Tao/Taoism/Dao/Danish/Lao Tzu/Laozi,N/a,,,
MD,Shinto/Shintoism,N/a,,,
MD,Zoroastrianism,N/a,,,
MD,Bahai/Baha 'i,N/a,,,
