State,Michigan,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
MI,Keyword,Grade,,,
MI,Religion/Religious,6,World Geography,6 G2.2.1,
MI,Religion/Religious,6,World geography,6 G4.1.2,"Examples may include but are not limited to: how different religions and/or nations assign, expect, or require different roles for men and women, such as who can vote, own property, or hold office. Note that gender roles are culturally defined and vary widely. Within a culture, the majority of traditional roles have varying degrees of acceptance and change over time"
MI,Religion/Religious,6,World geography,G-- G4.1.3,
MI,Religion/Religious,6,World geography,6 G4.1.4,"Examples may include but are not limited to: how people make a living, raise families, educate children and practice their religion in different cultures and communities."
MI,Religion/Religious,6,world geography,6 C1.1.1,"Examples may include but are not limited to: protecting individual rights, promoting the common good, providing economic security, molding the character of citizens, or promoting a particular religion. Purposes may also include keeping an ethnic group or party in power. Governments may include those of nation-states, newly independent states, emerging states, and other governmental entities such as tribal governments."
MI,Religion/Religious,7,World History and Geography,7 H1.4.1,"Examples may include but are not limited to: political and economic institutions, religion and beliefs, science and technology, written language, education, and family structure."
MI,Religion/Religious,7,World History and Geography,7 W3.2.1,"Examples may include, but are not limited to: comparing major figures, sacred texts, and basic beliefs (ethnic vs. universalizing; monotheistic vs. polytheistic) among religions; case studies of continuity of local indigenous belief systems or animistic religions; comparisons with religious traditions that developed after 1500 CE such as Protestantism."
MI,Religion/Religious,7,World History and Geography,8 W3.2.2,
MI,Religion/Religious,8,US History,8 U4.3.5,
MI,Religion/Religious,7,World History and Geography,7-- W3.1.1,"Examples may include but are not limited to: institutions, cultural styles, laws, religious beliefs and practices, and systems of thought that influenced neighboring peoples and have endured for several centuries."
MI,Spirit/spiritual,7,World History and Geography,7--H1.4.2,"Examples may include but are not limited to: several lists of history themes are available, including: SPEC (social, political, economic, and cultural) and the World History For Us All1 themes (Patterns of Population; Economic Networks and Exchange; Uses and Abuses of Power; Haves and Have-Nots; Expressing Identity; Science, Technology, and the Environment; and Spiritual Life and Moral Codes)."
MI,Holiday,N/a,,,
MI,Christian/Christmas,8,US History,8 U4.3.5,Examples may include but are not limited to: differences in beliefs by different denominations of Christianity.
MI,Christian/Christmas,7,World History and Geography,7 W3.2.1,"Examples may include, but are not limited to: comparing major figures, sacred texts, and basic beliefs (ethnic vs. universalizing; monotheistic vs. polytheistic) among religions; case studies of continuity of local indigenous belief systems or animistic religions; comparisons with religious traditions that developed after 1500 CE such as Protestantism."
MI,Muslim/Islam/Ramadan,7,World History and Geography,7 W3.2.1,
MI,Muslim/Islam/Ramadan,7,World History and Geography,7-- H1.1.1,Examples may include but are not limited to: sundial; lunar solar; Gregorian calendar: BC/AD; contemporary secular: BCE/CE; Chinese; Hebrew; Islamic/Hijri.
MI,Jew/Judaism/Hanukah/Holocaust,7,World History and Geography,7 W3.2.1,
MI,Jew/Judaism/Hanukah/Holocaust,7,World History and Geography,7-- H1.1.1,Examples may include but are not limited to: sundial; lunar solar; Gregorian calendar: BC/AD; contemporary secular: BCE/CE; Chinese; Hebrew; Islamic/Hijri.::(Not a keyword but noticed HEBREW)
MI,Hindu,7,World History and Geography,7 W3.2.1,
MI,Buddhism,7,World History and Geography,7 W3.2.1,
MI,Sikh,7,World History and Geography,7 W3.2.1,
MI,Mormon,,N/a,,
MI,Kwanzaa,,N/a,,
MI,Genocide,,N/a,,
MI,Persecution,,N/a,,
MI,Church,,N/a,,
MI,Mosque,,N/a,,
MI,Temple,,N/a,,
MI,Synagogue,,N/a,,
MI,Pilgrim/pilgrimage,,N/a,,
MI,Mission/Missionary/missionaries,,N/a,,
MI,shaman,,N/a,,
MI,god,,N/a,,
MI,Protestant,7,World History and Geography,W3.2.1,"Examples may include, but are not limited to: comparing major figures, sacred texts, and basic beliefs (ethnic vs. universalizing; monotheistic vs. polytheistic) among religions; case studies of continuity of local indigenous belief systems or animistic religions; comparisons with religious traditions that developed after 1500 CE such as Protestantism."
MI,Theocratic,NA,,,
MI,Antisemitism,NA,,,
MI,Israelite & Hebrew,7,World History and Geography,H1.1.1,Examples may include but are not limited to: sundial; lunar solar; Gregorian calendar: BC/AD; contemporary secular: BCE/CE; Chinese; Hebrew; Islamic/Hijri.
MI,Confucian/Confucianism/Confucius,7,World History and Geography,W3.2.1,
MI,Jain/Jainism,NA,,,
MI,Tao/Taoism/Dao/Danish/Lao Tzu/Laozi,NA,,,
MI,Shinto/Shintoism,NA,,,
MI,Zoroastrianism,NA,,,
MI,Bahai/Baha 'i,NA,,,
