State,Minnesota,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
MN,Keyword,Grade,Course,Strand,Code::Benchmark
MN,Religion/Religious,6,Minnesota Studies,Ethnic Studies,"6.5.23.1::Identify and explain how discrimination based on race, gender, economic, ableism, and social group identity affects the history, health, growth, and/or current experiences of residents of Minnesota."
MN,Religion/Religious,7,US History,Ethnic Studies,"7.5.23.1::Examine the benefits and consequences of power and privilege on issues associated with poverty, income and the accumulation of wealth."
MN,Religion/Religious,8,History,Global Studies,"8.4.19.2::Describe varieties of spiritual and religious beliefs and practices in the contemporary world, including, but not limited to, Shamanism/Animism, Hinduism, Jainism, Buddhism, Sikhism, Judaism, Christianity, Islam, Indigenous religious traditions in Africa and the Americas, and African diasporic religions."
MN,Religion/Religious,8,Ethnic Studies,Global Studies,8.5.23.1::Examine the cultures and histories of one or more ethnic groups who have immigrated to Minnesota since the 1950s.
MN,Religion/Religious,8,Ethnic Studies,Global Studies,"8.5.23.3::Examine economic patterns of migration locally and nationally and explore push-and-pull factors that lead to economic investment, divestment and destabilization."
MN,Spirit/ Spiritual,8,History,Global Studies,"8.4.19.2::Describe varieties of spiritual and religious beliefs and practices in the contemporary world, including, but not limited to, Shamanism/Animism, Hinduism, Jainism, Buddhism, Sikhism, Judaism, Christianity, Islam, Indigenous religious traditions in Africa and the Americas, and African diasporic religions."
MN,Holiday,N/a,,,
MN,Christian/Christmas,8,History,Global Studies,"8.4.19.2::Describe varieties of spiritual and religious beliefs and practices in the contemporary world, including, but not limited to, Shamanism/Animism, Hinduism, Jainism, Buddhism, Sikhism, Judaism, Christianity, Islam, Indigenous religious traditions in Africa and the Americas, and African diasporic religions."
MN,Muslim/Islam/Ramadan,8,History,Global Studies,"8.4.19.2::Describe varieties of spiritual and religious beliefs and practices in the contemporary world, including, but not limited to, Shamanism/Animism, Hinduism, Jainism, Buddhism, Sikhism, Judaism, Christianity, Islam, Indigenous religious traditions in Africa and the Americas, and African diasporic religions."
MN,Jew/Judaism/Hanukah/Holocaust,8,History,Global Studies,"8.4.19.2::Describe varieties of spiritual and religious beliefs and practices in the contemporary world, including, but not limited to, Shamanism/Animism, Hinduism, Jainism, Buddhism, Sikhism, Judaism, Christianity, Islam, Indigenous religious traditions in Africa and the Americas, and African diasporic religions."
MN,Jew/Judaism/Hanukah/Holocaust,7,History,US History,"7.4.18.3::Analyze connections between World War II, Fascism and the Holocaust. Identify the relationship between individuals experiences of these events and broader historical contexts."
MN,Jew/Judaism/Hanukah/Holocaust,8,History,Global Studies,"8.4.20.1::Use primary and secondary sources to analyze how individuals, groups, and societies around the world have been affected by genocide, the Holocaust, and mass violence, including communities resettled in Minnesota."
MN,Hindu,8,History,Global Studies,"8.4.19.2::Describe varieties of spiritual and religious beliefs and practices in the contemporary world, including, but not limited to, Shamanism/Animism, Hinduism, Jainism, Buddhism, Sikhism, Judaism, Christianity, Islam, Indigenous religious traditions in Africa and the Americas, and African diasporic religions."
MN,Buddhism,8,History,Global Studies,"8.4.19.2::Describe varieties of spiritual and religious beliefs and practices in the contemporary world, including, but not limited to, Shamanism/Animism, Hinduism, Jainism, Buddhism, Sikhism, Judaism, Christianity, Islam, Indigenous religious traditions in Africa and the Americas, and African diasporic religions."
MN,Sikh,8,History,Global Studies,"8.4.19.2::Describe varieties of spiritual and religious beliefs and practices in the contemporary world, including, but not limited to, Shamanism/Animism, Hinduism, Jainism, Buddhism, Sikhism, Judaism, Christianity, Islam, Indigenous religious traditions in Africa and the Americas, and African diasporic religions."
MN,Mormon,N/a,,,
MN,Kwanzaa,N/a,,,
MN,Genocide,6,History,MN Studies,"6.4.21.2::Construct a narrative about why and how people have migrated to Minnesota as a result of warfare and/or genocide since 1960, using primary sources about immigrant experiences."
MN,Genocide,8,History,Global Studies,"8.4.20.1::Use primary and secondary sources to analyze how individuals, groups, and societies around the world have been affected by genocide, the Holocaust, and mass violence, including communities resettled in Minnesota."
MN,Persecution,N/a,,,
MN,Church,N/a,,,
MN,Mosque,N/a,,,
MN,Temple,N/a,,,
MN,Synagogue,N/a,,,
MN,Pilgrim/pilgrimage,N/a,,,
MN,Mission/Missionary/missionaries,N/a,,,
MN,shaman,8,History,Global Studies,"8.4.19.2::Describe varieties of spiritual and religious beliefs and practices in the contemporary world, including, but not limited to, Shamanism/Animism, Hinduism, Jainism, Buddhism, Sikhism, Judaism, Christianity, Islam, Indigenous religious traditions in Africa and the Americas, and African diasporic religions."
MN,god,N/a,,,
MN,Protestant,N/a,,,
MN,Theocratic,N/a,,,
MN,Antisemitism,N/a,,,
MN,Israelite & Hebrew,N/a,,,
MN,Confucian/Confucianism/Confucius,8,History,Global Studies,"8.4.19.2::Describe varieties of spiritual and religious beliefs and practices in the contemporary world, including, but not limited to, Shamanism/Animism, Hinduism, Jainism, Buddhism, Sikhism, Judaism, Christianity, Islam, Indigenous religious traditions in Africa and the Americas, and African diasporic religions."
MN,Jain/Jainism,8,History,Global Studies,"8.4.19.2::Describe varieties of spiritual and religious beliefs and practices in the contemporary world, including, but not limited to, Shamanism/Animism, Hinduism, Jainism, Buddhism, Sikhism, Judaism, Christianity, Islam, Indigenous religious traditions in Africa and the Americas, and African diasporic religions."
MN,Tao/Taoism/Dao/Danish/Lao Tzu/Laozi,NA,,,
MN,Shinto/Shintoism,NA,,,
MN,Zoroastrianism,NA,,,
MN,Bahai/Baha 'i,NA,,,
