Minnesota,,,
Keyword,Grade,Course,Strand
Keyword,Grade,Course,Standard
Keyword,Grade,Course,Code
Keyword,Grade,Course,Benchmark
Religion/Religious,6,Minnesota Studies,Ethnic Studies
Religion/Religious,6,Minnesota Studies,"23. Identity: Analyze the ways power and language construct the social identities of race, religion, geography, ethnicity, and gender. Apply these understandings to one s own social identities and other groups living in Minnesota, centering those whose stories and histories have been marginalized, erased, or ignored."
Religion/Religious,6,Minnesota Studies,6.5.23.1
Religion/Religious,6,Minnesota Studies,"Identify and explain how discrimination based on race, gender, economic, ableism, and social group identity affects the history, health, growth, and/or current experiences of residents of Minnesota."
Religion/Religious,7,US History,Ethnic Studies
Religion/Religious,7,US History,"23. Identity: Analyze the ways power and language construct the social identities of race, religion, geography, ethnicity, and gender. Apply these understandings to one s own social identities and other groups living in Minnesota, centering those whose stories and histories have been marginalized, erased, or ignored."
Religion/Religious,7,US History,7.5.23.1
Religion/Religious,7,US History,"Examine the benefits and consequences of power and privilege on issues associated with poverty, income and the accumulation of wealth."
Religion/Religious,8,History,Global Studies
Religion/Religious,8,History,"19. Historical Perspectives: Identify diverse points of view, and describe how one s frame of reference influences historical perspective."
Religion/Religious,8,History,8.4.19.2
Religion/Religious,8,History,"Describe varieties of spiritual and religious beliefs and practices in the contemporary world, including, but not limited to, Shamanism/Animism, Hinduism, Jainism, Buddhism, Sikhism, Judaism, Christianity, Islam, Indigenous religious traditions in Africa and the Americas, and African diasporic religions."
Religion/Religious,8,Ethnic Studies,Global Studies
Religion/Religious,8,Ethnic Studies,"23. Identity: Analyze the ways power and language construct the social identities of race, religion, geography, ethnicity, and gender. Apply these understandings to one s own social identities and other groups living in Minnesota, centering those whose stories and histories have been marginalized, erased, or ignored."
Religion/Religious,8,Ethnic Studies,8.5.23.1
Religion/Religious,8,Ethnic Studies,Examine the cultures and histories of one or more ethnic groups who have immigrated to Minnesota since the 1950s.
Religion/Religious,8,Ethnic Studies,Global Studies
Religion/Religious,8,Ethnic Studies,"23. Identity: Analyze the ways power and language construct the social identities of race, religion, geography, ethnicity, and gender. Apply these understandings to one s own social identities and other groups living in Minnesota, centering those whose stories and histories have been marginalized, erased, or ignored."
Religion/Religious,8,Ethnic Studies,8.5.23.3
Religion/Religious,8,Ethnic Studies,"Examine economic patterns of migration locally and nationally and explore push-and-pull factors that lead to economic investment, divestment and destabilization."
Spirit/ Spiritual,8,History,Global Studies
Spirit/ Spiritual,8,History,"19. Historical Perspectives: Identify diverse points of view, and describe how one s frame of reference influences historical perspective."
Spirit/ Spiritual,8,History,8.4.19.2
