State,Mississippi,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
MS,Keyword,Grade/Area,Course,Code,Objectives
MS,Religion/Religious,6,Civics and the World,CR.6.2,"3. Select three Western Europe, Eastern Europe, Latin America, South Asia, East Asia, Middle East, North Africa and sub-Saharan Africa countries and identify the cultural and historical factors (ex. First Nations, colonization, war and conquest, and religion) that have shaped the civic identity of those cultures and the expectations they have for civic participation."
MS,Religion/Religious,6,Civics and the World,H.6.1,"1. Describe the major aspects of culture (religion/belief systems, language, ethnicity, institutions, technology, art, architecture, dress, foods, traditions, etc.)."
MS,Religion/Religious,7,Early World History,7.1,"Illustrate an understanding of the development of civilization in the Nile River Valley. (Strands: Civics, Civil Rights, Geography, History, Economics)"
MS,Religion/Religious,7,Early World History,7.5,2. Compare and contrast how religion affected the daily lives of the Romans: describe
MS,Religion/Religious,7,Early World History,7.6,2. Inspect the origins and foundational beliefs of traditional African religions as well as the influence of Islam on the civilizations of sub-Saharan Africa.
MS,Religion/Religious,7,Early World History,7.7,"1. Compare and contrast animism, monotheism, and polytheism. 2. Explain the origins and foundational beliefs of the spread of Christianity, Islam, and Judaism. 3. Inspect the origins and foundational beliefs of the spread of Buddhism and Hinduism."
MS,Religion/Religious,7,Early World History,7C.3,"3. Select three Western Europe, Eastern Europe, Latin America, South Asia, East Asia, Middle East, North Africa and sub-Saharan Africa countries and identify the cultural and historical factors (ex. First Nations, colonization, war and conquest, and religion) that have shaped the civic identity of those cultures and the expectations they have for civic participation."
MS,Religion/Religious,7,US History,7C.10,"3. Analyze the purpose, challenges, political, racial, religious and economic incentives associated with the concept of Manifest Destiny."
MS,Religion/Religious,7,US History,7C.13,"2. Trace the origins and development of slavery and its impact on the nation s political, social, religious, economic, and cultural development."
MS,Religion/Religious,8,US History,8.5,"3. Analyze the purpose, challenges, political, racial, religious and economic incentives associated with the concept of Manifest Destiny."
MS,Religion/Religious,8,US History,8.6,"4. Compare and contrast the cultural, religious and social impact in American life that resulted from the Industrial Revolution."
MS,Religion/Religious,8,US History,8.8,"2. Trace the origins and development of slavery and its impact on the nation s political, social, religious, economic, and cultural development."
MS,Spirit/spiritual,N/a,,,
MS,Holiday,N/a,,,
MS,Christian/Christmas,7,Early World History,7.7,"1. Compare and contrast animism, monotheism, and polytheism. 2. Explain the origins and foundational beliefs of the spread of Christianity, Islam, and Judaism. 3. Inspect the origins and foundational beliefs of the spread of Buddhism and Hinduism."
MS,Muslim/Islam/Ramadan,7,Early World History,7.7,"1. Compare and contrast animism, monotheism, and polytheism. 2. Explain the origins and foundational beliefs of the spread of Christianity, Islam, and Judaism. 3. Inspect the origins and foundational beliefs of the spread of Buddhism and Hinduism."
MS,Muslim/Islam/Ramadan,7,Early World History,7.6,2. Inspect the origins and foundational beliefs of traditional African religions as well as the influence of Islam on the civilizations of sub-Saharan Africa.
MS,Jew/Judaism/Hanukah/Holocaust,7,Early World History,7.7,"1. Compare and contrast animism, monotheism, and polytheism. 2. Explain the origins and foundational beliefs of the spread of Christianity, Islam, and Judaism. 3. Inspect the origins and foundational beliefs of the spread of Buddhism and Hinduism."
MS,Hindu,7,Early World History,7.7,"1. Compare and contrast animism, monotheism, and polytheism. 2. Explain the origins and foundational beliefs of the spread of Christianity, Islam, and Judaism. 3. Inspect the origins and foundational beliefs of the spread of Buddhism and Hinduism."
MS,Hindu,7,Early World History,7.3,2. Analyze the influence of Hinduism on the Indian culture and social practices.
MS,Buddhism,7,Early World History,7.7,"1. Compare and contrast animism, monotheism, and polytheism. 2. Explain the origins and foundational beliefs of the spread of Christianity, Islam, and Judaism. 3. Inspect the origins and foundational beliefs of the spread of Buddhism and Hinduism."
MS,Sikh,N/a,,,
MS,Mormon,N/a,,,
MS,Kwanzaa,N/a,,,
MS,Genocide,N/a,,,
MS,Persecution,N/a,,,
MS,Church,7,Early World History,7.8,Apply theories on life cycle development to explain differences in social interactions and relationships at different points in the life cycle of a human being based on cultural socialization in response to those developmental changes. (
MS,Mosque,NA,,,
MS,Temple,NA,,,
MS,Synagogue,NA,,,
MS,Pilgrim/pilgrimage,NA,,,
MS,Mission/Missionary/missionaries,NA,,,
MS,shaman,NA,,,
MS,god,NA,,,
MS,Protestant,NA,,,
MS,Theocratic,NA,,,
MS,Antisemitism,NA,,,
MS,Israelite & Hebrew,NA,,,
MS,Confucian/Confucianism/Confucius,7,Early World History,7.2,"Compare and contrast the origins, foundational beliefs and spread of Confucianism and Taoism."
MS,Jain/Jainism,NA,,,
MS,Tao/Taoism/Dao/Danish/Lao Tzu/Laozi,7,Early World History,7.2,"Compare and contrast the origins, foundational beliefs and spread of Confucianism and Taoism."
MS,Shinto/Shintoism,NA,,,
MS,Zoroastrianism,NA,,,
MS,Bahai/Baha 'i,NA,,,
