Mississippi,,,
Keyword,Grade/Area,Course,Code
Keyword,Grade/Area,Course,Standard
Keyword,Grade/Area,Course,Objectives
Religion/Religious,6,Civics and the World,CR.6.2
Religion/Religious,6,Civics and the World,"Formulate an understanding of citizenship roles in Western Europe, Eastern Europe, Latin America, South Asia, East Asia, Middle East and North Africa and Sub-Saharan Africa and how they are influenced by a variety of factors."
Religion/Religious,6,Civics and the World,"3. Select three Western Europe, Eastern Europe, Latin America, South Asia, East Asia, Middle East, North Africa and sub-Saharan Africa countries and identify the cultural and historical factors (ex. First Nations, colonization, war and conquest, and religion) that have shaped the civic identity of those cultures and the expectations they have for civic participation."
Religion/Religious,6,Civics and the World,H.6.1
Religion/Religious,6,Civics and the World,Explain the characteristics and development of culture.
Religion/Religious,6,Civics and the World,"1. Describe the major aspects of culture (religion/belief systems, language, ethnicity, institutions, technology, art, architecture, dress, foods, traditions, etc.)."
Religion/Religious,7,Early World History,7.1
Religion/Religious,7,Early World History,"Illustrate an understanding of the development of civilization in the Nile River Valley. (Strands: Civics, Civil Rights, Geography, History, Economics)"
Religion/Religious,7,Early World History,"Illustrate an understanding of the development of civilization in the Nile River Valley. (Strands: Civics, Civil Rights, Geography, History, Economics)"
Religion/Religious,7,Early World History,7.5
Religion/Religious,7,Early World History,"Inspect the development Roman Civilization. (Strands: Civics, Civil Rights, Geography, History, Economics)"
Religion/Religious,7,Early World History,2. Compare and contrast how religion affected the daily lives of the Romans: describe
Religion/Religious,7,Early World History,7.6
Religion/Religious,7,Early World History,"Explore and evaluate the development of subSaharan civilizations in East, South and West Africa. (Strands: Civics, Civil Rights, Geography, History, Economics)"
Religion/Religious,7,Early World History,2. Inspect the origins and foundational beliefs of traditional African religions as well as the influence of Islam on the civilizations of sub-Saharan Africa.
Religion/Religious,7,Early World History,7.7
Religion/Religious,7,Early World History,"Compare and contrast the developments of early world religions and philosophies. (Strands: Civics, Civil Rights, History)"
Religion/Religious,7,Early World History,"1. Compare and contrast animism, monotheism, and polytheism. 2. Explain the origins and foundational beliefs of the spread of Christianity, Islam, and Judaism. 3. Inspect the origins and foundational beliefs of the spread of Buddhism and Hinduism."
Religion/Religious,7,Early World History,7C.3
Religion/Religious,7,Early World History,"Formulate an understanding of citizenship roles in Western Europe, Eastern Europe, Latin America, South Asia, East Asia, Middle East and North Africa and Sub-Saharan Africa and how they are influenced by a variety of factors. (Strands: Civics, Civil Rights, Geography, History, Economics)"
Religion/Religious,7,Early World History,"3. Select three Western Europe, Eastern Europe, Latin America, South Asia, East Asia, Middle East, North Africa and sub-Saharan Africa countries and identify the cultural and historical factors (ex. First Nations, colonization, war and conquest, and religion) that have shaped the civic identity of those cultures and the expectations they have for civic participation."
Religion/Religious,7,US History,7C.10
Religion/Religious,7,US History,"3. Analyze the purpose, challenges, political, racial, religious and economic incentives associated with the concept of Manifest Destiny."
Religion/Religious,7,US History,"3. Analyze the purpose, challenges, political, racial, religious and economic incentives associated with the concept of Manifest Destiny."
Religion/Religious,7,US History,7C.13
Religion/Religious,7,US History,"Examine the social and economic conflicts between the North and South that would eventually led to the American Civil War. (Strands: Civics, Civil Rights, Geography, History, Economics)"
Religion/Religious,7,US History,"2. Trace the origins and development of slavery and its impact on the nation s political, social, religious, economic, and cultural development."
Religion/Religious,8,US History,8.5
Religion/Religious,8,US History,"Interpret the geographical, social, and political causes, challenges, and effects of westward expansion. (Strands: Civics, Civil Rights, Geography, History, Economics)"
Religion/Religious,8,US History,"3. Analyze the purpose, challenges, political, racial, religious and economic incentives associated with the concept of Manifest Destiny."
Religion/Religious,8,US History,8.6
Religion/Religious,8,US History,"Interpret the causes, challenges, and effects of the Industrial Revolution. (Strands: Civics, Civil Rights, Geography, History, Economics)"
Religion/Religious,8,US History,"4. Compare and contrast the cultural, religious and social impact in American life that resulted from the Industrial Revolution."
Religion/Religious,8,US History,8.8
Religion/Religious,8,US History,"Interpret the social and economic conflicts between the North and South that would eventually led to the American Civil War. (Strands: Civics, Civil Rights, Geography, History, Economics)"
Religion/Religious,8,US History,"2. Trace the origins and development of slavery and its impact on the nation s political, social, religious, economic, and cultural development."
Spirit/spiritual,N/a,,
Holiday,N/a,,
Christian/Christmas,7,Early World History,7.7
Christian/Christmas,7,Early World History,"Compare and contrast the developments of early world religions and philosophies. (Strands: Civics, Civil Rights, History)"
Christian/Christmas,7,Early World History,"1. Compare and contrast animism, monotheism, and polytheism. 2. Explain the origins and foundational beliefs of the spread of Christianity, Islam, and Judaism. 3. Inspect the origins and foundational beliefs of the spread of Buddhism and Hinduism."
Muslim/Islam/Ramadan,7,Early World History,7.7
Muslim/Islam/Ramadan,7,Early World History,"Compare and contrast the developments of early world religions and philosophies. (Strands: Civics, Civil Rights, History)"
