State,Missouri,Unnamed: 1,Unnamed: 2,Unnamed: 3
MO,Keyword,Grade/Area,Subject,
MO,Religion/Religious,6-8,American History,"1. History: Continuity and Change, E. Evaluate the responses of early American leaders to the social, political, economic and religious challenges facing the new nation."
MO,Religion/Religious,6-8,American History,"1. History: Continuity and Change, Expansion- B. Evaluate the responses of North and South American leaders to the social, political, economic and religious challenges of the period."
MO,Religion/Religious,6-8,American History,"5. People, Groups, and Cultures | Settlements- A. Analyze the religious. cultural, political and intellectual developments of Spanish, Portuguese, British and French regions to explain the development of diverse cultures throughout the Americas"
MO,Religion/Religious,6-8,American History,"5. People, Groups, and Cultures | Settlements- B. Analyze the religious, cultural, and intellectual developments of the European colonies to explain the development of regionalism and an American identity"
MO,Religion/Religious,6-8,American History,"5. People, Groups, and Cultures | Founding- B. Analyze populations of colonias/states to explain how their cultral, religious, social, and economic characteristics influenced the emergence of regional identity."
MO,Religion/Religious,6-8,American History,"5. People, Groups, and Cultures | Expansion- C. Analyze artistic, intellectual, and religious movements to show how they reflect the aspirations and beliefs of the developing nation."
MO,Religion/Religious,6-8,World History,"2. Governmental Systems and Principles, Regional Interconnectedness and Conflict- C. Analyze the conflict and cooperation between religions and the states to determine their impact on people and societies."
MO,Religion/Religious,6-8,World History,"5. People, Groups and Cultures | Early Civilizations: Geography's Impact on History- A. Explain the significance of monotheistic and polytheistic religions to the social and political order of early civilizations"
MO,Religion/Religious,6-8,Geography,"5. People, Groups and Cultures- Analyze religion and belief systems of a place to determine their varying impact on people, groups, and cultures."
MO,Spirit/Spiritual,NA,,
MO,Holiday,NA,,
MO,Christian/Christmas,6-8,World History,"5. People, Groups, and Cultures | D. From a historical perspective, explain the origin, structure, spread, and significant beliefs of Christianity."
MO,Muslim/Islam/Ramadan,6-8,World History,"1. History: Continuinty and Change | Middle Ages- Regional Interconnectedness and Conflict: B. Explain the origins and significance of the expansion of the Muslim and Mongol rule in Europe, Asia and Africa."
MO,Muslim/Islam/Ramadan,6-8,World History,"5. People, Groups and Cultures | Middle Ages- Regional Interconnectedness and Conflict: B. From a historical perspectice, explain the origin, structure, spread, and significant beliefs of Islam."
MO,Jew/Judaism/Hanukah/Holocaust,6-8,World History,"5. People, Groups and Cultures | Early Civilizations: Geography's Impact on History- B. Describe the origins, structure, and essential beliefs of Judaism, Hinduism, and Buddhism."
MO,Hindu,6-8,World History,"5. People, Groups and Cultures | Early Civilizations: Geography's Impact on History- B. Describe the origins, structure, and essential beliefs of Judaism, Hinduism, and Buddhism."
MO,Buddhism,6-8,World History,"5. People, Groups and Cultures | Early Civilizations: Geography's Impact on History- B. Describe the origins, structure, and essential beliefs of Judaism, Hinduism, and Buddhism."
MO,Sikh,NA,,
MO,Mormon,NA,,
MO,Kwanzaa,NA,,
MO,Genocide,NA,,
MO,Persecution,NA,,
MO,Church,NA,,
MO,Mosque,NA,,
MO,Temple,NA,,
MO,Synagogue,NA,,
MO,Pilgrim/pilgrimage,NA,,
MO,Mission/Missionary/missionaries,NA,,
MO,shaman,NA,,
MO,god,NA,,
MO,Catholic,NA,,
MO,Protestant,NA,,
MO,Theocracy/Theocratic,6-8,World History,"2. Governmental Systems and Principles: Early Civilizations: Geography's Impact on History | A. Explain the origins, functions, and structure of monarchies, theocracies, city states, empires and dynasties."
MO,Theocracy/Theocratic,6-8,World History,"2. Governmental Systems and Principles: Early Civilizations: Geography's Impact on History | B. Distinguish the powers and responsibilities of subjects and political leaders in monarchies, theocracies, city-states, and empires."
MO,Antisemitism,NA,,
MO,Israelite/Hebrew,NA,,
MO,Confucian,NA,,
MO,Jain/Jainism,NA,,
MO,Tao/Taoism/Dao/Daoism,NA,,
MO,Shinto/Shintoism,NA,,
