Montana,,,,,,,
Keyword,Grade/Area,,,,,,
Religion/Religious,,,,,,,
Spirit/spiritual,,,,,,,
Holiday,,,,,,,
Christian/Christmas,,,,,,,
Muslim/Islam/Ramadan,,,,,,,
Jew/Judaism/Hanukah/Holocaust,,,,,,,
Hindu,,,,,,,
Buddhism,,,,,,,
Sikh,,,,,,,
Mormon,,,,,,,
Genocide,,,,,,,
Persecution,,,,,,,
Church,,,,,,,
Mosque,,,,,,,
Temple,,,,,,,
Synagogue,,,,,,,
Pilgrim/pilgrimage,,,,,,,
Mission/Missionary/missionaries,,,,,,,
shaman,,,,,,,
god,,,,,,,
Catholic,,,,,,,
Protestant,,,,,,,
Theocracy/Theocratic,,,,,,,
Antisemitism,,,,,,,
Israelite/Hebrew,,,,,,,
Confucian,,,,,,,
Jain/Jainism,,,,,,,
Tao/Taoism/Dao/Daoism,,,,,,,
Shinto/Shintoism,,,,,,,
,,,,,,,
"Note: Mentioned NONE of these key words, 3 mentions of indigenous and 11 of Indian (as in American Indians)",,,,,,,
