State,Montana,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
MT,Keyword,Grade/Area,,,,,,
MT,Religion/Religious,NA,,,,,,
MT,Spirit/spiritual,NA,,,,,,
MT,Holiday,NA,,,,,,
MT,Christian/Christmas,NA,,,,,,
MT,Muslim/Islam/Ramadan,NA,,,,,,
MT,Jew/Judaism/Hanukah/Holocaust,NA,,,,,,
MT,Hindu,NA,,,,,,
MT,Buddhism,NA,,,,,,
MT,Sikh,NA,,,,,,
MT,Mormon,NA,,,,,,
MT,Genocide,NA,,,,,,
MT,Persecution,NA,,,,,,
MT,Church,NA,,,,,,
MT,Mosque,NA,,,,,,
MT,Temple,NA,,,,,,
MT,Synagogue,NA,,,,,,
MT,Pilgrim/pilgrimage,NA,,,,,,
MT,Mission/Missionary/missionaries,NA,,,,,,
MT,shaman,NA,,,,,,
MT,god,NA,,,,,,
MT,Catholic,NA,,,,,,
MT,Protestant,NA,,,,,,
MT,Theocracy/Theocratic,NA,,,,,,
MT,Antisemitism,NA,,,,,,
MT,Israelite/Hebrew,NA,,,,,,
MT,Confucian,NA,,,,,,
MT,Jain/Jainism,NA,,,,,,
MT,Tao/Taoism/Dao/Daoism,NA,,,,,,
MT,Shinto/Shintoism,NA,,,,,,
MT,"Note: Mentioned NONE of these key words, 3 mentions of indigenous and 11 of Indian (as in American Indians)",NA,,,,,,
