State,Nevada,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
NV,Keyword,Grade/Area,,,
NV,Religion/Religious,6-8,Early World Civilizations,SS.6-8.EWC.14.,"Describe the factors that shape identity - including institutions, religion, language, social class, geography, culture, and society in ancient civilizations."
NV,Religion/Religious,6-8,Early World Civilizations,SS.6-8.EWC.22.,"Analyze the intellectual, cultural, religious, and artistic contributions of ancient civilizations to our modern world of racially and ethnically diverse people."
NV,Religion/Religious,6-8,Early World Civilizations,SS.6-8.EWC.23.,"Describe the different political, civil, religious, and economic organization of early civilizations."
NV,Religion/Religious,6-8,World Geography & Global Studies,SS.6-8.WGGS.14.,"Describe the factors that shape identity - including institutions, religion, language, social class, geography, culture, and society."
NV,Religion/Religious,6-8,Early US History & Civic Ideals,SS.6-8.EUSH.17.,"Analyze the influence of political, social, cultural, economic, religious, geographic, intellectual, and artistic changes throughout the course of U.S. history."
NV,Religion/Religious,6-8,Early US History & Civic Ideals,SS.6-8.EUSH.29.,"Analyze the intellectual, cultural, religious, and artistic contributions of diverse individuals in early U.S. history."
NV,Religion/Religious,6-8,Early US History & Civic Ideals,SS.6-8.EUSH.31.,"Describe the different political, civil, religious, and economic organizations throughout U.S. history."
NV,Spirit/spiritual,NA,,,
NV,Holiday,NA,,,
NV,Christian/Christmas,NA,,,
NV,Muslim/Islam/Ramadan,NA,,,
NV,Jew/Judaism/Hanukah/Holocaust,NA,,,
NV,Hindu,NA,,,
NV,Buddhism,NA,,,
NV,Sikh,NA,,,
NV,Mormon,NA,,,
NV,Genocide,6-8,Early World Civilizations,SS.6-8.EWC.13.,"Examine instances of conflict, oppression, human rights violations, and genocide across the ancient world as well as responses to these violations."
NV,Genocide,6-8,World Geography & Global Studies,SS.6-8.WGGS.13.,"Examine instances of conflict, oppression, human rights violations, and genocide, as well as responses to these violations."
NV,Persecution,NA,,,
NV,Church,NA,,,
NV,Mosque,NA,,,
NV,Temple,NA,,,
NV,Synagogue,NA,,,
NV,Pilgrim/pilgrimage,NA,,,
NV,Mission/Missionary/missionaries,NA,,,
NV,shaman,NA,,,
NV,god,NA,,,
NV,Catholic,NA,,,
NV,Protestant,NA,,,
NV,Theocracy/Theocratic,NA,,,
NV,Antisemitism,NA,,,
NV,Israelite/Hebrew,NA,,,
NV,Confucian,NA,,,
NV,Jain/Jainism,NA,,,
NV,Tao/Taoism/Dao/Daoism,NA,,,
NV,Shinto/Shintoism,NA,,,
