State,Ohio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
OH,Keyword,Grade/Area,,,
OH,Religion/Religious,K-8,History,"Early Civilizations: The eight features of civilizations include cities, well-organized central governments, complex religions, job specialization, social classes, arts and architecture, public works and writing. Early peoples developed unique civilizations. Several civilizations established empires with legacies influencing later peoples.","First Global Age: The transoceanic linking of all the major regions of the world led to economic, political, cultural and religious transformations."
OH,Religion/Religious,6,History,"Content Statements: 2. Early civilizations (India, Egypt, China and Mesopotamia) had unique governments, economic systems, social structures, religions, technologies and agricultural practices and products. The cultural practices and products of these early civilizations can be used to help understand the Eastern Hemisphere today",
OH,Religion/Religious,6,Geography,"Human Systems: Content Statements: Diffusion of agricultural practices and products, technology, cultural practices and major world religions (Buddhism, Christianity, Hinduism, Islam and Judaism) impacted the Eastern Hemisphere.",
OH,Religion/Religious,7,History,Feudalism and Transitions: Content Statements: The Reformation introduced changes in religion including the emergence of Protestant faiths and a decline in the political power and social influence of the Roman Catholic Church.,
OH,Religion/Religious,7,Geography,"Human Systems: Content Statements: Trade routes connecting Africa, Europe and Asia helped foster the spread of ideas, technology, goods and major world religions (Buddhism, Christianity, Hinduism, Islam and Judaism) that impacted the Eastern Hemisphere.",
OH,Religion/Religious,8,History,"Colonization to Independence: Content Statements: North America, originally inhabited by American Indians, was explored and colonized by Europeans for economic and religious reasons.",
OH,Spirit/Spiritual,NA,,,
OH,Holiday,NA,,,
OH,Christian/Christmas,6,Geography,"Human Systems: Content Statements: Diffusion of agricultural practices and products, technology, cultural practices and major world religions (Buddhism, Christianity, Hinduism, Islam and Judaism) impacted the Eastern Hemisphere.",
OH,Christian/Christmas,7,History,"Early Civilizations: Content Standards: The civilizations that developed in Greece and Rome had an enduring impact on later civilizations. This legacy includes governance and law, engineering and technology, art and architecture, as well as literature and history. The Roman Empire also played an instrumental role in the spread of Christianity.",
OH,Christian/Christmas,7,Geography,"Human Systems: Content Statements: Trade routes connecting Africa, Europe and Asia helped foster the spread of ideas, technology, goods and major world religions (Buddhism, Christianity, Hinduism, Islam and Judaism) that impacted the Eastern Hemisphere.",
OH,Muslim/Islam/Ramadan,6,Geography,"Human Systems: Content Statements: Diffusion of agricultural practices and products, technology, cultural practices and major world religions (Buddhism, Christianity, Hinduism, Islam and Judaism) impacted the Eastern Hemisphere.",
OH,Muslim/Islam/Ramadan,7,Geography,"Human Systems: Content Statements: Trade routes connecting Africa, Europe and Asia helped foster the spread of ideas, technology, goods and major world religions (Buddhism, Christianity, Hinduism, Islam and Judaism) that impacted the Eastern Hemisphere.",
OH,Muslim/Islam/Ramadan,7,History,"Feudalism and Transitions: Content Statements: Achievements in medicine, science, mathematics and geography by the Islamic civilization dominated most of the Mediterranean after the decline of the Roman Empire. These achievements were introduced into Western Europe as a result of the Muslim conquests, Crusades and trade, influencing the European Renaissance.",
OH,Jew/Judaism/Hanukah/Holocaust,6,Geography,"Human Systems: Content Statements: Diffusion of agricultural practices and products, technology, cultural practices and major world religions (Buddhism, Christianity, Hinduism, Islam and Judaism) impacted the Eastern Hemisphere.",
OH,Jew/Judaism/Hanukah/Holocaust,7,Geography,"Human Systems: Content Statements: Trade routes connecting Africa, Europe and Asia helped foster the spread of ideas, technology, goods and major world religions (Buddhism, Christianity, Hinduism, Islam and Judaism) that impacted the Eastern Hemisphere.",
OH,Hindu,6,Geography,"Human Systems: Content Statements: Diffusion of agricultural practices and products, technology, cultural practices and major world religions (Buddhism, Christianity, Hinduism, Islam and Judaism) impacted the Eastern Hemisphere.",
OH,Hindu,7,Geography,"Human Systems: Content Statements: Trade routes connecting Africa, Europe and Asia helped foster the spread of ideas, technology, goods and major world religions (Buddhism, Christianity, Hinduism, Islam and Judaism) that impacted the Eastern Hemisphere.",
OH,Buddhism,6,Geography,"Human Systems: Content Statements: Diffusion of agricultural practices and products, technology, cultural practices and major world religions (Buddhism, Christianity, Hinduism, Islam and Judaism) impacted the Eastern Hemisphere.",
OH,Buddhism,7,Geography,"Human Systems: Content Statements: Trade routes connecting Africa, Europe and Asia helped foster the spread of ideas, technology, goods and major world religions (Buddhism, Christianity, Hinduism, Islam and Judaism) that impacted the Eastern Hemisphere.",
OH,Sikh,NA,,,
OH,Mormon,NA,,,
OH,Genocide,NA,,,
OH,Persecution,NA,,,
OH,Church,7,History,Feudalism and Transitions: Content Statements: The Reformation introduced changes in religion including the emergence of Protestant faiths and a decline in the political power and social influence of the Roman Catholic Church.,
OH,Mosque,NA,,,
OH,Temple,NA,,,
OH,Synagogue,NA,,,
OH,Pilgrim/pilgrimage,NA,,,
OH,Mission/Missionary/missionaries,NA,,,
OH,shaman,NA,,,
OH,god,NA,,,
OH,Catholic,7,History,Feudalism and Transitions: Content Statements: The Reformation introduced changes in religion including the emergence of Protestant faiths and a decline in the political power and social influence of the Roman Catholic Church.,
OH,Protestant,7,History,Feudalism and Transitions: Content Statements: The Reformation introduced changes in religion including the emergence of Protestant faiths and a decline in the political power and social influence of the Roman Catholic Church.,
OH,Theocracy/Theocratic,6,Government,"Roles and Systems of Government: Content Statement: Governments can be categorized as monarchies, theocracies, dictatorships or democracies, but categories may overlap and labels may not accurately represent how governments function. The extent of citizens liberties and responsibilities varies according to limits on governmental authority.",
OH,Theocracy/Theocratic,7,Government,"Roles and Systems of Government: Content Statements: Greek democracy and the Roman Republic were a radical departure from monarchy and theocracy, influencing the structure and function of modern democratic governments.",
OH,Antisemitism,NA,,,
OH,Israelite/Hebrew,NA,,,
OH,Confucian,NA,,,
OH,Jain/Jainism,NA,,,
OH,Tao/Taoism/Dao/Daoism,NA,,,
OH,Shinto/Shintoism,NA,,,
