Ohio,,,
Keyword,Grade/Area,,
Religion/Religious,K-8,History,"Early Civilizations: The eight features of civilizations include cities, well-organized central governments, complex religions, job specialization, social classes, arts and architecture, public works and writing. Early peoples developed unique civilizations. Several civilizations established empires with legacies influencing later peoples."
Religion/Religious,K-8,History,"First Global Age: The transoceanic linking of all the major regions of the world led to economic, political, cultural and religious transformations."
Religion/Religious,6,History,"Content Statements: 2. Early civilizations (India, Egypt, China and Mesopotamia) had unique governments, economic systems, social structures, religions, technologies and agricultural practices and products. The cultural practices and products of these early civilizations can be used to help understand the Eastern Hemisphere today"
Religion/Religious,6,Geography,"Human Systems: Content Statements: Diffusion of agricultural practices and products, technology, cultural practices and major world religions (Buddhism, Christianity, Hinduism, Islam and Judaism) impacted the Eastern Hemisphere."
Religion/Religious,7,History,Feudalism and Transitions: Content Statements: The Reformation introduced changes in religion including the emergence of Protestant faiths and a decline in the political power and social influence of the Roman Catholic Church.
Religion/Religious,7,Geography,"Human Systems: Content Statements: Trade routes connecting Africa, Europe and Asia helped foster the spread of ideas, technology, goods and major world religions (Buddhism, Christianity, Hinduism, Islam and Judaism) that impacted the Eastern Hemisphere."
Religion/Religious,8,History,"Colonization to Independence: Content Statements: North America, originally inhabited by American Indians, was explored and colonized by Europeans for economic and religious reasons."
Spirit/Spiritual,,,
Holiday,,,
Christian/Christmas,6,Geography,"Human Systems: Content Statements: Diffusion of agricultural practices and products, technology, cultural practices and major world religions (Buddhism, Christianity, Hinduism, Islam and Judaism) impacted the Eastern Hemisphere."
Christian/Christmas,7,History,"Early Civilizations: Content Standards: The civilizations that developed in Greece and Rome had an enduring impact on later civilizations. This legacy includes governance and law, engineering and technology, art and architecture, as well as literature and history. The Roman Empire also played an instrumental role in the spread of Christianity."
Christian/Christmas,7,Geography,"Human Systems: Content Statements: Trade routes connecting Africa, Europe and Asia helped foster the spread of ideas, technology, goods and major world religions (Buddhism, Christianity, Hinduism, Islam and Judaism) that impacted the Eastern Hemisphere."
Muslim/Islam/Ramadan,6,Geography,"Human Systems: Content Statements: Diffusion of agricultural practices and products, technology, cultural practices and major world religions (Buddhism, Christianity, Hinduism, Islam and Judaism) impacted the Eastern Hemisphere."
Muslim/Islam/Ramadan,7,Geography,"Human Systems: Content Statements: Trade routes connecting Africa, Europe and Asia helped foster the spread of ideas, technology, goods and major world religions (Buddhism, Christianity, Hinduism, Islam and Judaism) that impacted the Eastern Hemisphere."
Muslim/Islam/Ramadan,7,History,"Feudalism and Transitions: Content Statements: Achievements in medicine, science, mathematics and geography by the Islamic civilization dominated most of the Mediterranean after the decline of the Roman Empire. These achievements were introduced into Western Europe as a result of the Muslim conquests, Crusades and trade, influencing the European Renaissance."
Jew/Judaism/Hanukah/Holocaust,6,Geography,"Human Systems: Content Statements: Diffusion of agricultural practices and products, technology, cultural practices and major world religions (Buddhism, Christianity, Hinduism, Islam and Judaism) impacted the Eastern Hemisphere."
Jew/Judaism/Hanukah/Holocaust,7,Geography,"Human Systems: Content Statements: Trade routes connecting Africa, Europe and Asia helped foster the spread of ideas, technology, goods and major world religions (Buddhism, Christianity, Hinduism, Islam and Judaism) that impacted the Eastern Hemisphere."
Hindu,6,Geography,"Human Systems: Content Statements: Diffusion of agricultural practices and products, technology, cultural practices and major world religions (Buddhism, Christianity, Hinduism, Islam and Judaism) impacted the Eastern Hemisphere."
Hindu,7,Geography,"Human Systems: Content Statements: Trade routes connecting Africa, Europe and Asia helped foster the spread of ideas, technology, goods and major world religions (Buddhism, Christianity, Hinduism, Islam and Judaism) that impacted the Eastern Hemisphere."
Buddhism,6,Geography,"Human Systems: Content Statements: Diffusion of agricultural practices and products, technology, cultural practices and major world religions (Buddhism, Christianity, Hinduism, Islam and Judaism) impacted the Eastern Hemisphere."
Buddhism,7,Geography,"Human Systems: Content Statements: Trade routes connecting Africa, Europe and Asia helped foster the spread of ideas, technology, goods and major world religions (Buddhism, Christianity, Hinduism, Islam and Judaism) that impacted the Eastern Hemisphere."
Sikh,,,
Mormon,,,
Genocide,,,
Persecution,,,
Church,7,History,Feudalism and Transitions: Content Statements: The Reformation introduced changes in religion including the emergence of Protestant faiths and a decline in the political power and social influence of the Roman Catholic Church.
Mosque,,,
Temple,,,
Synagogue,,,
Pilgrim/pilgrimage,,,
Mission/Missionary/missionaries,,,
shaman,,,
god,,,
Catholic,7,History,Feudalism and Transitions: Content Statements: The Reformation introduced changes in religion including the emergence of Protestant faiths and a decline in the political power and social influence of the Roman Catholic Church.
Protestant,7,History,Feudalism and Transitions: Content Statements: The Reformation introduced changes in religion including the emergence of Protestant faiths and a decline in the political power and social influence of the Roman Catholic Church.
Theocracy/Theocratic,6,Government,"Roles and Systems of Government: Content Statement: Governments can be categorized as monarchies, theocracies, dictatorships or democracies, but categories may overlap and labels may not accurately represent how governments function. The extent of citizens liberties and responsibilities varies according to limits on governmental authority."
Theocracy/Theocratic,7,Government,"Roles and Systems of Government: Content Statements: Greek democracy and the Roman Republic were a radical departure from monarchy and theocracy, influencing the structure and function of modern democratic governments."
Antisemitism,,,
Israelite/Hebrew,,,
Confucian,,,
Jain/Jainism,,,
Tao/Taoism/Dao/Daoism,,,
Shinto/Shintoism,,,
