State,Oklahoma,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
OK,Keyword,Grade/Area,,,
OK,Religion/Religious,6,,"6.3.2 Identify and describe cultural traits of language, ethnic heritage, religion, and traditions practiced among peoples.",
OK,,7,,"7.3.3 Evaluate the impact of a region s major religions, including geographic hearths, major beliefs, customs, and the significance of religion in contemporary societies; explain how religion can both unify or divide people.",
OK,Spirit/Spiritual,8,,"8.6.1 Explain how the War of 1812 confirmed American independence and fueled a spirit of nationalism, reflected in the lyrics of our national anthem, the Star-Spangled Banner, by Francis Scott Key.",
OK,Holiday,NA,,,
OK,Christian/Christmas,NA,,,
OK,Muslim/Islam/Ramadan,NA,,,
OK,Jew/Judaism/Hanukah/Holocaust,NA,,,
OK,Hindu,NA,,,
OK,Buddhism,NA,,,
OK,Sikh,NA,,,
OK,Mormon,8,,"8.8.3 Identify push and pull factors of mass migration and the settlement of western territories including the California Gold Rush, settlement of Oregon, and the Mormon migration.",
OK,Genocide,7,,"7.5.7 Describe how political, economic, and cultural forces challenge contemporary political arrangements leading to the devolution of states (civil wars, terrorism, genocide, and ethnic separatism).",
OK,Persecution,NA,,,
OK,Church,NA,,,
OK,Mosque,NA,,,
OK,Temple,NA,,,
OK,Synagogue,NA,,,
OK,Pilgrim/pilgrimage,NA,,,
OK,Mission/Missionary/missionaries,NA,,,
OK,shaman,NA,,,
OK,god,NA,,,
OK,Catholic,NA,,,
OK,Protestant,NA,,,
OK,Theocracy/Theocratic,NA,,,
OK,Antisemitism,NA,,,
OK,Israelite/Hebrew,NA,,,
OK,Confucian,NA,,,
OK,Jain/Jainism,NA,,,
OK,Tao/Taoism/Dao/Daoism,NA,,,
OK,Shinto/Shintoism,NA,,,
