State,Pennsylvania,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
PA,Keyword,Grade/Area,Area,Standard,Subpoints
PA,Religion/Religious,6,History,Explain how continuity and change have impacted Pennsylvania history.,Belief systems and religions
PA,Religion/Religious,7,History,Explain how continuity and change have impacted Pennsylvania history as related to local communities.,Belief systems and religions
PA,Religion/Religious,8,History,Compare and contrast the ways continuity and change have impacted Pennsylvania history.,Belief systems and religions
PA,Religion/Religious,6,History,Explain how continuity and change have impacted U.S. history.,Belief systems and religions
PA,Religion/Religious,7,History,Compare how continuity and change have impacted U.S. history.,Belief systems and religions
PA,Religion/Religious,8,History,Summarize how continuity and change have impacted U.S. history.,Belief systems and religions
PA,Religion/Religious,6,History,Explain how continuity and change have impacted world history.,Belief systems and religions
PA,Religion/Religious,7,History,Differentiate how continuity and change have impacted world history.,Belief systems and religions
PA,Religion/Religious,8,History,Illustrate how continuity and change have impacted world history.,Belief systems and religions
PA,Spirit/Spiritual,NA,,,
PA,Holiday,NA,,,
PA,God,NA,,,
PA,Theocracy,NA,,,
PA,Christian/Christmas,NA,,,
PA,Catholic,NA,,,
PA,Protestant,NA,,,
PA,Muslim/,NA,,,
PA,Islam/,NA,,,
PA,Ramadan,NA,,,
PA,Jew/,NA,,,
PA,Judaism/,NA,,,
PA,Hanukkah/,NA,,,
PA,Holocaust,NA,,,
PA,Antisemitism,NA,,,
PA,Israelite,NA,,,
PA,Hebrew,NA,,,
PA,Hindu/Hinduism,NA,,,
PA,Buddhism/Buddhist,NA,,,
PA,Sikh,NA,,,
PA,Mormon,NA,,,
PA,Genocide,NA,,,
PA,Persecution,NA,,,
PA,Church,NA,,,
PA,Mosque,NA,,,
PA,Temple,NA,,,
PA,Synagogue,NA,,,
PA,Pilgrim/Pilgrimage,NA,,,
PA,Mission/missionary/missionaries,NA,,,
PA,Shaman,NA,,,
PA,Confucian/Confucianism/Confucius,NA,,,
PA,Jain/Jainism,NA,,,
PA,Tao/Taoism/Dao/Daoism/Lao Tzu/Laozi,NA,,,
PA,Shinto/Shintoism,NA,,,
PA,Zoroastrianism? (I know it shows up in the MA standards),NA,,,
PA,Bahai/Baha 'i,NA,,,
