Tennessee,,,,
Keyword,Grade/Area,Topic,Number,Standard
Religion/Religious,6,"Foundations of Human Civilization: c. 10,000-3500 BCE",6.04,Identify and explain the importance of the following key characteristics of civilizations: Culture Stable food supply Government Technology Religion Writing Social structure
Religion/Religious,6,Ancient Egypt: c. 3000-700 BCE,6.16,"Explain the polytheistic religion of ancient Egypt, with respect to beliefs about the afterlife, the reasons for mummification, and the use of pyramids."
Religion/Religious,6,Ancient Greece: c. 800-300 BCE,6.46,"Explain the polytheistic religion of ancient Greece, with respect to beliefs about the humanlike qualities of the deities, their importance in everyday life, and the emergence of the Olympic Games to honor Zeus."
Religion/Religious,6,Ancient Rome: c. 500 BCE-500 CE,6.58,"Explain the polytheistic religion of ancient Rome, with respect to beliefs about the humanlike qualities of the deities and their importance in everyday life"
Religion/Religious,7,West Africa: 400-1500s CE,7.24,"Describe the role of the Trans-Saharan caravan trade in the changing religious and cultural characteristics of West Africa and in the exchange of salt, gold, and slaves."
Religion/Religious,7,West Africa: 400-1500s CE,7.25,Explain the importance of griots in the transmission of West African history and culture.
Religion/Religious,7,Middle Ages in Western Europe: 400-1500s CE,7.29,"Explain how Charlemagne shaped and defined medieval Europe, including: his impact on feudalism, the creation of the Holy Roman Empire, and the establishment of Christianity as the religion of the Empire."
Religion/Religious,7,Early Modern Europe: 1400-1700s CE,7.47,Explain the political and religious roles of Henry VIII and Mary I in England's transition between Catholicism and Protestantism.
Religion/Religious,7,The Age of Exploration: 1400-1700s CE,7.58,"Analyze why European countries were motivated to explore the world, including: religion, political rivalry, and economic gain (i.e., mercantilism)"
Religion/Religious,7,The Age of Exploration: 1400-1700s CE,7.61,"Locate and identify French, Spanish, English, Portuguese, and Dutch colonies in the Americas, and explain how religion impacted the location of settlement by each country."
Religion/Religious,7,The Age of Exploration: 1400-1700s CE,7.63,Locate and identify the European regions that remained Catholic and those that became Protestant and how that division affected the distribution of religions in the New World.
Religion/Religious,8,Colonization (1607-1750),8.02,"Explain the founding and development of the Plymouth Colony, including the significance of: the Mayflower Compact, interactions with Squanto, and the role of religious freedom."
Religion/Religious,8,Colonization (1607-1750),8.04,"Explain the motivation for and the founding of the Rhode Island and Connecticut Colonies, including the roles of Roger Williams and Thomas Hooker."
Religion/Religious,8,Colonization (1607-1750),8.11,"Describe the significance of the First Great Awakening, including its role in unifying the colonies and the growth of religious tolerance."
,,,,
Spirit,7,West Africa: 400-1500s CE,7.22,"Explain indigenous African spiritual traditions, including: ancestor worship, animism, and the relationship between humans and deities."
God,6,Ancient Egypt: c. 3000-700 BCE,6.15,"Explain the structure of ancient Egyptian society, including: Relationships between groups of people How social classes were organized by occupation Positions of pharaohs as god/kings Role of slaves"
Theocracy,8,Colonization (1607-1750),8.03,"Explain the founding and development of the Massachusetts Bay Colony, including the significance of: Anne Hutchinson Role of theocracy Salem Witch Trials Town meetings"
,,,,
"Christian, Christmas",6,Ancient Rome: c. 500 BCE-500 CE,6.59,"Describe the origins and central features of Christianity: Key Person(s) Jesus, Paul Sacred Texts: The Bible Basic Beliefs: monotheism, sin and forgiveness, eternal life, Jesus as the Messiah"
"Christian, Christmas",7,Byzantine Empire: 400-1500s CE,7.12,"Identify the continuation of the Eastern Roman Empire as the Byzantine Empire, and describe the diffusion of Christianity and the Latin language."
"Christian, Christmas",7,Middle Ages in Western Europe: 400-1500s CE,7.29,"Explain how Charlemagne shaped and defined medieval Europe, including: his impact on feudalism, the creation of the Holy Roman Empire, and the establishment of Christianity as the religion of the Empire."
"Christian, Christmas",7,Middle Ages in Western Europe: 400-1500s CE,7.35,"Explain how the Crusades impacted Christian, Muslim, and Jewish populations in Europe, with emphasis on the increasing contact with cultures outside Europe."
"Christian, Christmas",7,The Age of Exploration: 1400-1700s CE,7.65,"Explain how Spanish colonization introduced Christianity, the mission system, and the encomienda system to the Americas as well as Bartolome de la Casa s role in the transition to African slavery."
,,,,
Catholic,7,Middle Ages in Western Europe: 400-1500s CE,7.28,Describe the role of monasteries in the preservation of knowledge and spread of the Catholic Church beyond the Alps.
Catholic,7,Early Modern Europe: 1400-1700s CE - The Renaissance,7.42,"Explain humanism, and describe how Thomas Aquinas s writings influenced humanistic thought and fostered a balance between reason and faith"
