State,Texas,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
TX,Keyword,Grade/Area,Code,Standard,
TX,Religion/Religious,6,6.9.C,(9) Government. The student understands the concepts of limited and unlimited governments. The student is expected to:,
TX,Religion/Religious,6,6.14.A,(14) Culture. The student understands that all societies have basic institutions in common even though the characteristics of these institutions may differ. The student is expected to:,
TX,Religion/Religious,6,6.16.C,16) Culture. The student understands the relationship that exists between the arts and the societies in which they are produced. The student is expected to:,
TX,Religion/Religious,6,6.17.A,"17) Culture. The student understands the relationships among religion, philosophy, and culture. The student is expected to:",
TX,Religion/Religious,6,6.17.B,"17) Culture. The student understands the relationships among religion, philosophy, and culture. The student is expected to:",
TX,Religion/Religious,7,7.18.B,18) Culture. The student understands the concept of diversity within unity in Texas. The student is expected to:,
TX,Religion/Religious,7,7.18.C,18) Culture. The student understands the concept of diversity within unity in Texas. The student is expected to:,
TX,Religion/Religious,8,8.2.B,2) History. The student understands the causes of exploration and colonization eras. The student is expected to,
TX,Religion/Religious,8,8.3.C,3) History. The student understands the foundations of representative government in the United States. The student is expected to:,
TX,Religion/Religious,8,8.23.A,"23) Culture. The student understands the relationships between and among people from various groups, including racial, ethnic, and religious groups, during the 17th, 18th, and 19th centuries. The student is expected to",
TX,Religion/Religious,8,8.23.B,"23) Culture. The student understands the relationships between and among people from various groups, including racial, ethnic, and religious groups, during the 17th, 18th, and 19th centuries. The student is expected to",
TX,Religion/Religious,8,8.23.C,"23) Culture. The student understands the relationships between and among people from various groups, including racial, ethnic, and religious groups, during the 17th, 18th, and 19th centuries. The student is expected to",
TX,Religion/Religious,8,8.23.D,"23) Culture. The student understands the relationships between and among people from various groups, including racial, ethnic, and religious groups, during the 17th, 18th, and 19th centuries. The student is expected to",
TX,Religion/Religious,8,8.25.A,25) Culture. The student understands the impact of religion on the American way of life. The student is expected to:,
TX,Religion/Religious,8,8.25.B,25) Culture. The student understands the impact of religion on the American way of life. The student is expected to:,
TX,Religion/Religious,8,8.25.C,25) Culture. The student understands the impact of religion on the American way of life. The student is expected to:,
TX,Spirit,NA,,,
TX,God,NA,,,
TX,Holiday,6,6.17.B,"17) Culture. The student understands the relationships among religion, philosophy, and culture. The student is expected to:",
TX,Theocracy,NA,,,
TX,Christian/Christmas,6,6.17.B,"17) Culture. The student understands the relationships among religion, philosophy, and culture. The student is expected to:",
TX,Catholic,7,7.2.C,"2) History. The student understands how individuals, events, and issues through the Mexican National Era shaped the history of Texas. The student is expected to:",
TX,Protestant,NA,,,
TX,Mormon,NA,,,
TX,Orthodox,NA,,,
TX,Jesus,NA,,,
TX,Bible,NA,,,
TX,Muslim/,NA,,,
TX,Islam/,NA,,,
TX,Ramadan,6,6.17.B,"17) Culture. The student understands the relationships among religion, philosophy, and culture. The student is expected to:",
TX,Sunni/Shia,NA,,,
TX,Jew/,NA,,,
TX,Judaism/,NA,,,
TX,Hanukkah/,6,6.17.B,"17) Culture. The student understands the relationships among religion, philosophy, and culture. The student is expected to:",
TX,Holocaust,NA,,,
TX,Antisemitism,NA,,,
TX,Israel/Israelite,NA,,,
TX,Hebrew,NA,,,
TX,Tanak,NA,,,
TX,Hindu/Hinduism,6,6.17.B,"17) Culture. The student understands the relationships among religion, philosophy, and culture. The student is expected to:",
TX,Buddhism/Buddhist,NA,,,
TX,Sikh,6,6.17.B,"17) Culture. The student understands the relationships among religion, philosophy, and culture. The student is expected to:",
TX,Mosque,NA,,,
TX,Temple,NA,,,
TX,Synagogue,NA,,,
TX,Church,NA,,,
TX,Genocide,NA,,,
TX,Persecution,NA,,,
TX,Pilgrim/Pilgrimage,8,8.1.B,1) History. The student understands traditional historical points of reference in U.S. history through 1877. The student is expected to:,
TX,Mission/missionary/missionaries,7,7.2.C,"2) History. The student understands how individuals, events, and issues through the Mexican National Era shaped the history of Texas. The student is expected to:",
TX,Shaman,NA,,,
TX,Bahai/Baha 'i,NA,,,
TX,Confucian/Confucianism/Confucius,NA,,,
TX,Jain/Jainism,NA,,,
TX,Tao/Taoism/Dao/Daoism/,NA,,,
TX,Lao Tzu/Laozi,NA,,,
TX,Shinto/Shintoism,NA,,,
TX,Zoroastrian,NA,,,
