State,Utah,Unnamed: 1,Unnamed: 2,Unnamed: 3,https://www.schools.utah.gov/curr/socialstudies/utah_core_standards/UtahCoreStandardsforSocialStudiesGrades712.pdf
UT,Keyword,Grade/Course,Strand,Number,Standards
UT,Religion/Religious,Grade 6,World Civilivations,6.1.2,"Throughout their study of world history, recognize the origins of major world religions (including Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism). Evaluate the role religion played in the development of civ- ilizations, colonization, imperialism, and independence movements."
UT,Religion/Religious,Grade 6,Globalization,6.2.1,"Summarize key tenets of the major world religions (includ- ing Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism)."
UT,Religion/Religious,Grade 6,,6.2.2,"Use primary and secondary sources to explain how the spread of religious ideas during the post-classical era influenced globalization (for example, spread of Islam, Crusades, cultural expression through art and architecture, Reformation)."
UT,Religion/Religious,Grade 6,"OUR MODERN WORLD (WORLD RELIGIONS, COLD WAR ERA, CURRENT GLOBAL EVENTS/ ISSUES)",,"***This is strange. The strand title includes World Religions, but none of the actual standards are directly connected to religion"
UT,Religion/Religious,Grade 6,"OUR MODERN WORLD (WORLD RELIGIONS, COLD WAR ERA, CURRENT GLOBAL EVENTS/ ISSUES)",Guiding question,"""What are some of the commonalities found in major world religions?"""
UT,Religion/Religious,Utah History,Utah's Diverse Peoples,UT.2.4,"Students will research multiple perspectives to explain one or more of the political, social, cultural, religious conflicts of this period, including the U.S. Civil War and more localized conflicts such as the Utah War, the Mountain Meadows Massacre, the Bear River Massacre, the Black Hawk War, or other Federal-Mormon conflicts. (history)"
UT,Religion/Religious,Utah History,Utah in the World,Guiding question,How do various ethnic and religious communities in Utah maintain and celebrate their unique cultures?
UT,Religion/Religious,US History 1,Utah in the World,UT.4.4,"Students will use data and other evidence related to a cultural, ethnic, or religious group in Utah to interpret the group s historic/current condi- tions and experiences. (history, geography)"
UT,Religion/Religious,US History 1,Colonization,Guiding question,What role did the concepts of self-government and religious freedom play in the colonial era?
UT,Theocracy,,World Civilizations,6.1.6,"Compare the purposes and functions of early governments (for example, monarchy, oligarchy, tyranny, pure democracy, republic, theocracy) to modern governments."
UT,Spirit,NA,,,
UT,God,NA,,,
UT,Holiday,NA,,,
UT,Christian/Christmas,Grade 6,Globalization,6.2.1,"Summarize key tenets of the major world religions (includ- ing Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism)."
UT,Christian/Christmas,Grade 6,Globalization,6.2.1,"Summarize key tenets of the major world religions (includ- ing Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism)."
UT,Catholic,NA,,,
UT,Protestant,NA,,,
UT,Mormon,Utah History,Utah's Diverse People,GQ,How did Mormons interrelate with other immigrant groups in Utah?
UT,Mormon,Utah History,Utah's Diverse People,UT.2.1,Students will explain the causes and lasting effects of the Mormon mi- gration to Utah. (history)
UT,Mormon,Utah History,Utah's Diverse People,UT.2.2,Students will compare the causes and lasting effects of various non-Mormon groups migrations to Utah. (history)
UT,Mormon,Utah History,Utah's Diverse People,UT.2.4,"Students will research multiple perspectives to explain one or more of the political, social, cultural, religious conflicts of this period, including the U.S. Civil War and more localized conflicts such as the Utah War, the Mountain Meadows Massacre, the Bear River Massacre, the Black Hawk War, or other Federal-Mormon conflicts. (history)"
UT,Orthodox,NA,,,
UT,Jesus,NA,,,
UT,Bible,NA,,,
UT,Muslim,NA,,,
UT,Islam,Grade 6,World Civilivations,6.1.2,"Throughout their study of world history, recognize the origins of major world religions (including Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism). Evaluate the role religion played in the development of civ- ilizations, colonization, imperialism, and independence movements."
UT,Islam,Grade 6,Globalization,6.2.1,"Summarize key tenets of the major world religions (includ- ing Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism)."
UT,Islam,Grade 6,Globalization,6.2.2,"Use primary and secondary sources to explain how the spread of religious ideas during the post-classical era influenced globalization (for example, spread of Islam, Crusades, cultural expression through art and architecture, Reformation)."
UT,Ramadan,NA,,,
UT,Sunni/Shia,NA,,,
UT,Judaism,Grade 6,World Civilivations,6.1.2,"Throughout their study of world history, recognize the origins of major world religions (including Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism). Evaluate the role religion played in the development of civ- ilizations, colonization, imperialism, and independence movements."
UT,Judaism,Grade 6,Globalization,6.2.1,"Summarize key tenets of the major world religions (includ- ing Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism)."
UT,Jew(ish),NA,,,
UT,Hanukkah/,NA,,,
UT,Holocaust,NA,,,
UT,Antisemitism,NA,,,
UT,Israel/Israelite,NA,,,
UT,Hebrew,NA,,,
UT,Tanak,NA,,,
UT,Hindu/Hinduism,Grade 6,World Civilivations,6.1.2,"Throughout their study of world history, recognize the origins of major world religions (including Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism). Evaluate the role religion played in the development of civ- ilizations, colonization, imperialism, and independence movements."
UT,,Grade 6,Globalization,6.2.1,"Summarize key tenets of the major world religions (includ- ing Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism)."
UT,Buddhism/Buddhist,Grade 6,World Civilivations,6.1.2,"Throughout their study of world history, recognize the origins of major world religions (including Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism). Evaluate the role religion played in the development of civ- ilizations, colonization, imperialism, and independence movements."
UT,,Grade 6,Globalization,6.2.1,"Summarize key tenets of the major world religions (includ- ing Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism)."
UT,Sikh,Grade 6,World Civilivations,6.1.2,"Throughout their study of world history, recognize the origins of major world religions (including Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism). Evaluate the role religion played in the development of civ- ilizations, colonization, imperialism, and independence movements."
UT,,Grade 6,Globalization,6.2.1,"Summarize key tenets of the major world religions (includ- ing Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism)."
UT,Mosque,NA,,,
UT,Temple,NA,,,
UT,Synagogue,NA,,,
UT,Church,NA,,,
UT,Genocide,NA,,,
UT,Persecution,NA,,,
UT,Pilgrim/Pilgrimage,NA,,,
UT,Mission/missionary/missionaries,NA,,,
UT,Shaman,NA,,,
UT,Bahai/Baha 'i,NA,,,
UT,Confucian/Confucianism/Confucius,Grade 6,World Civilivations,6.1.2,"Throughout their study of world history, recognize the origins of major world religions (including Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism). Evaluate the role religion played in the development of civ- ilizations, colonization, imperialism, and independence movements."
UT,Confucian/Confucianism/Confucius,Grade 6,Globalization,6.2.1,"Summarize key tenets of the major world religions (includ- ing Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism)."
UT,Jain/Jainism,NA,,,
UT,Tao/Taoism/Dao/Daoism/,Grade 6,World Civilivations,6.1.2,"Throughout their study of world history, recognize the origins of major world religions (including Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism). Evaluate the role religion played in the development of civ- ilizations, colonization, imperialism, and independence movements."
UT,Tao/Taoism/Dao/Daoism/,Grade 6,Globalization,6.2.1,"Summarize key tenets of the major world religions (includ- ing Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, Taoism)."
UT,Shinto/Shintoism,NA,,,
UT,Zoroastrian,NA,,,
UT,Reformation,Grade 6,Globalization,6.2.2,"Use primary and secondary sources to explain how the spread of religious ideas during the post-classical era influenced globalization (for example, spread of Islam, Crusades, cultural expression through art and architecture, Reformation)."
UT,Crusade,Grade 6,Globalization,6.2.2,"Use primary and secondary sources to explain how the spread of religious ideas during the post-classical era influenced globalization (for example, spread of Islam, Crusades, cultural expression through art and architecture, Reformation)."
