State,Vermont,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
VT,Format of Standards Document,NA,,,
VT,Keyword,Grade/Area,,,
VT,Religion/Religious,Portrait of a graduate,global citizenship,"Global Citizenship -- In our diverse society, with an ever-changing political climate, it is important that students practice tolerance when faced with differing opinions, points of view, cultures, religions, and understandings of gender; having a strong civic disposition leads to the respect for human dignity and individual worth.",
VT,Holiday,NA,,,
VT,Christian/Christmas,NA,,,
VT,Muslim/Islam/Ramadan,NA,,,
VT,Jew/Judaism/Hanukah/Holocaust,NA,,,
VT,Hindu,NA,,,
VT,Buddhism,NA,,,
VT,Sikh,NA,,,
VT,Mormon,NA,,,
VT,Kwanzaa,NA,,,
VT,Genocide,NA,,,
VT,Persecution,NA,,,
VT,Church,NA,,,
VT,Mosque,NA,,,
VT,Temple,NA,,,
VT,Synagogue,NA,,,
VT,Pilgrim/pilgrimage,NA,,,
VT,Mission/Missionary/missionaries,NA,,,
VT,shaman,NA,,,
VT,god,NA,,,
VT,Notes,NA,,,
