Vermont,,,,
Format of Standards Document,,,,
Keyword,Grade/Area,,,
Religion/Religious,Portrait of a graduate,global citizenship,"Global Citizenship -- In our diverse society, with an ever-changing political climate, it is important that students practice tolerance when faced with differing opinions, points of view, cultures, religions, and understandings of gender; having a strong civic disposition leads to the respect for human dignity and individual worth.",
Holiday,,,,
Christian/Christmas,,,,
Muslim/Islam/Ramadan,,,,
Jew/Judaism/Hanukah/Holocaust,,,,
Hindu,,,,
Buddhism,,,,
Sikh,,,,
Mormon,,,,
Kwanzaa,,,,
Genocide,,,,
Persecution,,,,
Church,,,,
Mosque,,,,
Temple,,,,
Synagogue,,,,
Pilgrim/pilgrimage,,,,
Mission/Missionary/missionaries,,,,
shaman,,,,
god,,,,
Notes,,,,
