Virginia,,,,
Keyword,Grade/Area,,,
Religion/Religious,7,Civics and Economics,Citizenship,and Civic Life
Religion/Religious,7,Civics and Economics,CE.6,The student will apply history and social science skills to define citizenship by:
Religion/Religious,7,Civics and Economics,b.,"describing the rights and privileges guaranteed by the First Amendment, including freedoms of religion, speech, press, assembly, and petition, the rights guaranteed by due process and equal protection under the law (Fifth, Sixth, and Fourteenth Amendments), and protection from unreasonable government search and seizure (Fourth Amendment);"
Religion/Religious,7,Civics and Economics,American,Constitutional Government
Religion/Religious,7,Civics and Economics,CE.1,The student will apply history and social science skills to explain the foundations of the American constitutional democracy by:
Religion/Religious,7,Civics and Economics,b.,"describing the Magna Carta, English common law, charters of the Virginia Company of London (April 10, 1606; May 23, 1609; and March 12, 1612), the Virginia Declaration of Rights, the Declaration of Independence, the Articles of Confederation, and the Virginia Statute for Religious Freedom and their influence on the Constitution of Virginia and the Constitution of the United States, including the Bill of Rights;"
Religion/Religious,8,World Geography,Introduction,to Geography
Religion/Religious,8,World Geography,WG.1,The student will apply history and social science skills to explain how geographic information and geospatial tools are used to make decisions by:
Religion/Religious,8,World Geography,c.,"analyzing how cultural characteristics, including the world s major languages, ethnicities, and religions, link or divide regions; and"
Spirit/spiritual,,,,
,,,,
Holiday,,,,
,,,,
,,,,
Christian/Christmas,,,,
Muslim/Islam/Ramadan,,,,
Jew/Judaism/Hanukah/Holocaust,6,United States History: 1865 to the Present,,The Second World War and America s Transformation
Jew/Judaism/Hanukah/Holocaust,6,United States History: 1865 to the Present,USII.6,The student will apply history and social science skills to understand the major causes and events of World War II and the effects of America s role by
Jew/Judaism/Hanukah/Holocaust,6,United States History: 1865 to the Present,h.,"examining the causes and consequences of the Holocaust including, but not limited to Jewish life before the Holocaust, antisemitism, the rise of the Nazi Party, Nuremberg Laws, persecution of Jews and other targeted groups, resistance efforts, the United States response, and the Nuremberg Trials; and"
Hindu,,,,
Buddhism,,,,
Sikh,,,,
Mormon,,,,
Kwanzaa,,,,
Genocide,,,,
Persecution,6,United States History: 1865 to the Present,,The Second World War and America s Transformation
Persecution,6,United States History: 1865 to the Present,USII.6,The student will apply history and social science skills to understand the major causes and events of World War II and the effects of America s role by:
Persecution,6,United States History: 1865 to the Present,h.,"examining the causes and consequences of the Holocaust, including, but not limited to Jewish life before the Holocaust, antisemitism, the rise of the Nazi Party, Nuremberg Laws, persecution of Jews and other targeted groups, resistance efforts, the United States response, and the Nuremberg Trials; and"
Church,,,,
Mosque,,,,
Temple,,,,
Synagogue,,,,
Pilgrim/pilgrimage,,,,
Mission/Missionary/missionaries,,,,
shaman,,,,
god,,,,
antisemitism,6,United States History: 1865 to the Present,,The Second World War and America s Transformation
antisemitism,6,United States History: 1865 to the Present,USII.6,The student will apply history and social science skills to understand the major causes and events of World War II and the effects of America s role by
antisemitism,6,United States History: 1865 to the Present,h.,"examining the causes and consequences of the Holocaust including, but not limited to Jewish life before the Holocaust, antisemitism, the rise of the Nazi Party, Nuremberg Laws, persecution of Jews and other targeted groups, resistance efforts, the United States response, and the Nuremberg Trials; and"
Note:,,,,
