State,Washington,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
WA,Keyword,Grade/Area,,,
WA,Religion/Religious,N/A - the standards document is a list of overarching objectives with sample questions. There is no specific content outlined; choices are left to the teacher. No sample questions adress issues of religion.,,,
WA,Spirit/spiritual,NA,,,
WA,Holiday,NA,,,
WA,Christian/Christmas,NA,,,
WA,Muslim/Islam/Ramadan,NA,,,
WA,Jew/Judaism/Hanukah/Holocaust,NA,,,
WA,Hindu,NA,,,
WA,Buddhism,NA,,,
WA,Sikh,NA,,,
WA,Mormon,NA,,,
WA,Kwanzaa,NA,,,
WA,Genocide,NA,,,
WA,Persecution,NA,,,
WA,Church,NA,,,
WA,Mosque,NA,,,
WA,Temple,NA,,,
WA,Synagogue,NA,,,
WA,Pilgrim/pilgrimage,NA,,,
WA,Mission/Missionary/missionaries,NA,,,
WA,shaman,NA,,,
WA,god,NA,,,
