Washington,,,,
Keyword,Grade/Area,,,
Religion/Religious,N/A - the standards document is a list of overarching objectives with sample questions. There is no specific content outlined; choices are left to the teacher. No sample questions adress issues of religion.,,,
Spirit/spiritual,,,,
Holiday,,,,
Christian/Christmas,,,,
Muslim/Islam/Ramadan,,,,
Jew/Judaism/Hanukah/Holocaust,,,,
Hindu,,,,
Buddhism,,,,
Sikh,,,,
Mormon,,,,
Kwanzaa,,,,
Genocide,,,,
Persecution,,,,
Church,,,,
Mosque,,,,
Temple,,,,
Synagogue,,,,
Pilgrim/pilgrimage,,,,
Mission/Missionary/missionaries,,,,
shaman,,,,
god,,,,
