West Virginia,,,,
Keyword,Grade/Area,,,
Religion/Religious,7,SS.7.17: Demonstrate an understanding of the ancient civilizations.,-Identify the leaders and distinguish the basic principles and philosophies of the major religions in the world as they emerged and expanded.,
,,,,
Spirit/spiritual,,,,
Holiday,,,,
,,,,
,,,,
,,,,
,,,,
Christian/Christmas,,,,
Muslim/Islam/Ramadan,,,,
Jew/Judaism/Hanukah/Holocaust,,,,
Hindu,,,,
Buddhism,,,,
Sikh,,,,
Mormon,,,,
Kwanzaa,,,,
Genocide,7,Geography,"SS.G.7: Analyze the world and account for consequences of human/environment interactions depicting the geographic implications of world events (e.g., catastrophic environmental and climatic events, wars and conflict, ethnic cleansing and genocide).",
Persecution,,,,
Church,,,,
Mosque,,,,
Temple,,,,
Synagogue,,,,
Pilgrim/pilgrimage,,,,
Mission/Missionary/missionaries,,,,
shaman,,,,
god,,,,
theocracy,7,Civics,"SS.7.1: Classify and compare various forms of government through the Age of Imperialism (e.g., democracy, republic, absolute monarchy, constitutional monarchy, oligarchy, dictatorship, theocracy and parliamentary system)",
