Florida,,,,
Keyword,Grade/Area,Category,Compelling,Question
Religion/Religious,Grade 6,World History,SS.6.W.2.4.,"Compare the economic, political, social and religious institutions of ancient river civilizations."
Religion/Religious,Grade 7,Civics and Government,SS.7.CG.1.2,"Trace the principles underlying America s founding ideas on law and government. Benchmark Clarifications: Clarification 1: Students will recognize principles contained in the founding documents (e.g., due process of law, equality of mankind, limited government, natural rights, the rule of law). Clarification 2: Students will explain why religious liberty is a protected right."
Religion/Religious,Grade 8,American History,SS.8.A.4.18,"Examine the experiences and perspectives of different ethnic, national and religious groups in Florida, explaining their contributions to Florida's and America's society and culture during the Territorial Period."
Spirit/Spiritual,Overview of Grades 6-8,African American History,SS.68.AA.2.4,"Examine the Underground Railroad and its importance to those seeking freedom. Benchmark Clarifications: Clarification 1: Instruction includes how collaboration of free blacks, whites, churches and organizations assisted in the Underground Railroad (e.g., Harriet Tubman, William Lambert, Levi Coffin, William Still). Clarification 2: Instruction includes the use of spirituals and symbols as a form of communication, coordination, coding and expression."
Spirit/Spiritual,Grade 8,American History,SS.8.A.4.11,"Examine the aspects of slave culture including plantation life, resistance efforts and the role of the slaves' spiritual system."
Holidays,,,,
Christian/Christmas/Christianity,Grade 6,World History,SS.6.W.3.13,Identify key figures and the basic beliefs of early Christianity and how these beliefs impacted the Roman Empire.
Christian/Christmas/Christianity,Grade 6,World History,SS.6.W.3.18,Describe the rise and fall of the ancient east African kingdoms of Kush and Axum and Christianity's development in Ethiopia.
Christian/Christmas/Christianity,Grade 7,Civics and Government,SS.7.CG.1.1,"Analyze the influences of ancient Greece, ancient Rome and the Judeo- Christian tradition on America s constitutional republic. Clarification 1: Students will explain the influence of ancient Greece on America s constitutional republic (e.g., civic participation, legislative bodies, polis, voting rights, written constitution). Clarification 2: Students will explain the influence of ancient Rome on America s constitutional republic (e.g., civic participation, republicanism, representative government, rule of law, separation of powers). Clarification3: Students will compare and contrast the democratic principles of ancient Greece and ancient Rome with those of the United States. Clarification 4: Students will explain how the Judeo-Christian ethical ideas of justice, individual worth, personal responsibility and the rule of law influenced America s constitutional republic."
Muslim/Islam/Ramadan,,,,
