State,Idaho,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
ID,Keyword,Grade/Area,Category,Compelling,Question
ID,Religion/Religious,6-9,"World Geography, 1. History",6-9.WG.1.1,"Describe major aspects of the civilizations in regions throughout the world prior to European contact including government, religion/belief systems, arts/architecture, technology, physical geography, economics, and social order."
ID,Religion/Religious,6-9,"World Geography, 1. History",6-9.WG.1.4,"Investigate the historical origins, central beliefs, and spread of major religions and belief systems, including Judaism, Christianity, Islam, Sikhism, Hinduism, Buddhism, and Confucianism and Indigenous knowledge and belief systems."
ID,Religion/Religious,6-9,"World Geography, 2. Geography",6-9.WG.2.10,"Compare and contrast cultural patterns in regions throughout the world, such as language, religion, and ethnicity."
ID,Religion/Religious,6-9,"World Geography, 5. Global Perspectives",6-9.WG.5.1,"Discuss how social institutions, including the family, religion, and education, influence behavior in different societies in regions throughout the world."
ID,Religion/Religious,6-9,"World History and Civilizations, 1. History",6-9.WH.1.4,"Analyze the characteristics of early civilizations throughout the world including government, religion/belief systems, arts/architecture, technology, physical geography, economics, and social order."
ID,Religion/Religious,6-9,"World History and Civilizations, 1. History",6-9.WH.1.9.,Explain the relationship between religion and belief systems and people's understanding of the natural world.
ID,Religion/Religious,6-9,"World History and Civilizations, 1. History",6-9.WH.1.10.,Explain how religion and belief systems shaped the development of civilizations.
ID,Religion/Religious,6-9,"World History and Civilizations, 1. History",6-9.WH.1.11.,"Discuss how religion, belief systems, economics, and politics influenced social behavior and were used to maintain social order."
ID,Religion/Religious,6-9,"World History and Civilizations, 1. History",6-9.WH.1.12.,"Examine why the diversity of religion and belief systems across cultural, social, political, and economic institutions have been sources of conflict"
ID,Religion/Religious,6-9,"World History and Civilizations, 5. Global Perspectives",6-9.WH.5.1,"Explain the political, economic, religious, or cultural causes of conflicts in various civilizations and their consequences."
ID,Religion/Religious,6-12,"United States History, Geographic Expansion and Political and Social Changges 1820-1860",6-12.US1.25.,"Analyze the religious, political, and economic motives of immigrants who came to North America between 1820-1860."
ID,Religion/Religious,6-12,"United States History, Growth of Industrial World 1877-1890 (Bridge with USH2)",6-12.US1.44,"Analyze the religious, political, and economic motives of 19th-century immigrants who came to North America."
ID,Spirit/Spiritual,NA,,,
ID,Holidays,NA,,,
ID,Christian/Christmas/Christianity,6-9,"World Geography, 1. History",6-9.WG.1.4,"Investigate the historical origins, central beliefs, and spread of major religions and belief systems, including Judaism, Christianity, Islam, Sikhism, Hinduism, Buddhism, and Confucianism and Indigenous knowledge and belief systems."
ID,Muslim/Islam/Ramadan,6-9,"World Geography, 1. History",6-9.WG.1.4,"Investigate the historical origins, central beliefs, and spread of major religions and belief systems, including Judaism, Christianity, Islam, Sikhism, Hinduism, Buddhism, and Confucianism and Indigenous knowledge and belief systems."
ID,Jew/Judaism/Hanukah/Holocaust,6-9,"World Geography, 1. History",6-9.WG.1.4,"Investigate the historical origins, central beliefs, and spread of major religions and belief systems, including Judaism, Christianity, Islam, Sikhism, Hinduism, Buddhism, and Confucianism and Indigenous knowledge and belief systems."
ID,Jew/Judaism/Hanukah/Holocaust,6-9,"World History and Civilizations, 5. Global Perspectives",6-9.WH.5.4,"Analyze the causes, events, and consequences of the Holocaust while exploring the impacts of discrimination and prejudice."
ID,Hindu,6-9,"World Geography, 1. History",6-9.WG.1.4,"Investigate the historical origins, central beliefs, and spread of major religions and belief systems, including Judaism, Christianity, Islam, Sikhism, Hinduism, Buddhism, and Confucianism and Indigenous knowledge and belief systems."
ID,Buddhism,6-9,"World Geography, 1. History",6-9.WG.1.4,"Investigate the historical origins, central beliefs, and spread of major religions and belief systems, including Judaism, Christianity, Islam, Sikhism, Hinduism, Buddhism, and Confucianism and Indigenous knowledge and belief systems."
ID,Sikh,6-9,"World Geography, 1. History",6-9.WG.1.4,"Investigate the historical origins, central beliefs, and spread of major religions and belief systems, including Judaism, Christianity, Islam, Sikhism, Hinduism, Buddhism, and Confucianism and Indigenous knowledge and belief systems."
ID,Mormon,NA,,,
ID,Kwanzaa,NA,,,
ID,Genocide,NA,,,
ID,Persecution,NA,,,
ID,Church,NA,,,
ID,Mosque,NA,,,
ID,Temple,NA,,,
ID,Synagogue,NA,,,
ID,Pilgrim/pilgrimage,NA,,,
ID,Mission/Missionary/missionaries,NA,,,
ID,shaman,NA,,,
ID,god,NA,,,
ID,Theology,NA,,,
ID,Theocracy,NA,,,
ID,Crusades,NA,,,
ID,Theocratic,NA,,,
ID,Antisemitism,NA,,,
ID,Israelite & Hebrew,NA,,,
ID,Confucian/Confucianism/Confucius,6-9,"World Geography, 1. History",6-9.WG.1.4,"Investigate the historical origins, central beliefs, and spread of major religions and belief systems, including Judaism, Christianity, Islam, Sikhism, Hinduism, Buddhism, and Confucianism and Indigenous knowledge and belief systems."
ID,Jain/Jainism,NA,,,
ID,Tao/Taoism/Dao/Daoism/Lao Tzu/Laozi,NA,,,
ID,Shinto/Shintoism,NA,,,
ID,Zoroastrianism,NA,,,
ID,Bahai/Baha 'i,NA,,,
ID,Notes:,NA,,,
ID,1 document for K-12 standards,NA,,,
ID,"World Geography and Civilizations for Grades 6-9 are broken down into History, Geography, Economics, Civics and Government, Global Perspectives and Historical Thinking Skills",NA,,,
ID,United States History for 6-12 is organized by specific segments of time,NA,,,
