State,Iowa,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
IA,Keyword,Grade/Area,,,
IA,belief/value systems,6th Grade: World Regions and Cultures,Examine Factors that Led to Continuity and Change in Human and Group Behavior (Behavioral Sciences),SS.6.13.,Identify what makes up a culture and examine how people acquire their cultural beliefs and value systems.
IA,Religion/Religious,N/a,,,
IA,Spirit/spiritual,N/a,,,
IA,Holiday,N/a,,,
IA,Christian/Christmas,N/a,,,
IA,Muslim/Islam/Ramadan,N/a,,,
IA,Jew/Judaism/Hanukah/Holocaust,N/a,,,
IA,Hindu,N/a,,,
IA,Buddhism,N/a,,,
IA,Sikh,N/a,,,
IA,Mormon,N/a,,,
IA,Kwanzaa,N/a,,,
IA,Genocide,N/a,,,
IA,Persecution,N/a,,,
IA,Church,N/a,,,
IA,Mosque,N/a,,,
IA,Temple,N/a,,,
IA,Synagogue,N/a,,,
IA,Pilgrim/pilgrimage,N/a,,,
IA,Mission/Missionary/missionaries,N/a,,,
IA,shaman,N/a,,,
IA,god,N/a,,,
IA,Protestant,N/a,,,
IA,Theocratic,N/a,,,
IA,Antisemitism,N/a,,,
IA,Israelite & Hebrew,N/a,,,
IA,Confucian/Confucianism/Confucius,N/a,,,
IA,Jain/Jainism,N/a,,,
IA,Tao/Taoism/Dao/Danish/Lao Tzu/Laozi,N/a,,,
IA,Shinto/Shintoism,N/a,,,
IA,Zoroastrianism,N/a,,,
IA,Bahai/Baha 'i,N/a,,,
