State,Kansas,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
KS,Keyword,Grade/Area,Part of Document,,
KS,Religion/Religious,Ancient/ World History,Course Description Overview,"They will investigate major religions and their impact on governments, society, and culture.",
KS,Religion/Religious,Ancient/ World History,Early River Civilizations,"Ideas: writing, agriculture, religion, conflict & conquest, polytheism, monotheism, Judaism, Islam, Hinduism, Confucianism, Buddhism, government, codifying laws (Hammurabi s Code), caste system, Mandate of Heaven, Right of Kings",
KS,Religion/Religious,Ancient/ World History,Civilizations and Societies of the Mediterranean and Middle East,Sample compelling qs: How does religion shape society?,Sample compelling q: How did the rapid rise of Islam impact the existing religions in the region into which it spread?
KS,Religion/Religious,Ancient/ World History,Central and South American Civilizations,"They will investigate religion, family and social structure, government, trade, and innovations of the Mayas, Aztecs, and Incas.",
KS,Religion/Religious,Ancient/ World History,European Civilizations,Instruction will examine the conflicts between religious and political leaders and how they shaped society and culture.,
KS,Religion/Religious,Geography,Suggested Content Topics,"Human Geography: Government, Economics, and Religion","What role do individual rights play in political, economic, and religious systems?::How do political, economic, and/or religious beliefs shape a culture?::What system would be easiest to change: political, economic, or religious?::What tension exists between political, economic, and religious systems within a culture?"
KS,Religion/Religious,Geography,"Government, Economics, and Religion","Students should be introduced to human geography with a concentration on government, economics, and religion.",
KS,Spirit/spiritual,NA,,,
KS,Holiday,NA,,,
KS,Christian/Christmas,Ancient/ World History,Early River Civilizations,"Direct-democracy, representative-democracy, theocracy, monarchy, oligarchy, Trans-Saharan caravan routes, Silk Road, Judaism, Christianity, Islam, Caliphate, Islamic Golden Age, Abbasid Empire, Ibn Battuta",
KS,Christian/Christmas,Geography,"Ideas: democracies, monarchies, dictatorships, oligarchies, military states, command economy, market economy, mixed market economy, communism, socialism, impact of religion on development, Buddhism, Christianity, Hinduism, Islam, Judaism, Sikhism, etc.",,
KS,Christian/Christmas,Ancient/ World History,European Civilization overview,Students will recognize the influence of the Christian church on the small kingdoms of Europe after the fall of the Roman Empire.,What did the Crusades have to do with perceived rights and responsibilities?
KS,Muslim/Islam/Ramadan,Ancient/ World History,,Sample compelling q: How did the rapid rise of Islam impact the existing religions in the region into which it spread?,
KS,Muslim/Islam/Ramadan,Ancient/ World History,Early River Civilizations,"Direct-democracy, representative-democracy, theocracy, monarchy, oligarchy, Trans-Saharan caravan routes, Silk Road, Judaism, Christianity, Islam, Caliphate, Islamic Golden Age, Abbasid Empire, Ibn Battuta",
KS,Muslim/Islam/Ramadan,Ancient/ World History,Civilizations and Societies of the Mediterranean and Middle East,"Direct-democracy, representative-democracy, theocracy, monarchy, oligarchy, Trans-Saharan caravan routes, Silk Road, Judaism, Christianity, Islam, Caliphate, Islamic Golden Age, Abbasid Empire, Ibn Battuta",
KS,Muslim/Islam/Ramadan,Geography,"Ideas: democracies, monarchies, dictatorships, oligarchies, military states, command economy, market economy, mixed market economy, communism, socialism, impact of religion on development, Buddhism, Christianity, Hinduism, Islam, Judaism, Sikhism, etc.",,
KS,Jew/Judaism/Hanukah/Holocaust,Ancient/ World History,Early River Civilizations,"Direct-democracy, representative-democracy, theocracy, monarchy, oligarchy, Trans-Saharan caravan routes, Silk Road, Judaism, Christianity, Islam, Caliphate, Islamic Golden Age, Abbasid Empire, Ibn Battuta",
KS,Jew/Judaism/Hanukah/Holocaust,Ancient/ World History,Civilizations and Societies of the Mediterranean and Middle East,"Direct-democracy, representative-democracy, theocracy, monarchy, oligarchy, Trans-Saharan caravan routes, Silk Road, Judaism, Christianity, Islam, Caliphate, Islamic Golden Age, Abbasid Empire, Ibn Battuta",
KS,Jew/Judaism/Hanukah/Holocaust,Geography,"Ideas: democracies, monarchies, dictatorships, oligarchies, military states, command economy, market economy, mixed market economy, communism, socialism, impact of religion on development, Buddhism, Christianity, Hinduism, Islam, Judaism, Sikhism, etc.",,
KS,Jew/Judaism/Hanukah/Holocaust,Geography,"Government, Economics, Religion","democracies, monarchies, dictatorships, oligarchies, military states, command economy, market economy, mixed market economy, communism, socialism, impact of religion on development, Buddhism, Christianity, Hinduism, Islam, Judaism, Sikhism, etc.",
KS,Hindu,Geography,"Government, Economics, Religion","Ideas: democracies, monarchies, dictatorships, oligarchies, military states, command economy, market economy, mixed market economy, communism, socialism, impact of religion on development, Buddhism, Christianity, Hinduism, Islam, Judaism, Sikhism, etc.",
KS,Hindu,Ancient/ World History,Early River Civilizations,"Ideas: writing, agriculture, religion, conflict & conquest, polytheism, monotheism, Judaism, Islam, Hinduism, Confucianism, Buddhism, government, codifying laws (Hammurabi s Code), caste system, Mandate of Heaven, Right of Kings",
KS,Buddhism,Geography,Early River Civilizations,"Ideas: democracies, monarchies, dictatorships, oligarchies, military states, command economy, market economy, mixed market economy, communism, socialism, impact of religion on development, Buddhism, Christianity, Hinduism, Islam, Judaism, Sikhism, etc.",
KS,Sikh,Geography,"Government, Economics, Religion","Ideas: democracies, monarchies, dictatorships, oligarchies, military states, command economy, market economy, mixed market economy, communism, socialism, impact of religion on development, Buddhism, Christianity, Hinduism, Islam, Judaism, Sikhism, etc.",
KS,Mormon,N/a,,,
KS,Kwanzaa,N/a,,,
KS,Genocide,N/a,,,
KS,Persecution,N/a,,,
KS,Church,Ancient/ World History,European Civilizations,Sample compelling qs: What difference does it make what church you belong to?,
KS,Church,Ancient/ World History,European Civilization overview,Students will recognize the influence of the Christian church on the small kingdoms of Europe after the fall of the Roman Empire.,
KS,Mosque,N/a,,,
KS,Temple,N/a,,,
KS,Synagogue,N/a,,,
KS,Pilgrim/pilgrimage,N/a,,,
KS,Mission/Missionary/missionaries,Ancient/ World History,European Civilizations,"Ideas: Ideas: Great Schism, feudalism, chivalry, crusades, missionaries, parliament, plagues, Charlemagne, Magna Carta",
KS,shaman,N/a,,,
KS,god,N/a,,,
KS,Protestant,N/a,,,
KS,Theocratic,NA,,,
KS,Antisemitism,NA,,,
KS,Israelite & Hebrew,NA,,,
KS,Confucian/Confucianism/Confucius,NA,,,
KS,Jain/Jainism,NA,,,
KS,Tao/Taoism/Dao/Danish/Lao Tzu/Laozi,NA,,,
KS,Shinto/Shintoism,NA,,,
KS,Zoroastrianism,NA,,,
KS,Bahai/Baha 'i,NA,,,
