Louisana,,,,,
Keyword,Grade/Area,,,,
Religion/Religious,6,The United States and Louisiana: Beginnings Through Ratification,6.9,Analyze the development of the settlements and colonies in the late sixteenth century through the seventeenth century.,"c. Compare and contrast the New England, Middle, and Southern colonies, including their physical geography, religion, education, economy, and government."
Spirit/spiritual,N/a,,,,
Holiday,N/a,,,,
Christian/Christmas,6,The United States and Louisiana: Beginnings Through Ratification,6.11,"Analyze the causes, course, and consequences of the American Revolution.","a. Analyze the historical and religious factors that influenced the development of government in the United States, including those from ancient Greece; the Roman Republic; the Judeo-Christian tradition; English rule of law and the Magna Carta; Enlightenment philosophies; and the Great Awakening."
Christian/Christmas,8,The United States and Louisiana: Industrial Age Through Modern Era,8.15,"Analyze causes, major events, and key leaders of the Civil Rights Movement from 1954 to 1968.","h. Explain the role and importance of key individuals and groups of the civil rights movement, including the Congress of Racial Equality (CORE), Dr. Martin Luther King Jr., Rosa Parks, the Southern Christian Leadership Conference (SCLC), the Student Nonviolent Coordinating Committee (SNCC), Medgar Evers, Shirley Chisholm, Fannie Lou Hamer, and Malcolm X."
Muslim/Islam/Ramadan,N/a,,,,
Jew/Judaism/Hanukah/Holocaust,8,The United States and Louisiana: Industrial Age Through Modern Era,8.14,"Describe the causes, course, and consequences of World War II.","Explain the causes and consequences of the Holocaust, including antisemitism, Nuremberg Laws restricting civil rights, resistance efforts, experiences of people including Anne Frank, concentration camp system, liberation of camps by the Allies, and Nuremberg trials."
Hindu,N/a,,,,
Buddhism,N/a,,,,
Sikh,N/a,,,,
Mormon,7,The United States and Louisiana: Early Republic Through Reconstruction,7.1,Analyze the Grwoth and development of the United states from the early to mid-1800s,"g. Explain the motivation and means of migration West, the experiences of the settlers, and resulting changes in the West, including the Gold Rush (1848 1855), trails (Oregon Trail, Mormon Trail, and Santa Fe Trail), first transcontinental telegraph, and the transcontinental railroad."
Kwanzaa,N/a,,,,
Genocide,N/a,,,,
Persecution,N/a,,,,
Church,N/a,,,,
Mosque,N/a,,,,
Temple,N/a,,,,
Temple,N/a,,,,
Synagogue,N/a,,,,
Pilgrim/pilgrimage,6,The United States and Louisiana: Beginnings Through Ratification,6.9,Analyze the development of the settlements and colonies in the late sixteenth century through the seventeenth century,"d. Explain the contributions of key individuals and groups to the foundation of the colonies, including Pilgrims, Puritans, Quakers, John Smith, Roger Williams, Anne Hutchinson, William Penn, Edward Winslow, William Bradford, John Winthrop, John Rolfe, and Pocahontas."
Mission/Missionary/missionaries,N/a,,,,
shaman,N/a,,,,
god,N/a,,,,
Protestant,N/a,,,,
Theocratic,N/a,,,,
Antisemitism,8,The United States and Louisiana: Industrial Age Through Modern Era,8.14,"Describe the causes, course, and consequences of World War II.","Explain the causes and consequences of the Holocaust, including antisemitism, Nuremberg Laws restricting civil rights, resistance efforts, experiences of people including Anne Frank, concentration camp system, liberation of camps by the Allies, and Nuremberg trials."
Israelite & Hebrew,,,,,
Confucian/Confucianism/Confucius,,,,,
Jain/Jainism,,,,,
Tao/Taoism/Dao/Danish/Lao Tzu/Laozi,,,,,
Shinto/Shintoism,,,,,
Zoroastrianism,,,,,
Bahai/Baha 'i,,,,,
